Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR22579359	2023-01-19 14:52:46	2022-12-08 17:31:45	47142965	14142889500	47142965	300	4315	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22579/SRR22579359/SRR22579359.lite.1	SRX18542351	GSM6806904	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP412282	PRJNA910219	3	910219	SRS16008602	SAMN32117283	simple	7160	Aedes albopictus	GSM6806904	NA	NA	NA	NA		NA	no	NA	NA	NA		CITY UNIVERSITY OF HONG KONG	SRA1556016	NA	public	C3C354231BDF0006B61BF15F35D439CC	627A42EEDA925754A2F010D0C1766029
SRR22579358	2023-01-19 14:52:46	2022-12-08 17:29:29	44057859	13217357700	44057859	300	4075	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22579/SRR22579358/SRR22579358.lite.1	SRX18542352	GSM6806905	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP412282	PRJNA910219	3	910219	SRS16008603	SAMN32117282	simple	7160	Aedes albopictus	GSM6806905	NA	NA	NA	NA		NA	no	NA	NA	NA		CITY UNIVERSITY OF HONG KONG	SRA1556016	NA	public	27CF3A0D6E584513F68E49386F07E21D	262EA483A37D4B8941AE3D69CD8BB1CD
ERR9812318	2022-06-03 06:19:21	2022-06-25 20:24:14	10697741	1567151592	10697741	146	629	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR009/9812/ERR9812318/ERR9812318.lite.1	ERX9359420	QiaSeq stranded mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	ERP121447	PRJEB38074	NA	766379	ERS12141284	SAMEA14509429	simple	7160	Aedes albopictus	SAMEA14509429	NA	NA	NA	NA		NA	no	NA	NA	NA		INFRAVEC	ERA14905211	NA	public	1C75FF90A63F768763A987DD44735424	298A80345E2B6506A604447CC7FCFA74
ERR9812319	2022-06-03 06:19:21	2022-06-25 20:19:12	21090	3082123	21090	146	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR009/9812/ERR9812319/ERR9812319.lite.1	ERX9359421	QiaSeq stranded mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	ERP121447	PRJEB38074	NA	766379	ERS12141285	SAMEA14509430	simple	7160	Aedes albopictus	SAMEA14509430	NA	NA	NA	NA		NA	no	NA	NA	NA		INFRAVEC	ERA14905211	NA	public	4D0E043C8416DF93890ADBDADE71266C	B4D900BD884606B15094D3B6E2714DC8
ERR9812320	2022-06-03 06:19:21	2022-06-25 20:24:32	14913374	2182097547	14913374	146	880	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR009/9812/ERR9812320/ERR9812320.lite.1	ERX9359422	QiaSeq stranded mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	ERP121447	PRJEB38074	NA	766379	ERS12141286	SAMEA14509431	simple	7160	Aedes albopictus	SAMEA14509431	NA	NA	NA	NA		NA	no	NA	NA	NA		INFRAVEC	ERA14905211	NA	public	586158E8D028A23B58FEB476C34D1831	9DA9B783D808B365E559984F11605C55
ERR9812321	2022-06-03 06:19:21	2022-06-25 20:26:50	18266974	2660237460	18266974	145	1065	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR009/9812/ERR9812321/ERR9812321.lite.1	ERX9359423	QiaSeq stranded mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	ERP121447	PRJEB38074	NA	766379	ERS12141287	SAMEA14509432	simple	7160	Aedes albopictus	SAMEA14509432	NA	NA	NA	NA		NA	no	NA	NA	NA		INFRAVEC	ERA14905211	NA	public	F1990178DB7540FC60B08D9E7BB4D03F	7780EEF08CA6E3872306074271B23B17
ERR9812322	2022-06-03 06:19:21	2022-06-25 20:25:10	19186516	2815729058	19186516	146	1117	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR009/9812/ERR9812322/ERR9812322.lite.1	ERX9359424	QiaSeq stranded mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	ERP121447	PRJEB38074	NA	766379	ERS12141288	SAMEA14509433	simple	7160	Aedes albopictus	SAMEA14509433	NA	NA	NA	NA		NA	no	NA	NA	NA		INFRAVEC	ERA14905211	NA	public	C8E1F2390C8DD34CFDA2CE1FC54CCC25	7F572AD2062B47685B7EB154942B0F5B
ERR9812323	2022-06-03 06:19:21	2022-06-25 20:31:04	29036388	4262736052	29036388	146	1683	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR009/9812/ERR9812323/ERR9812323.lite.1	ERX9359425	QiaSeq stranded mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	ERP121447	PRJEB38074	NA	766379	ERS12141289	SAMEA14509434	simple	7160	Aedes albopictus	SAMEA14509434	NA	NA	NA	NA		NA	no	NA	NA	NA		INFRAVEC	ERA14905211	NA	public	7FC1BA9468DD76B988D4E20E02DF19D4	6060A0E0A266FBF28CE2CD47A19200E2
ERR9812324	2022-06-03 06:19:21	2022-06-25 20:25:59	21723998	3172399990	21723998	146	1261	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR009/9812/ERR9812324/ERR9812324.lite.1	ERX9359426	QiaSeq stranded mRNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	ERP121447	PRJEB38074	NA	766379	ERS12141290	SAMEA14509435	simple	7160	Aedes albopictus	SAMEA14509435	NA	NA	NA	NA		NA	no	NA	NA	NA		INFRAVEC	ERA14905211	NA	public	BEB44ACEF398236E8EE6BE66FB38AD11	CBA21F1F7B8E5E69D28FC668733EB569
SRR21099575	2022-08-17 06:18:03	2022-08-17 06:12:32	61606712	12444555824	61606712	202	3616	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21099/SRR21099575/SRR21099575.lite.1	SRX17113207	Nova 1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP392600	PRJNA870269	NA	870269	SRS14687409	SAMN30358323	simple	7160	Aedes albopictus	Aalb 0 h PBM 1	NA	NA	NA	NA	female	NA	no	NA	NA	NA		ANDONG NATIONAL UNIVERSITY	SRA1477312	NA	public	E1D1B575F054C808E73DADF87849FD14	0E6832A47319E0017AE42C873E955A15
