Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR18331409	2022-04-20 21:31:57	2022-03-18 05:50:05	29054188	5868945976	29054188	202	3436		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18331/SRR18331409/SRR18331409.lite.1	SRX14467894	GSM5954546	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270396	SAMN26676099	simple	7167	Anopheles albimanus	GSM5954546	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	44AEC8696F65B04378A87BDA664BEDAD	3A581D10B1F84D1CC9AA1A95EFB44F53
SRR18331408	2022-04-20 21:31:57	2022-03-18 05:59:23	47239812	9542442024	47239812	202	6280		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18331/SRR18331408/SRR18331408.lite.1	SRX14467895	GSM5954547	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270397	SAMN26676098	simple	7167	Anopheles albimanus	GSM5954547	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	FDA390E364269A0538B087179DC5160C	332256CB8FF92802BB9921F496990DB9
SRR18331407	2022-04-20 21:31:56	2022-03-18 07:07:31	47875208	9670792016	47875208	202	6441		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18331/SRR18331407/SRR18331407.lite.1	SRX14467896	GSM5954548	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270398	SAMN26676097	simple	7167	Anopheles albimanus	GSM5954548	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	C1FE9EBFC40B72CA3B7769A0D6894A38	64C387E6B8A10B026AFB7FAE4D0F9905
SRR18331406	2022-04-20 21:31:56	2022-03-18 08:55:20	41466809	8376295418	41466809	202	5486		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18331/SRR18331406/SRR18331406.lite.1	SRX14467897	GSM5954549	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270399	SAMN26676096	simple	7167	Anopheles albimanus	GSM5954549	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	C5AAACC71C438A2764FA27CE4A9F961F	FCEE0D5F1F5BC25D03ACFB2F7DBCFE84
SRR18331405	2022-04-20 21:31:57	2022-03-18 05:46:21	16382291	3309222782	16382291	202	2165		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18331/SRR18331405/SRR18331405.lite.1	SRX14467898	GSM5954550	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270400	SAMN26676095	simple	7167	Anopheles albimanus	GSM5954550	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	C3157F3C40EEDC8BEE259B2AC6F10708	E122D55343388A193760C8FF7489A087
SRR18331404	2022-04-20 21:31:57	2022-03-18 07:44:39	23270411	4700623022	23270411	202	3175		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18331/SRR18331404/SRR18331404.lite.1	SRX14467899	GSM5954551	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270401	SAMN26676094	simple	7167	Anopheles albimanus	GSM5954551	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	A96C08034AC06826C4E5E3B5136541D5	81C31B2DC9343AF4912A3B4691A9C488
SRR18331403	2022-04-20 21:31:57	2022-03-18 07:11:36	47807361	9657086922	47807361	202	6534		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18331/SRR18331403/SRR18331403.lite.1	SRX14467900	GSM5954552	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270402	SAMN26676093	simple	7167	Anopheles albimanus	GSM5954552	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	EFD39FEA6CDC37B870B925CA6127C5AE	AE834A1245DE2543C67E5F239BC8D95D
SRR18331402	2022-04-20 21:31:57	2022-03-18 06:54:44	34702338	7009872276	34702338	202	4180		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18331/SRR18331402/SRR18331402.lite.1	SRX14467901	GSM5954553	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270403	SAMN26676092	simple	7167	Anopheles albimanus	GSM5954553	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	77144671CAE74588AFD9558D5F817CAD	AEE998599A1423021E29326C9FF43331
SRR18331401	2022-04-20 21:31:57	2022-03-18 05:48:46	24757222	5000958844	24757222	202	2865		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR018/18331/SRR18331401/SRR18331401.lite.1	SRX14467902	GSM5954554	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270404	SAMN26676091	simple	7167	Anopheles albimanus	GSM5954554	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	75AD3AFFEADC89924A2738CF3AD475AC	092343CC93B5EB95F2A47E1F99F96B3C
SRR18331400	2022-04-20 21:31:57	2022-03-18 05:58:15	41226204	8327693208	41226204	202	4953		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR018/18331/SRR18331400/SRR18331400.lite.1	SRX14467903	GSM5954555	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP364139	PRJNA816430	3	816430	SRS12270405	SAMN26676090	simple	7167	Anopheles albimanus	GSM5954555	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1385668	NA	public	3F93211486B94219EBAF5C191E438E48	8ED0ED4B7C8250431852A71E4F30C15E
