Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR10762787	2021-04-10 07:26:17	2019-12-24 07:52:12	28192543	4257073993	0	151	1260	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10762/SRR10762787/SRR10762787.lite.1	SRX7436989	GPB2	RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP238661	PRJNA597432	NA	597432	SRS5882098	SAMN13675153	simple	30069	Anopheles stephensi	Anopheles stephensi GPB2	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1016122	NA	public	E06A4D206191B51B4FB5E23A2DA7FF8E	E1E923DB027FB7BE125083675286FA3F
SRR10762786	2021-04-10 07:26:17	2019-12-24 07:50:31	25037530	3780667030	0	151	1122	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10762/SRR10762786/SRR10762786.lite.1	SRX7436990	GPB3	RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP238661	PRJNA597432	NA	597432	SRS5882099	SAMN13675154	simple	30069	Anopheles stephensi	Anopheles stephensi GPB3	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1016122	NA	public	EFA26D0637C3728BB0E41DB9EAB91E37	C2825C2853B3C20E85391E15DEC00377
SRR10762785	2021-04-10 07:26:17	2019-12-24 07:48:42	27717783	4185385233	0	151	1239	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10762/SRR10762785/SRR10762785.lite.1	SRX7436991	SIB1	RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP238661	PRJNA597432	NA	597432	SRS5882100	SAMN13675155	simple	30069	Anopheles stephensi	Anopheles stephensi SIB1	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1016122	NA	public	01C10040DEB1874F5BD6A5D357F4091E	5EE1DF8EF04C5565425CA95DBFB188F2
SRR10762784	2021-04-10 07:26:17	2019-12-24 07:52:49	33054299	4991199149	0	151	1473	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10762/SRR10762784/SRR10762784.lite.1	SRX7436992	SIB2	RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP238661	PRJNA597432	NA	597432	SRS5882101	SAMN13675156	simple	30069	Anopheles stephensi	Anopheles stephensi SIB2	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1016122	NA	public	4CAEB368BCC3D906638D295EE3F25FC1	8443DAC3565E00A806E8F0A9F44F1902
SRR10762783	2021-04-10 07:26:17	2019-12-24 07:50:34	29231072	4413891872	0	151	1306	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10762/SRR10762783/SRR10762783.lite.1	SRX7436993	SIB3	RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP238661	PRJNA597432	NA	597432	SRS5882102	SAMN13675157	simple	30069	Anopheles stephensi	Anopheles stephensi SIB3	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1016122	NA	public	49DD88524881EDBCA6519E7965F1C60D	19E35657DF5C1202E35963A525A19594
SRR10762782	2021-04-10 07:26:17	2019-12-24 07:48:31	31868254	4812106354	0	151	1425	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10762/SRR10762782/SRR10762782.lite.1	SRX7436994	GIB1	RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP238661	PRJNA597432	NA	597432	SRS5882103	SAMN13675158	simple	30069	Anopheles stephensi	Anopheles stephensi GIB1	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1016122	NA	public	E5F4D1C78B28FA8C39C03A8EDFD3BBCB	484422F4EEEDBAC188559F986787E0F8
SRR12031470	2021-07-15 00:02:04	2020-06-17 05:36:37	16317599	4895279700	16317599	300	1845	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR012/12031/SRR12031470/SRR12031470.lite.1	SRX8562807	ASHCSF	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP267611	PRJNA639416	NA	639416	SRS6855504	SAMN15222093	simple	30069	Anopheles stephensi	AS_HC_SF	NA	NA	NA	NA		NA	no	NA	NA	NA		NATIONAL INSTITUTE OF MALARIA RESEARCH	SRA1088162	NA	public	B5C135BBF7836190D135DF7F40FE30F7	71573E0A8466FE3E64705CEAEA6FEE73
SRR13277513	2021-01-15 00:03:55	2020-12-21 12:57:20	29385619	8874456938	29385619	302	2536	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13277/SRR13277513/SRR13277513.lite.1	SRX9707313	CG_1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP298603	PRJNA686698	NA	686698	SRS7902355	SAMN17120971	simple	30069	Anopheles stephensi	replicate =CG_1	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1174463	NA	public	0FB06F71C87B8803C97FD7D7D2544123	69F732135AECB3D9C0D382BFED96FAA1
SRR13277512	2021-01-15 00:03:55	2020-12-21 12:06:21	28701727	8667921554	28701727	302	2519	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13277/SRR13277512/SRR13277512.lite.1	SRX9707314	3HK_5	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP298603	PRJNA686698	NA	686698	SRS7902356	SAMN17120981	simple	30069	Anopheles stephensi	replicate =3HK_5	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1174463	NA	public	8A6E37998936121B66A702AEED0E1F1F	16B9F0771F266082A0796348DB712167
SRR13277511	2021-01-15 00:03:55	2020-12-21 12:09:43	25595281	7729774862	25595281	302	2328	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13277/SRR13277511/SRR13277511.lite.1	SRX9707315	CG_3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP298603	PRJNA686698	NA	686698	SRS7902357	SAMN17120973	simple	30069	Anopheles stephensi	replicate =CG_3	NA	NA	NA	NA		NA	no	NA	NA	NA		FUDAN UNIVERSITY	SRA1174463	NA	public	CE3014C8A3B95510985A5DF2598B58DD	39DBC430C96A4F9F0749885DAE97E56E
