Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5099148	2016-12-12 10:41:05	2016-12-12 10:45:26	5256115	1061735230	5256115	202	415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/099/SRR5099148.sralite.1	SRX2415911	IL100065917	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	418	0	ILLUMINA	Illumina HiSeq 2500	SRP068692	PRJNA294263	NA	294263	SRS1852611	SAMN04313635	simple	6279	Brugia malayi	1 Dpi Mixed b	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	UMIGS	SRA501917	NA	public	9EB149CEEBE65487F5D672F4DFB8D9F4	E29046E479571942F4A4B35E9C786D29
SRR5099149	2016-12-12 10:41:05	2016-12-12 11:50:58	22756759	4596865318	22756759	202	1691		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/099/SRR5099149.sralite.1	SRX2415910	IL100065917	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	418	0	ILLUMINA	Illumina HiSeq 2500	SRP068692	PRJNA294263	NA	294263	SRS1852611	SAMN04313635	simple	6279	Brugia malayi	1 Dpi Mixed b	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	UMIGS	SRA501917	NA	public	A742FF26B1208ADE175F99C00822FA3E	E5A979591D7CA4CC36F8945DF680BFC8
SRR5098194	2016-12-12 09:53:03	2016-12-12 09:58:07	6430762	1299013924	6430762	202	508		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/098/SRR5098194.sralite.1	SRX2414981	IL100065913	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	428	0	ILLUMINA	Illumina HiSeq 2500	SRP068692	PRJNA294263	NA	294263	SRS1852673	SAMN04313630	simple	6279	Brugia malayi	2 Dpi Mixed a	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	UMIGS	SRA501917	NA	public	BD45B69E4D28C37B74714ABE0F833EB2	28B959BFF1E5DCEFD22AEEC78330E126
SRR5098195	2016-12-12 09:53:03	2016-12-12 10:03:45	21184759	4279321318	21184759	202	1584		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/098/SRR5098195.sralite.1	SRX2414982	IL100065913	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	428	0	ILLUMINA	Illumina HiSeq 2500	SRP068692	PRJNA294263	NA	294263	SRS1852673	SAMN04313630	simple	6279	Brugia malayi	2 Dpi Mixed a	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	UMIGS	SRA501917	NA	public	67844B1958E03EBC391D58A789FD472F	7E4D824952BBE1A74B64DE9248271E86
SRR5099146	2016-12-12 10:41:05	2016-12-12 10:51:45	6819251	1377488702	6819251	202	543		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/099/SRR5099146.sralite.1	SRX2415908	IL100065916	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	384	0	ILLUMINA	Illumina HiSeq 2500	SRP068692	PRJNA294263	NA	294263	SRS1853870	SAMN04313636	simple	6279	Brugia malayi	2 Dpi Mixed b	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	UMIGS	SRA501917	NA	public	13DDBE365F82031E94153759E84C3DE3	CC109AE7F8A91C6E52F0637C45651B44
SRR5099147	2016-12-12 10:41:05	2016-12-12 10:52:58	23857182	4819150764	23857182	202	1761		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/099/SRR5099147.sralite.1	SRX2415909	IL100065916	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	384	0	ILLUMINA	Illumina HiSeq 2500	SRP068692	PRJNA294263	NA	294263	SRS1853870	SAMN04313636	simple	6279	Brugia malayi	2 Dpi Mixed b	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	UMIGS	SRA501917	NA	public	B3C3523F22C9EC1A6016C35B67F3DD06	E2C6AD5C9C23BA7BDD36FCC036C5282C
SRR15444171	2022-08-31 00:23:40	2021-08-13 15:25:05	3808550	1150182100	3808550	302	431		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR015/15444/SRR15444171/SRR15444171.lite.1	SRX11743587	BmAF_Worm5_Section22	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP201437	PRJNA548881	NA	548881	SRS9771835	SAMN20771717	simple	6279	Brugia malayi	Brugia malayi adult female head, cryosection 22	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN-MADISON	SRA1277829	NA	public	EC43B058C0BD265D06A282B1118E73D9	A60A343A420C6850C5160971F0051E2A
SRR15444170	2022-08-31 00:23:40	2021-08-13 15:23:42	1691425	510810350	1691425	302	190		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15444/SRR15444170/SRR15444170.lite.1	SRX11743588	BmAF_Worm5_Section23	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP201437	PRJNA548881	NA	548881	SRS9771836	SAMN20771718	simple	6279	Brugia malayi	Brugia malayi adult female head, cryosection 23	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN-MADISON	SRA1277829	NA	public	EA4A4FAE1D5C8439481FA6B79071FAD7	807AE27545CCDE93BFAF32F6CD42D451
SRR15444169	2022-08-31 00:23:40	2021-08-13 15:27:04	4126322	1246149244	4126322	302	471		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15444/SRR15444169/SRR15444169.lite.1	SRX11743589	BmAF_Worm5_Section24	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP201437	PRJNA548881	NA	548881	SRS9771837	SAMN20771719	simple	6279	Brugia malayi	Brugia malayi adult female head, cryosection 24	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN-MADISON	SRA1277829	NA	public	5380622C95ACD29C3B39A7A28FCAEFE4	B683503A3A8A84A36044667F4A24EB7F
SRR15444168	2022-08-31 00:23:40	2021-08-13 15:25:23	5007270	1512195540	5007270	302	545		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15444/SRR15444168/SRR15444168.lite.1	SRX11743590	BmAF_Worm5_Section25	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP201437	PRJNA548881	NA	548881	SRS9771838	SAMN20771720	simple	6279	Brugia malayi	Brugia malayi adult female head, cryosection 25	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN-MADISON	SRA1277829	NA	public	C305C9D2C358B2FBA5DADB017603339E	262A08BBD8C1EDED91138A38D59110D7
