Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR19742038	2022-10-25 23:00:23	2022-06-17 20:24:54	23319429	6995828700	0	300	2653		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19742/SRR19742038/SRR19742038.lite.1	SRX15787886	0001	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP382346	PRJNA849332	3	849332	SRS13480693	SAMN29048646	simple	6238	Caenorhabditis briggsae	Cbr_RNA rep1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG BAPTIST UNIVERSITY	SRA1439416	NA	public	DC3D974FF308FA16DFDACD65075913D6	C9458DF3BF777D0F72EFC8D6BFDCF6E3
SRR19742037	2022-10-25 23:00:24	2022-06-17 20:34:39	29010790	8703237000	29010790	300	2564		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19742/SRR19742037/SRR19742037.lite.1	SRX15787887	0002	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP382346	PRJNA849332	3	849332	SRS13480694	SAMN29048647	simple	6238	Caenorhabditis briggsae	Cbr_RNA rep2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG BAPTIST UNIVERSITY	SRA1439416	NA	public	5A3043DA89E81DA3172DD6C37EE34C69	7CEBE70EF4B92425BB9471E0C65B7EC3
SRR19742026	2022-10-25 23:00:24	2022-06-17 20:30:04	30162224	9048667200	30162224	300	2673		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19742/SRR19742026/SRR19742026.lite.1	SRX15787898	0003	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP382346	PRJNA849332	3	849332	SRS13480705	SAMN29048648	simple	6238	Caenorhabditis briggsae	Cbr_RNA rep3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG BAPTIST UNIVERSITY	SRA1439416	NA	public	A684DCF2772F27E0EC3617B853292C37	95CC696E3C1E2200E172D25DBA5D2D57
SRR19742020	2022-10-25 23:00:24	2022-06-17 20:29:27	24882824	7464847200	24882824	300	2842		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19742/SRR19742020/SRR19742020.lite.1	SRX15787904	0004	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP382346	PRJNA849332	3	849332	SRS13480711	SAMN29048649	simple	6238	Caenorhabditis briggsae	Cni_RNA rep1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG BAPTIST UNIVERSITY	SRA1439416	NA	public	5A1791617DC3EEEA6FAA6B9CF9700297	829609E9C320F379A1A20F94919225B6
SRR14189431	2021-09-10 16:09:24	2021-04-08 23:07:37	20887155	6266146500	20887155	300	1911		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14189/SRR14189431/SRR14189431.lite.1	SRX10556382		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP314054	PRJNA720668	3	720668	SRS8662996	SAMN18675041	simple	6238	Caenorhabditis briggsae	GSM5231619	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1216422	NA	public	BDAA7E4D628B8048F798C34ECACC971B	BEF73BF58464689F277D9DDEA68BDCA2
SRR14189432	2021-09-10 16:09:24	2021-04-08 22:06:37	15108834	4532650200	15108834	300	1325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14189/SRR14189432/SRR14189432.lite.1	SRX10556383		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP314054	PRJNA720668	3	720668	SRS8662997	SAMN18675040	simple	6238	Caenorhabditis briggsae	GSM5231620	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1216422	NA	public	A68D3B7721016820483FE4F96B73D9FC	D54092AD878307E306E426733681E398
SRR14189433	2021-09-10 16:09:24	2021-04-08 22:04:57	18619894	5585968200	18619894	300	1681		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14189/SRR14189433/SRR14189433.lite.1	SRX10556384		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP314054	PRJNA720668	3	720668	SRS8662998	SAMN18675039	simple	6238	Caenorhabditis briggsae	GSM5231621	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1216422	NA	public	56886ABA976E1BE6188F8C6F40ADFAA6	08C8FC6DCD5E20B0E66EA0CBFB1D8552
SRR14189434	2021-09-10 16:09:24	2021-04-08 22:46:48	17948007	5384402100	17948007	300	1619		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14189/SRR14189434/SRR14189434.lite.1	SRX10556385		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP314054	PRJNA720668	3	720668	SRS8662999	SAMN18675038	simple	6238	Caenorhabditis briggsae	GSM5231622	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1216422	NA	public	1ACD8BCA7309C50FF111999265F68D13	E840849E400F40DE023A745A7457526E
SRR14189435	2021-09-10 16:09:24	2021-04-08 23:13:56	21318146	6395443800	21318146	300	1952		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14189/SRR14189435/SRR14189435.lite.1	SRX10556386		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP314054	PRJNA720668	3	720668	SRS8663000	SAMN18675037	simple	6238	Caenorhabditis briggsae	GSM5231623	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1216422	NA	public	CCA59C7D3A4355EEFB25D6C3C08C24FF	ABB1A5A0AFBE3AF2507A8CA4D7D0BDDD
SRR14189436	2021-09-10 16:09:24	2021-04-08 23:02:31	20469444	6140833200	20469444	300	1830		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14189/SRR14189436/SRR14189436.lite.1	SRX10556387		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP314054	PRJNA720668	3	720668	SRS8663001	SAMN18675036	simple	6238	Caenorhabditis briggsae	GSM5231624	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1216422	NA	public	5385CAE2E2A577F4DB5D4B797D265414	AB9FF7DEA0C78EB6735A6E474137AF52
