Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR17799051	2022-01-31 03:09:27	2022-01-28 09:44:58	82772506	24831751800	82772506	300	8214		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799051/SRR17799051	SRX13961214	GSM5841635	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801327	SAMN25351880	simple	6239	Caenorhabditis elegans	GSM5841635							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	F055CE9AE1BE44894333B3479F47F6CB	DB0AB15C14EEE83283078979574D427E
SRR17799050	2022-01-31 03:09:27	2022-01-28 09:47:53	71692137	21507641100	71692137	300	7166		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799050/SRR17799050	SRX13961215	GSM5841636	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801328	SAMN25351879	simple	6239	Caenorhabditis elegans	GSM5841636							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	3914B710DFEF85D9B6D2D4BA284A013D	7F2BA20CF015963673A2BABBBF5FBAF2
SRR17799049	2022-01-31 03:09:27	2022-01-28 09:45:38	83151607	24945482100	83151607	300	8320		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799049/SRR17799049	SRX13961216	GSM5841637	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801329	SAMN25351878	simple	6239	Caenorhabditis elegans	GSM5841637							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	3AFDD1EF1E9A8AF5E3733DBB9438E2F1	8C1627B37C42E518C743984646FD8342
SRR17799045	2022-01-31 03:09:27	2022-01-28 09:10:06	31379813	3137981300	31379813	100	947		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799045/SRR17799045	SRX13961220	GSM5841641	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801332	SAMN25351874	simple	6239	Caenorhabditis elegans	GSM5841641							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	6E36E32C0D38CEEC0FD7F4C27A940290	EA42C736B2DF93E19E65910F94BDA481
SRR17799044	2022-01-31 03:09:27	2022-01-28 09:03:54	29574606	2957460600	29574606	100	893		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799044/SRR17799044	SRX13961221	GSM5841642	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801334	SAMN25351873	simple	6239	Caenorhabditis elegans	GSM5841642							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	000AEF1C3C07051A598FB6177C5D03D5	C2FBDC23CAC600723A3EEB25EB762F66
SRR17799043	2022-01-31 03:09:27	2022-01-28 09:05:18	38520646	3852064600	38520646	100	1171		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799043/SRR17799043	SRX13961222	GSM5841643	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801335	SAMN25351872	simple	6239	Caenorhabditis elegans	GSM5841643							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	BEDA44EF61FA3F41D67EC1E9DE60104D	09BCF4FE637AA7E4303993DFBC5FC2E8
SRR17799041	2022-01-31 03:09:27	2022-01-28 09:16:32	41144382	4114438200	41144382	100	1241		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799041/SRR17799041	SRX13961223	GSM5841644	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801336	SAMN25351871	simple	6239	Caenorhabditis elegans	GSM5841644							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	7F3E5F0A4FE67341CEFE3EC34E613461	D9E046ECEEB91AC5090F1DD95C22ADF6
SRR17799040	2022-01-31 03:09:27	2022-01-28 09:23:11	50291257	5029125700	50291257	100	1517		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799040/SRR17799040	SRX13961224	GSM5841646	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801337	SAMN25351869	simple	6239	Caenorhabditis elegans	GSM5841646							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	46767771528D4BA7442A23A24FE25782	66876EF837818B087853A23A58A81A95
SRR17799039	2022-01-31 03:09:27	2022-01-28 09:09:49	30409725	3040972500	30409725	100	926		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799039/SRR17799039	SRX13961225	GSM5841647	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801339	SAMN25351868	simple	6239	Caenorhabditis elegans	GSM5841647							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	A0D88C3A7F1AD3F2C57E37D741C2AAD6	C0D03864840D9FD2A399AA45DB769C2A
SRR17799038	2022-01-31 03:09:27	2022-01-28 09:08:05	28742511	2874251100	28742511	100	872		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17799038/SRR17799038	SRX13961226	GSM5841648	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP357164	PRJNA801467		801467	SRS11801338	SAMN25351867	simple	6239	Caenorhabditis elegans	GSM5841648							no					HARVARD T.H. CHAN SCHOOL OF PUBLIC	SRA1363394		public	E9317C6F9C71B963811642C5CBD4B6B3	7903D1CA85F22670F4120DE38192B9C0
