Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR400316	2012-10-31 00:00:00	2012-08-11 16:55:01	46795	28539430	0	609	60	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400316/SRR400316.lite.1	SRX116380	MID1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287202	SAMN00773637	simple	198806	Calidris pugnax	Ruff 1241	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	B5536A6503A67308ECB59B0125E4111F	086AC5B54929AE1398B5D9926E999CBD
SRR400313	2012-10-31 00:00:00	2012-08-11 16:54:52	37743	23228455	0	615	48	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400313/SRR400313.lite.1	SRX116377	MID4	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287199	SAMN00773634	simple	198806	Calidris pugnax	Ruff 190	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	B8247B95621DEEEC938CBF083BBB9AEB	9F2F29BF200F4700F99FAE8878EFD08E
SRR400314	2012-10-31 00:00:00	2012-08-11 16:54:53	43853	26708794	0	609	56	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400314/SRR400314.lite.1	SRX116378	MID3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287200	SAMN00773635	simple	198806	Calidris pugnax	Ruff 240	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	94B53668F387F065C5475541894C8B74	04434245D264E39C9F721FCAF2560D28
SRR400305	2012-10-31 00:00:00	2012-08-11 16:54:27	24823	15083958	0	607	31	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400305/SRR400305.lite.1	SRX116369	MID11	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287193	SAMN00773628	simple	198806	Calidris pugnax	Ruff 242	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	FEE50821A2D9F204A1D0D15FBB258C49	3D93EE7FC73EEF80D37F4B5F6F673FD6
SRR400304	2012-10-31 00:00:00	2012-08-11 16:54:19	25178	15340903	0	609	32	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400304/SRR400304.lite.1	SRX116039	MID12	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287174	SAMN00773609	simple	198806	Calidris pugnax	Ruff 267	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	026A15EDEFF6A9D825D2F51F0D07E29D	A4041344F29E295AE1A6852849F8A3A0
SRR400307	2012-10-31 00:00:00	2012-08-11 16:54:36	17508	10777861	0	615	22	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400307/SRR400307.lite.1	SRX116372	MID10	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287194	SAMN00773629	simple	198806	Calidris pugnax	Ruff 294	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	171A91817CE430C097CABB84FD217AE6	F0FE8096A48EB2FF0A6D66F07569A7BA
SRR400311	2012-10-31 00:00:00	2012-08-11 16:54:49	24563	14471126	0	589	31	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400311/SRR400311.lite.1	SRX116376	MID5	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287198	SAMN00773633	simple	198806	Calidris pugnax	Ruff 301	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	30D5AB973D3C0872E99CB884DDDF6B5A	6B27E63EF15C0FEFCB937099331C37FE
SRR400310	2012-10-31 00:00:00	2012-08-11 16:54:45	33297	20238589	0	607	42	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400310/SRR400310.lite.1	SRX116375	MID7	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287197	SAMN00773632	simple	198806	Calidris pugnax	Ruff 306	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	3AD9D79CF6AC21A76EA864269C0847BD	10AB62BBC4B2D087B1EB6A7D77490F45
SRR400315	2012-10-31 00:00:00	2012-08-11 16:54:57	30617	17448770	0	569	38	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400315/SRR400315.lite.1	SRX116379	MID2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287201	SAMN00773636	simple	198806	Calidris pugnax	Ruff 313	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	2EF3032067856EBD9980514F41A72DC2	7CE83F2B96B94E346D2CE90DA711B8C7
SRR400309	2012-10-31 00:00:00	2012-08-11 16:54:43	28362	17517602	0	617	36	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/400/SRR400309/SRR400309.lite.1	SRX116374	MID8	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP010349		NA	0	SRS287196	SAMN00773631	simple	198806	Calidris pugnax	Ruff 314	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA049313	NA	public	A962514C08A3349430382B24CB473EED	F0C58F99038CF65FCC9C15AC2A6E921A
