Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR514109	2013-12-14 00:00:00	2012-07-03 15:33:14	69784803	10482522546	69784803	150	5557	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/514/SRR514109.sralite.1	SRX154851	Brain	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP013772	PRJNA168475	2	168475	SRS581940	SAMN02699929	simple	7868	Callorhinchus milii	eshark-brain	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	2A8D6334E06DCAEAC8D9BB6F1B2EA8F8	2B92717055E2A953EC44F36B8CE36664
SRR534176	2015-07-22 17:10:08	2015-12-22 06:18:28	35715227	5428714504	35715227	152	3029	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/534/SRR534176.sralite.1	SRX154852	Gills	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP013772	PRJNA168475	2	168475	SRS581949	SAMN02699930	simple	7868	Callorhinchus milii	eshark-gills	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	05C9BF7E13BCFC1A8560B0DEF165F862	64B83D72EB2AA2FA38F653281D38CDED
SRR514107	2013-12-14 00:00:00	2012-06-28 17:21:19	45454516	6909086432	45454516	152	3430	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR514/107/SRR514107.sralite.1	SRX154854	Heart	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP013772	PRJNA168475	2	168475	SRS581950	SAMN02699931	simple	7868	Callorhinchus milii	eshark-heart	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	B7C80EA94D14D72B1273222E5A7F0F94	2470B03156EE43D6981A596EF38350F5
SRR514106	2013-12-14 00:00:00	2012-06-28 17:25:15	73872959	11228689768	73872959	152	6507	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR514/106/SRR514106.sralite.1	SRX154855	Intestine	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP013772	PRJNA168475	2	168475	SRS581948	SAMN02699932	simple	7868	Callorhinchus milii	eshark-intestine	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	407A544FCA502B22FAA41F3283829439	A273AEA2C6951E40A812ACFA673DD129
SRR514105	2013-12-14 00:00:00	2012-06-28 17:22:15	59482827	9041389704	59482827	152	5136	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR514/105/SRR514105.sralite.1	SRX154856	Kidney	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP013772	PRJNA168475	2	168475	SRS581945	SAMN02699933	simple	7868	Callorhinchus milii	eshark-kidney	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	792DC86D49DB9CA8FB41187606D4B055	D7AC68304E0DBD252E90DF3FF7A75ADD
SRR513760	2013-12-14 00:00:00	2012-06-28 17:32:36	109951059	16712560968	109951059	152	8983	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR513/760/SRR513760.sralite.1	SRX154858	Liver	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP013772	PRJNA168475	2	168475	SRS581947	SAMN02699935	simple	7868	Callorhinchus milii	eshark-liver	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	B1D99CD517EB8F8FF25DCDBA260C5B88	0DC0F600BA433C5072E2F71DC41ED81F
SRR514104	2013-12-14 00:00:00	2012-06-28 17:25:02	72793727	11064646504	72793727	152	6514	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR514/104/SRR514104.sralite.1	SRX154857	Muscle	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP013772	PRJNA168475	2	168475	SRS581946	SAMN02699934	simple	7868	Callorhinchus milii	eshark-muscle	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	8F2B27C7C5D89B23415D4B9388F31B0C	E1C41D84D6D6F5EC36EE0ED564887A3D
SRR513759	2013-12-14 00:00:00	2012-06-28 17:23:25	52114482	7921401264	52114482	152	4630	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/513/SRR513759.sralite.1	SRX154859	Ovary	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP013772	PRJNA168475	2	168475	SRS581944	SAMN02699936	simple	7868	Callorhinchus milii	eshark-ovary	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	1F7EAC32AB633528572C8DDC90073845	4C97340C07C057ABF0AAFB225BE2E92B
SRR513758	2013-12-14 00:00:00	2012-07-03 15:31:17	41684691	6336073032	41684691	152	3743	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR513/758/SRR513758.sralite.1	SRX154860	Spleen	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP013772	PRJNA168475	2	168475	SRS581943	SAMN02699937	simple	7868	Callorhinchus milii	eshark-spleen	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	AAAA3A79AD749CC64B40CC79DCBDEF49	16415C94FB87FE36995D3E9882806C07
SRR513757	2013-12-14 00:00:00	2012-07-03 15:37:39	48151000	7318952000	48151000	152	4064	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/513/SRR513757.sralite.1	SRX154861	Testis	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP013772	PRJNA168475	2	168475	SRS581941	SAMN02699938	simple	7868	Callorhinchus milii	eshark-testis	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	INSTITUTE OF MOLECULAR AND CELL BIOLOGY	SRA054255	NA	public	B1DBE148A80AF005358C1F7DD247E167	FFBE01FD465EED2F5373BC3510AAB7D8
