Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR3113414	2016-06-01 00:00:00	2016-01-22 17:25:26	6900952	1380190400	6900952	200	770		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113414.sralite.1	SRX1541688	HtMf-B.Rep2-T.Rep2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258195	SAMN04435317	simple	64391	Callosobruchus maculatus	HtMf2_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	2D0C005C6AF0805A8CFDA4D3E31365F8	A14242F4D6EDD22EC2A71450E4A8ECD8
SRR3113387	2016-06-01 00:00:00	2016-01-22 17:24:34	6633312	1326662400	6633312	200	740		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113387.sralite.1	SRX1541681	HtMf-B.Rep1-T.Rep2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258202	SAMN04435316	simple	64391	Callosobruchus maculatus	HtMf1_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	C03CD912E17F4986D28885759809CF89	B43E284ED4B6E6DCDFC0207346C50D2B
SRR3113386	2016-06-01 00:00:00	2016-01-22 17:25:18	6875429	1375085800	6875429	200	772		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113386.sralite.1	SRX1541680	Avf-B.Rep3-T.Rep2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258203	SAMN04435315	simple	64391	Callosobruchus maculatus	AVf3_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	8632AB27E592C22A91CEE8C49363A765	F26FFBF08E4D9E1D21AB70D17C59D5A5
SRR3113423	2016-06-01 00:00:00	2016-01-22 17:11:53	6655124	1331024800	6655124	200	739		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113423.sralite.1	SRX1541697	HtMm-B.Rep1-T.Rep1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258212	SAMN04435280	simple	64391	Callosobruchus maculatus	HtMm1_1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	D12783A1FF63842F89752B510EBEF67C	ED015AC1EF5997960C7D3B4E45F62DA4
SRR3113422	2016-06-01 00:00:00	2016-01-22 17:15:23	6572939	1314587800	6572939	200	733		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113422.sralite.1	SRX1541696	Avm-B.Rep3-T.Rep1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258213	SAMN04435279	simple	64391	Callosobruchus maculatus	AVm3_1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	F6B45B19CDA0A6A70AB43A196AFEAC9D	75EE12DF8A06F8E83BD039A098254ADD
SRR3113421	2016-06-01 00:00:00	2016-01-22 17:20:10	7364874	1472974800	7364874	200	820		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/113/SRR3113421/SRR3113421.sralite.1	SRX1541695	Avm-B.Rep2-T.Rep1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258214	SAMN04435278	simple	64391	Callosobruchus maculatus	AVm2_1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	98B7DF82DB18DA1D4CEA93938A85AD4E	5CD1EB2C86A7C5BD79AED5639C4F0818
SRR3113420	2016-06-01 00:00:00	2016-01-22 17:19:26	7003926	1400785200	7003926	200	781		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/113/SRR3113420/SRR3113420.sralite.1	SRX1541694	Avm-B.Rep1-T.Rep1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258215	SAMN04435277	simple	64391	Callosobruchus maculatus	AVm1_1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	391EB77F8791140DE4C0039ED5064E17	29B1C3BEB383567EE987AB8D89CEF5C9
SRR3113419	2016-06-01 00:00:00	2016-01-22 17:21:58	6628909	1325781800	6628909	200	747		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113419.sralite.1	SRX1541693	Amf-B.Rep3-T.Rep2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258216	SAMN04435321	simple	64391	Callosobruchus maculatus	AMf3_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	7A8014BF2255BEE46E79EDE3890399C8	56A6AA7F7FA53BAECDFC6444C8CFE346
SRR3113417	2016-06-01 00:00:00	2016-01-22 17:24:39	7185088	1437017600	7185088	200	805		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113417.sralite.1	SRX1541691	Amf-B.Rep2-T.Rep2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258217	SAMN04435320	simple	64391	Callosobruchus maculatus	AMf2_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	DBB14F8D926F358D0923EFE2AD3FBD51	F0B97B7F6BBDF52FF83D10FDAE590711
SRR3113416	2016-06-01 00:00:00	2016-01-22 17:25:17	7249598	1449919600	7249598	200	814		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/113/SRR3113416.sralite.1	SRX1541690	Amf-B.Rep1-T.Rep2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP068765	PRJNA309272	2	309272	SRS1258219	SAMN04435319	simple	64391	Callosobruchus maculatus	AMf1_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA337849	NA	public	B78D2432D63D1F6F17DD4AD575FD32B3	51317D32AF4C9D1D74BA6B1FE4C70FA2
