Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR11952725	2020-06-08 14:25:51	2020-06-08 14:22:08	31602539	9304543889	31602539	294	3288		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952725/SRR11952725	SRX8497129	CO46 2 week rep 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795940	SAMN15156745	simple	90675	Camelina sativa	feff1a20-bf7b-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	0FD5D51F0BF264AAEC43B4525102D7AF	E0579F003899FEDF8E7D0DDF1CB3FD78
SRR11952723	2020-06-08 14:28:47	2020-06-08 14:25:40	33258230	9802046543	33258230	294	3426		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952723/SRR11952723	SRX8497131	CO46 2 week rep 2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795940	SAMN15156745	simple	90675	Camelina sativa	feff1a20-bf7b-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	EB5C2E57FAC3449D4EDA23D4C6A0D370	530D6EEAA0CEDDE7F9ABE2B476F75CF5
SRR11952721	2020-06-08 14:17:13	2020-06-08 14:13:38	30438951	8957520199	30438951	294	3167		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952721/SRR11952721	SRX8497133	CO46 2 week rep 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795940	SAMN15156745	simple	90675	Camelina sativa	feff1a20-bf7b-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	FEEF4D4A2B5BC814D35C6C8C4585CF23	CD69CD082D41AD11EE9DE6977168C6F3
SRR11952711	2020-06-08 14:25:51	2020-06-08 14:22:15	27165049	7899927039	27165049	290	2784		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952711/SRR11952711	SRX8497143	CO46 4 week rep 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795943	SAMN15156756	simple	90675	Camelina sativa	0e46557a-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	184BAECDEB486B1C9A62AF0075667DD2	B02FEAE689E47B4C888E10D437564A1E
SRR11952717	2020-06-08 14:28:47	2020-06-08 14:23:01	36739418	10748863719	36739418	292	3759		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952717/SRR11952717	SRX8497137	CO46 4 week rep 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795943	SAMN15156756	simple	90675	Camelina sativa	0e46557a-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	7C2194F585BE53AE5E12A76CAAF389AF	27004A32AF1B696D5AC464BC22BBBDDD
SRR11952714	2020-06-08 14:40:57	2020-06-08 14:34:33	42238681	12321037479	42238681	291	4315		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952714/SRR11952714	SRX8497140	CO46 4 week rep 2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795943	SAMN15156756	simple	90675	Camelina sativa	0e46557a-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	41FF41E91224ECDF4F456B48FB0A8008	85DBDAB993CD42E8EC38CA2F624B96DE
SRR11952710	2020-06-08 14:28:47	2020-06-08 14:24:22	33111020	9695352211	33111020	292	3438		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952710/SRR11952710	SRX8497144	CO46 0 week rep 2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795933	SAMN15156755	simple	90675	Camelina sativa	18b1e3d8-beac-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	4B1129CD8A8CA931124955D4E9D696A2	9FB66DB30FB4328873326D00A18CB559
SRR11952722	2020-06-16 21:26:48	2020-06-20 02:38:53	27114609	7922375185	27114609	292	3103		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952722/SRR11952722	SRX8497132	CO46 8 week rep 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795939	SAMN15156753	simple	90675	Camelina sativa	2a79ecfc-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	C8FC1DCB36BFF8D7A22F518E77C92A08	E9B7923555AD7B8DBFB1D2A40600D531
SRR11952715	2020-06-08 14:59:53	2020-06-08 14:42:19	80939386	23637867347	80939386	292	8310		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952715/SRR11952715	SRX8497139	Joelle 0 week rep 2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795942	SAMN15156752	simple	90675	Camelina sativa	3dfcb566-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	9C477C8A1028B88BF4468158116A29EF	91B7111C3022615A3AE04FFC3098AA1E
SRR11952713	2020-06-08 14:14:38	2020-06-08 14:11:23	24560946	7127784570	24560946	290	2515		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952713/SRR11952713	SRX8497141	Joelle 0 week rep 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795942	SAMN15156752	simple	90675	Camelina sativa	3dfcb566-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	644D7116509B0B224C110C0426D8DF70	924D41D24B5F94E50033BBD3A5E42A5F
SRR11952718	2020-06-08 14:35:00	2020-06-08 14:18:22	31045414	8996987079	31045414	289	3210		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952718/SRR11952718	SRX8497136	Joelle 0 week rep 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795942	SAMN15156752	simple	90675	Camelina sativa	3dfcb566-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	B97A27D2EDEC3E221E987B98D769D644	FE0F912886E196FE7989CD0C0D649C9B
SRR11952709	2020-06-08 14:19:33	2020-06-08 14:15:23	26894426	7881001808	26894426	293	2765		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952709/SRR11952709	SRX8497145	Joelle 1 week rep 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795934	SAMN15156751	simple	90675	Camelina sativa	4a70cd6e-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	866850587E182E9B63457BE4BD5CA10E	EC348A3E71F841E3B9906C5956D3A255
SRR11952724	2020-06-08 14:52:35	2020-06-08 14:41:57	52209718	15286466130	52209718	292	5426		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952724/SRR11952724	SRX8497130	Joelle 2 week rep 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795938	SAMN15156750	simple	90675	Camelina sativa	6d9bb2ae-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	6458EAD2E059FF4C3EF67A413B07287A	6DC875CD67FC6E1ACAFE36993F024872
SRR11952716	2020-06-08 14:37:30	2020-06-08 14:28:58	41177838	11993983735	41177838	291	4227		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952716/SRR11952716	SRX8497138	Joelle 4 week rep 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795941	SAMN15156749	simple	90675	Camelina sativa	83ffab2c-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	E1278A0974296BFA2091144A41B4F65F	C2DE0220059B8A306CF4984BBD2C65EC
SRR11952719	2020-06-08 14:59:53	2020-06-08 14:51:30	44212140	12956389778	44212140	293	4620		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952719/SRR11952719	SRX8497135	Joelle 4 week rep 2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795941	SAMN15156749	simple	90675	Camelina sativa	83ffab2c-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	7927E09B3F8E53EC4A12FA0F19AEB6EC	C6060C52F1A4CFAD1BC589087A1EFE66
SRR11952720	2020-06-08 14:28:47	2020-06-08 14:23:54	39304618	11525633037	39304618	293	4089		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952720/SRR11952720	SRX8497134	Joelle 4 week rep 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795941	SAMN15156749	simple	90675	Camelina sativa	83ffab2c-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	608BA0CB292BCE1EC25CE47AFF78C372	88F8A85DE9A1CBE9849CDC427F85209E
SRR11952712	2020-06-08 14:52:35	2020-06-08 14:37:18	63356792	18213693431	62081081	287	6144		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952712/SRR11952712	SRX8497142	Joelle 6 week rep 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795932	SAMN15156748	simple	90675	Camelina sativa	99cc5c52-bf7c-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	7C987C0D7516E55192CD91A1C16FE4C6	3ED25EFF7C61AAE4B5C584E8C51E71D3
SRR11952738	2020-06-08 14:32:38	2020-06-08 14:28:50	28126918	8024993462	28126918	285	2830		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952738/SRR11952738	SRX8497116	CO46 0 week rep1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795933	SAMN15156755	simple	90675	Camelina sativa	18b1e3d8-beac-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	D2170CE5097527D3CD4E8D1A080E6BF2	65C5330CF6DA3C4AA4F6F4491E1CB921
SRR11952742	2020-06-08 14:28:46	2020-06-08 14:25:28	31552713	9281252199	31552713	294	3247		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11952742/SRR11952742	SRX8497112	CO46 0 week rep 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP266449	PRJNA637786		637786	SRS6795933	SAMN15156755	simple	90675	Camelina sativa	18b1e3d8-beac-11e9-8bb1-90e2ba675364							no					BIOCI	SRA1084122		public	784B20E372D8773354ADAE0BB91CD538	46537D1388DB26A42387B35E9E212A92
