Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2050535	2015-12-10 18:36:14	2015-06-05 11:26:14	32615477	4710529704	29365177	144	1877		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050535.sralite.1	SRX1048348		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP059058	PRJNA285839	2	285839	SRS952670	SAMN03761291	simple	104421	Camponotus floridanus	GSM1703858							no					GEO	SRA271287		public	4913F51FBA4AAA295CCCAEF66B5469FD	5130908612D35CD887F93849A393B747
SRR2050536	2015-12-10 18:36:14	2015-06-05 11:22:21	28382930	4100257076	25567821	144	1649		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050536.sralite.1	SRX1048349		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP059058	PRJNA285839	2	285839	SRS952669	SAMN03761260	simple	104421	Camponotus floridanus	GSM1703859							no					GEO	SRA271287		public	83C9DDDB58A4DFCF2B33DE950822C203	0434AAC3B7BB73CD79EB206154A3F6E8
SRR2050537	2015-12-10 18:36:14	2015-06-05 11:20:00	19334272	2792370492	17407445	144	1109		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050537.sralite.1	SRX1048350		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP059058	PRJNA285839	2	285839	SRS952668	SAMN03761261	simple	104421	Camponotus floridanus	GSM1703860							no					GEO	SRA271287		public	08B5AD1855BFED0FD0F144F564884383	DC9374F50B78A9860FCBDA8C3F690C98
SRR2060722	2015-08-26 00:00:00	2015-06-11 18:08:20	47387899	4738789900	47387899	100	2971		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/060/SRR2060722.sralite.1	SRX1056795		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP059389	PRJNA286793	2	286793	SRS959391	SAMN03770696	simple	104421	Camponotus floridanus	Cflo_major					female		no					VANDERBILT UNIVERSITY	SRA272677		public	83DEEEDF1FAB294B0AEB0418702ED6BB	9A444D28D106E6EE13571645E93DB174
SRR2060721	2015-08-26 00:00:00	2015-06-11 18:14:59	33421622	1704502722	0	51	1303		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/060/SRR2060721.sralite.1	SRX1056748		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP059389	PRJNA286793	2	286793	SRS959344	SAMN03770695	simple	104421	Camponotus floridanus	Cflo_male					male		no					VANDERBILT UNIVERSITY	SRA272677		public	E4B0FC2397CF119BF5E30E2F589E7686	7B14E2015737CF7AEDA8A69169B201A1
SRR2060723	2015-08-26 00:00:00	2015-06-11 18:02:39	33626855	3362685500	33626855	100	2111		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR206/0723/SRR2060723.sralite.1	SRX1056797		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP059389	PRJNA286793	2	286793	SRS959393	SAMN03770697	simple	104421	Camponotus floridanus	Cflo_minor					female		no					VANDERBILT UNIVERSITY	SRA272677		public	2A70831AA98A7EA3D85E4B1980ACABCF	21919881F6137DBAD80C34FABA107098
SRR3726122	2017-08-11 09:49:28	2016-06-28 13:23:00	30841430	1357022920	0	44	795		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726122.sralite.1	SRX1883101		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP077500	PRJNA327092	2	327092	SRS1529513	SAMN05301032	simple	104421	Camponotus floridanus	GSM2218928							no					GEO	SRA436691		public	1969E4C7815DFC7BA00D168629BCF1D4	C12E367FBF11B19F4169F2C650C5F5F7
SRR3726123	2017-08-11 09:49:28	2016-06-28 13:22:51	31833643	1400680292	0	44	700		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR372/6123/SRR3726123.sralite.1	SRX1883102		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP077500	PRJNA327092	2	327092	SRS1529514	SAMN05301033	simple	104421	Camponotus floridanus	GSM2218929							no					GEO	SRA436691		public	921028E69F92BE70337803B0D252E376	9B05452D11721B0815521A3DA037B9BF
SRR3726124	2017-08-11 09:49:28	2016-06-28 13:22:01	22477386	989004984	0	44	705		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726124.sralite.1	SRX1883103		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP077500	PRJNA327092	2	327092	SRS1529515	SAMN05301034	simple	104421	Camponotus floridanus	GSM2218930							no					GEO	SRA436691		public	2620D72D0ECE2CFFC7BE90BE5D5E4549	2DA141597B397ED90F62FD60BBE0628D
SRR5931468	2018-05-25 15:38:10	2017-08-14 09:18:45	15420029	3084005800	0	200	1381		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/931/SRR5931468.sralite.1	SRX3091726		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP115382	PRJNA398200	2	398200	SRS2429090	SAMN07503275	simple	104421	Camponotus floridanus	GSM2741659							no					GEO	SRA598976		public	9162BBB0D12EE1EF8451A6BADFA64F88	5164D5541A9892719F925F49431D725A
SRR5931469	2018-05-25 15:38:10	2017-08-14 09:24:33	20922598	4184519600	0	200	1866		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/931/SRR5931469.sralite.1	SRX3091727		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP115382	PRJNA398200	2	398200	SRS2429089	SAMN07503303	simple	104421	Camponotus floridanus	GSM2741660							no					GEO	SRA598976		public	BD9BDB12C76E35ED74139C6E1DFBBED5	1B5860FC9D936187F4AF131EFD1A31D6
SRR5931470	2018-05-25 15:38:10	2017-08-14 09:25:42	21684402	4336880400	0	200	1930		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/931/SRR5931470.sralite.1	SRX3091728		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP115382	PRJNA398200	2	398200	SRS2429091	SAMN07503298	simple	104421	Camponotus floridanus	GSM2741661							no					GEO	SRA598976		public	4944A28C624426349A8E2B04660BB9EE	AD016B78E0C1743B3123C31748101E04
SRR5931471	2018-05-25 15:38:10	2017-08-14 09:19:55	15730881	3146176200	0	200	1401		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/931/SRR5931471.sralite.1	SRX3091729		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP115382	PRJNA398200	2	398200	SRS2429092	SAMN07503299	simple	104421	Camponotus floridanus	GSM2741662							no					GEO	SRA598976		public	1622BC79F0C054C2A95DF5BD1850F8F4	832548D17FAF5F12B8FC76B7B09CE1DB
SRR5931472	2018-05-25 15:38:10	2017-08-14 09:24:07	16859151	3371830200	0	200	1507		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/931/SRR5931472.sralite.1	SRX3091730		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP115382	PRJNA398200	2	398200	SRS2429093	SAMN07503301	simple	104421	Camponotus floridanus	GSM2741663							no					GEO	SRA598976		public	F56DDCD30F05803E78433EBECA0AC4FF	89B65C511D7A5E34BEAAAC86ACFB9BCF
