Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13674486	2021-03-08 00:00:07	2021-02-10 01:36:31	41020331	12388139962	41020331	302	4653		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13674486/SRR13674486	SRX10063936	N_CK3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP305591	PRJNA701120		701120	SRS8226084	SAMN17847962	simple	3483	Cannabis sativa	N_CK3							no					CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1194310		public	FFD1ABC1242DF2C8BD39781D14D986CD	131205A2F02B7F93E6094C33AEB45E56
SRR13674485	2021-03-08 00:00:07	2021-02-10 01:08:59	30866747	9321757594	30866747	302	3351		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13674485/SRR13674485	SRX10063937	N_Cd1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP305591	PRJNA701120		701120	SRS8226085	SAMN17847963	simple	3483	Cannabis sativa	N_Cd1							no					CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1194310		public	8B455F66F1930C98D515DBAD9827BD52	F404504B481088B3B07946A7C1E4DE54
SRR10871487	2020-12-31 00:01:44	2020-01-10 19:00:09	31355572	6271114400	31355572	200	2606		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10871/SRR10871487/SRR10871487.lite.1	SRX7541507	157_rep2_t4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP241248	PRJNA599437		599437	SRS5979970	SAMN13750439	simple	3483	Cannabis sativa	157_rep2							no					UNIVERSITY OF BRITISH COLUMBIA	SRA1024067		public	9B61F30A823CAAEA1D30F4D5F64B4F28	B21B78D707078DA1293858D0B2476CB1
SRR10871488	2020-12-31 00:01:44	2020-01-10 19:08:18	37123145	7424629000	37123145	200	2958		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10871/SRR10871488/SRR10871488.lite.1	SRX7541506	157_rep2_t3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP241248	PRJNA599437		599437	SRS5979970	SAMN13750439	simple	3483	Cannabis sativa	157_rep2							no					UNIVERSITY OF BRITISH COLUMBIA	SRA1024067		public	E41820E47286C4567D829EF81546AA7D	69751E5F169D3046506606F32BE42542
SRR10871485	2020-12-31 00:01:44	2020-01-10 18:59:59	19463895	3892779000	19463895	200	1575		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10871/SRR10871485/SRR10871485.lite.1	SRX7541509	157_rep3_t2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP241248	PRJNA599437		599437	SRS5979962	SAMN13750440	simple	3483	Cannabis sativa	157_rep3							no					UNIVERSITY OF BRITISH COLUMBIA	SRA1024067		public	152CD0CE28AAF83A4DB2A3D00269F372	376B3ED1E10B7734638F32600490E97F
SRR10871486	2020-12-31 00:01:44	2020-01-10 18:48:13	19772052	3954410400	19772052	200	1593		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10871486/SRR10871486	SRX7541508	157_rep3_t1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP241248	PRJNA599437		599437	SRS5979962	SAMN13750440	simple	3483	Cannabis sativa	157_rep3							no					UNIVERSITY OF BRITISH COLUMBIA	SRA1024067		public	FA4D4FF7D685EE40AA3F7016457A44F5	71ABA1C648B3DF1BC8F64BB5184B0EFE
SRR10871489	2020-12-31 00:01:44	2020-01-10 18:50:24	23898080	4779616000	23898080	200	1997		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10871489/SRR10871489	SRX7541505	187_rep3_t4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP241248	PRJNA599437		599437	SRS5979975	SAMN13750452	simple	3483	Cannabis sativa	187_rep3							no					UNIVERSITY OF BRITISH COLUMBIA	SRA1024067		public	7AF90E0E117B0C8CE1B0141C053E20E3	EAF5D833CFE7DF23A24717ACB410B065
SRR10871490	2020-12-31 00:01:44	2020-01-10 18:53:39	28230454	5646090800	28230454	200	2249		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10871490/SRR10871490	SRX7541504	187_rep3_t3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP241248	PRJNA599437		599437	SRS5979975	SAMN13750452	simple	3483	Cannabis sativa	187_rep3							no					UNIVERSITY OF BRITISH COLUMBIA	SRA1024067		public	09598B5300D1F759C40C61D5AA00D341	CCA42B7F21B676BD87095F7546A4804E
SRR11887942	2020-06-01 06:16:30	2020-06-01 06:12:05	20681592	6175384072	20681592	298	1845		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887942/SRR11887942	SRX8435438	T01	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746320	SAMN15042905	simple	3483	Cannabis sativa	D2-1							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	228AF5C173B0BB067626EDA85D776104	3E03ECCDDB9DA24BE32635575F27A74A
SRR11887941	2020-06-01 06:10:33	2020-06-01 06:07:49	19753467	5894484272	19753467	298	1728		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887941/SRR11887941	SRX8435439	T02	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746321	SAMN15042921	simple	3483	Cannabis sativa	D2-2							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	D305548991652009BBB4F72F7874F2B5	24331936134CC76AF2C95533B33AFF63
SRR11887938	2020-06-01 06:11:16	2020-06-01 06:09:17	19984655	5962931224	19984655	298	1755		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887938/SRR11887938	SRX8435442	T03	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746324	SAMN15042922	simple	3483	Cannabis sativa	D2-3							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	5931AEA789641E942103EAE4639E6E04	C8251AB0A4406A5231EF5D338D867007
SRR11887934	2020-06-01 06:10:33	2020-06-01 06:07:08	20489893	6124499708	20489893	298	1957		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887934/SRR11887934	SRX8435446	T07	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746328	SAMN15042995	simple	3483	Cannabis sativa	D4-1							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	DF8EA77C4E7A8ED9625B9BFD36B7FBE1	82E318D92094FB568D0B61B5CB8E9907
SRR11887933	2020-06-01 06:11:16	2020-06-01 06:08:28	19483193	5816373684	19483193	298	1826		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887933/SRR11887933	SRX8435447	T08	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746329	SAMN15042996	simple	3483	Cannabis sativa	D4-2							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	4CC9311C96BEC3054C2F2AA552A826A7	E097A97327ECFCE30961F7B1B355851E
SRR11887932	2020-06-01 06:11:16	2020-06-01 06:08:46	19474023	5821193082	19474023	298	1820		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887932/SRR11887932	SRX8435448	T09	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746330	SAMN15043042	simple	3483	Cannabis sativa	D4-3							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	A9014F815284D8E3AAE6E902B9100DF0	6DBAB9D36A662B682D3943EFF01DC063
SRR11887937	2020-06-01 06:14:30	2020-06-01 06:11:56	20394018	6090390944	20394018	298	1899		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887937/SRR11887937	SRX8435443	T04	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746325	SAMN15042923	simple	3483	Cannabis sativa	DS2-1							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	0FD892405E4757A7283AE70018282FB4	FF014011A90F6484EC8FDABA31152659
SRR11887936	2020-06-01 06:10:33	2020-06-01 06:07:50	20997744	6271485606	20997744	298	1961		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887936/SRR11887936	SRX8435444	T05	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746326	SAMN15042936	simple	3483	Cannabis sativa	DS2-2							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	CD2B47E883DEEBD400DC9E93917D72CA	312194BF645258B574A9F8A79B11015A
SRR11887935	2020-06-01 06:08:13	2020-06-01 06:04:44	20863571	6226507656	20863571	298	1950		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887935/SRR11887935	SRX8435445	T06	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746327	SAMN15042939	simple	3483	Cannabis sativa	DS2-3							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	312C706B90DB1DD00D20B9C5460385C3	540F7D0D416A79282EE8017C0C57A052
SRR11887931	2020-06-01 06:12:30	2020-06-01 06:09:50	21242039	6330791892	21242039	298	1816		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887931/SRR11887931	SRX8435449	T10	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746331	SAMN15043216	simple	3483	Cannabis sativa	DS4-1							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	2645E19074752B22171F5EFD459E66A3	43F4DB04535B2BF121DC2BEB0CDBBD9F
SRR11887940	2020-06-01 06:13:22	2020-06-01 06:08:53	27453181	8184300418	27453181	298	2338		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887940/SRR11887940	SRX8435440	T11	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746322	SAMN15043217	simple	3483	Cannabis sativa	DS4-2							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	1E616BD00287704D989FE9CBBD7044F8	6875F64340701A22452D1EF77E091CB7
SRR11887939	2020-06-01 06:10:33	2020-06-01 06:05:35	22304703	6649827682	22304703	298	1903		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11887939/SRR11887939	SRX8435441	T12	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP265442	PRJNA635553		635553	SRS6746323	SAMN15043219	simple	3483	Cannabis sativa	DS4-3							no					HEILONGJIANG ACADEMY SCIENCES	SRA1081654		public	F191084905B9CC4C221BC69F8AAA256A	80259A9063633EADCF3659FE7C57AA33
SRR12831877	2021-04-30 13:10:45	2021-08-18 15:46:57	44467926	6699949043	44467926	150	1698		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12831877/SRR12831877	SRX9299450	PPSFF1-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287515	PRJNA669389	3	669389	SRS7523186	SAMN16447877	simple	3483	Cannabis sativa	PPSFF1-1							no					THE UNIVERSITY OF BRITISH COLUMBIA	SRA1144542		public	5D52D72B95028E086704434DAA7C9925	B0D8A25682E3B7DC1A2755C91DAD7EC8
SRR12831876	2021-04-30 13:10:45	2021-08-18 16:45:37	42603241	6418926096	42603241	150	1627		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12831876/SRR12831876	SRX9299451	PPSFF2E-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287515	PRJNA669389	3	669389	SRS7523187	SAMN16447878	simple	3483	Cannabis sativa	PPSFF2E-1							no					THE UNIVERSITY OF BRITISH COLUMBIA	SRA1144542		public	B69F1D121FBA1DEB7AB7F626762BCF38	13E9FEEE6B8E3606087C167B2EDCD5A9
SRR12831870	2021-04-30 13:10:45	2021-08-18 15:07:46	43214234	6513243330	43214234	150	1650		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12831870/SRR12831870	SRX9299457	PPSFF2L-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287515	PRJNA669389	3	669389	SRS7523191	SAMN16447879	simple	3483	Cannabis sativa	PPSFF2L-1							no					THE UNIVERSITY OF BRITISH COLUMBIA	SRA1144542		public	9B62B07C8D6C0699E8F38A529EBFF31F	19CA8BD9B80A58D3BDC75B3999FD9F07
SRR12831869	2021-04-30 13:10:45	2021-08-18 16:19:07	39298280	5918643395	39298280	150	1501		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12831869/SRR12831869	SRX9299458	PPSFF3-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287515	PRJNA669389	3	669389	SRS7523193	SAMN16447880	simple	3483	Cannabis sativa	PPSFF3-1							no					THE UNIVERSITY OF BRITISH COLUMBIA	SRA1144542		public	B485C05808FA204D29888C9491C477E7	D5600E4F3738F9B3BC6D97DC9A7F1956
SRR12831868	2021-04-30 13:10:45	2021-08-18 16:58:31	49387309	7436140758	49387309	150	1887		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12831868/SRR12831868	SRX9299459	PPSFF4-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287515	PRJNA669389	3	669389	SRS7523194	SAMN16447881	simple	3483	Cannabis sativa	PPSFF4-1							no					THE UNIVERSITY OF BRITISH COLUMBIA	SRA1144542		public	A84A42ECBD98D7E089BD6E7015C63E46	22E43F75FB25496F211E236AD73A17A4
SRR12831867	2021-04-30 13:10:45	2021-08-18 14:56:59	28097672	4232934663	28097672	150	1073		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12831867/SRR12831867	SRX9299460	PPSIMF1-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287515	PRJNA669389	3	669389	SRS7523195	SAMN16447882	simple	3483	Cannabis sativa	PPSIMF1-1							no					THE UNIVERSITY OF BRITISH COLUMBIA	SRA1144542		public	49A326394900A0CA8D1892BA7B4F1387	A788AE96E1F456C1DFBE36DAB3E61290
