Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2576969	2018-07-03 14:09:46	2018-07-05 23:21:56	18665899	3733179800	18665899	200	2368	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR257/6969/ERR2576969.sralite.1	ERX2593960	SOL_Can63_m.1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2500	ERP108302	PRJEB26324	NA	476738	ERS2480374	SAMEA4659747	simple	33114	Capsicum baccatum	SAMEA4659747	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INRA	ERA1484925	NA	public	46D9E1C9EB6051FC2F66C30A343DF97A	443406D55373EB51A6291CADBC3F5DAF
ERR2576956	2018-07-03 14:09:46	2018-07-05 23:08:55	20240097	4048019400	20240097	200	2540	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR257/6956/ERR2576956.sralite.1	ERX2593947	SOL_Can50_m.2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2500	ERP108302	PRJEB26324	NA	476738	ERS2480381	SAMEA4659754	simple	33114	Capsicum baccatum	SAMEA4659754	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INRA	ERA1484925	NA	public	11AADD68C988E849BF257ED2A6B2884C	512B8AC3E4832D02AA231983D0924829
SRR8100093	2018-12-17 00:22:25	2018-10-23 20:24:14	7832839	1582233478	7832839	202	1003	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/100/SRR8100093.sralite.1	SRX4926897	Leaf-3	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	6AFCCB17DC3D79E42C0BE00157ADBCE4	C6AADFC14E3A762EF38DDA69647EE8EC
SRR8100094	2018-12-17 00:22:25	2018-10-23 20:24:01	7082396	1430643992	7082396	202	895	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/100/SRR8100094.sralite.1	SRX4926896	Leaf-2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	B92378ACEF6A756BDF7487E5987BA097	C128A2C332EB903C6C086945B5BA46A7
SRR8100095	2018-12-17 00:22:25	2018-10-23 20:23:46	7847408	1585176416	7847408	202	1016	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/100/SRR8100095.sralite.1	SRX4926895	Leaf-1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	F1C63FB07C1FC5030D9D355C35558BC0	4483626639DC552521216C3F2D89CFE8
SRR8100096	2018-12-17 00:22:25	2018-10-23 20:23:15	6254753	1263460106	6254753	202	791	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/100/SRR8100096.sralite.1	SRX4926894	Root-3	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	BB6AC4C809D6FD56F89608B2AAF746E5	F877812F96BC4BE4E6AEB6C0EABA43F4
SRR8100097	2018-12-17 00:22:25	2018-10-23 20:25:30	9101179	1838438158	9101179	202	1169	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8100097/SRR8100097	SRX4926893	Root-2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	FE4E3C26B159E832904407F27BD748EF	29E399C24351C4006FF6D666A7D6D7B9
SRR8100098	2018-12-17 00:22:25	2018-10-23 20:23:12	6546692	1322431784	6546692	202	825	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/100/SRR8100098.sralite.1	SRX4926892	Root-1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	A77C913C476AFB610DDB40D81FC0A5BA	2AA711D0D0CFD3DB8852E034C23B7772
SRR8100099	2018-12-17 00:22:25	2018-10-23 20:27:36	5565500	1402506000	5565500	252	426	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8100099/SRR8100099	SRX4926891	PRB10-3	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	714795C52755D7826660A46AAA315CA5	D9AB33853355E61DA55AEE26BBA2EE08
SRR8100100	2018-12-17 00:22:25	2018-10-23 20:24:06	6226536	1569087072	6226536	252	482	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/100/SRR8100100.sralite.1	SRX4926890	PRB10-2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP166669	PRJNA308879	2	308879	SRS3972061	SAMN04417068	simple	33114	Capsicum baccatum	Capsicum baccatum PBC81	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SEOUL NATIONAL UNIVERSITY	SRA798107	NA	public	EE61EF42A4E3ABAE9E6272338381BB4F	F329FA00375B03C6D735E5ED83E41A89
