Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR179476	2020-05-11 05:38:03	2020-05-11 05:53:21	4637058	1159264500	4637058	250	364		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR179476/DRR179476	DRX170002		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006094	PRJDB8342	3	629911	DRS138675	SAMD00172070	simple	80379	Capsicum chinense	SAMD00172070							no					CIRA	DRA008429		public	E46265165DA3F2938F1734221E4EBD70	3AB323237F87C849AF52459BA9B4842E
SRR12417737	2021-03-31 21:19:27	2020-08-09 21:52:02	15430997	771549850	0	50	504		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417737/SRR12417737	SRX8913749	sRNA_MRs_01	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170463	SAMN15746635	simple	80379	Capsicum chinense	MR_01							no					HAINAN UNIVERSITY	SRA1110563		public	C2823C328C502D310023B54121A7B906	EB49400B3F1B95BA11DC5A62E30951A8
SRR12417738	2021-03-31 21:19:27	2020-08-09 22:27:12	56217964	16865389200	56217964	300	6786		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417738/SRR12417738	SRX8913748	lncRNA_MRs_01	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170463	SAMN15746635	simple	80379	Capsicum chinense	MR_01							no					HAINAN UNIVERSITY	SRA1110563		public	7B17008879FA4FF8DB9F2010343F632F	6475F351894E3EEE4D3F88FB3335D54E
SRR12417735	2021-03-31 21:19:26	2020-08-09 22:25:30	43865097	13159529100	43865097	300	5697		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417735/SRR12417735	SRX8913751	lncRNA_MRs_02	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170464	SAMN15746636	simple	80379	Capsicum chinense	MR_02							no					HAINAN UNIVERSITY	SRA1110563		public	31EFD4D976EA9081876E13CFE119D06B	FF9BAA80B8588EDCA23FB2CBB3C982CA
SRR12417736	2021-03-31 21:19:26	2020-08-09 21:51:57	12725249	636262450	0	50	420		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417736/SRR12417736	SRX8913750	sRNA_MRs_02	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170464	SAMN15746636	simple	80379	Capsicum chinense	MR_02							no					HAINAN UNIVERSITY	SRA1110563		public	2CF21723E9D57F7C8476D684A220C5D9	BD1DED8A5C8CFB7E760729A14FEA4AAA
SRR12417734	2021-03-31 21:19:26	2020-08-09 22:12:02	50594878	15178463400	50594878	300	5767		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417734/SRR12417734	SRX8913752	lncRNA_MRs_03	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170462	SAMN15746637	simple	80379	Capsicum chinense	MR_03							no					HAINAN UNIVERSITY	SRA1110563		public	DEFE2583A62C8D75C15F688B2472FA47	B062C865E0EF1040AF98F6C2F42F1948
SRR12417745	2021-03-31 21:19:27	2020-08-09 21:52:16	13003224	650161200	0	50	438		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417745/SRR12417745	SRX8913741	sRNA_MRs_03	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170462	SAMN15746637	simple	80379	Capsicum chinense	MR_03							no					HAINAN UNIVERSITY	SRA1110563		public	71072E3D0A6AFC01EE35FFF4BAFD9E5F	ABC5A1FA7BFC73F385588DC1E95E0591
SRR12417748	2021-03-31 21:19:27	2020-08-09 22:22:59	79123399	18637486630	45126512	235	7556		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417748/SRR12417748	SRX8913738	lncRNA_Rs_01	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170459	SAMN15746641	simple	80379	Capsicum chinense	Rs_01							no					HAINAN UNIVERSITY	SRA1110563		public	D3E39CCEBF06B6214EBCC43DC5A1C0C4	DBB1008462DD573A5B8E8DD1D763393B
SRR12417741	2021-03-31 21:19:27	2020-08-09 21:52:35	14133044	706652200	0	50	469		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12417741/SRR12417741	SRX8913745	sRNA_Rs_01	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170459	SAMN15746641	simple	80379	Capsicum chinense	Rs_01							no					HAINAN UNIVERSITY	SRA1110563		public	C6D0D77EC53EEBB22173DB26839C792C	0111C222A6A4184E72F7CA64BC1FE41D
SRR12417747	2021-03-31 21:19:27	2020-08-09 23:05:20	76836718	23051015400	76836718	300	9268		https://sra-pub-sars-cov2.s3.amazonaws.com/run/SRR12417747/SRR12417747	SRX8913739	lncRNA_Rs_02	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP276812	PRJNA655561		655561	SRS7170460	SAMN15746642	simple	80379	Capsicum chinense	Rs_02							no					HAINAN UNIVERSITY	SRA1110563		public	D902EE6837040E88947B1FC075BFFA4B	E3EE2D53C4569F01FFAED50EB52D4C63
