Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR3554592	2016-10-27 16:33:36	2016-05-20 13:17:51	36397646	2657028158	0	73	1670		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/554/SRR3554592.sralite.1	SRX1781443	Ceratitis capitata early spermatocytes	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP075464	PRJNA320356		320356	SRS1452424	SAMN05053206	simple	7213	Ceratitis capitata	Ceratitis capitata early spermatocytes					male		no					UNIVERSITY OF OXFORD	SRA427336		public	A748ED7978D7DDB5ABAA05660CF2D545	D105DF58FE5EC31A3FA31B409A0C246C
SRR3554595	2016-10-27 16:33:36	2016-05-20 13:18:54	37785592	2758348216	0	73	1731		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/554/SRR3554595.sralite.1	SRX1781446	Ceratitis capitata elongated spermatids	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP075464	PRJNA320356		320356	SRS1452427	SAMN05054140	simple	7213	Ceratitis capitata	Ceratitis capitata elongated spermatids					male		no					UNIVERSITY OF OXFORD	SRA427336		public	4D22809B005B399A382A2BA775AD086B	54959D9D832E2E36BF90002DD702BDEE
SRR3554593	2016-10-27 16:33:36	2016-05-20 13:15:01	35689839	2605358247	0	73	1625		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/554/SRR3554593.sralite.1	SRX1781444	Ceratitis capitata late spermatocytes	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP075464	PRJNA320356		320356	SRS1452425	SAMN05053453	simple	7213	Ceratitis capitata	Ceratitis capitata late spermatocytes					male		no					UNIVERSITY OF OXFORD	SRA427336		public	438D8F1BF496770346EFDD35FC4F9D72	EDC33A8C71B8185FA4CEF181385C0A89
SRR3554596	2016-10-27 16:33:36	2016-05-20 13:17:46	37617026	2746042898	0	73	1749		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/554/SRR3554596.sralite.1	SRX1781447	Ceratitis capitata ovary	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP075464	PRJNA320356		320356	SRS1452428	SAMN05054466	simple	7213	Ceratitis capitata	Ceratitis capitata ovary					female		no					UNIVERSITY OF OXFORD	SRA427336		public	FF95A77E69EF45607A24234FB7ABA603	37F4F32E1B3D8D427199CC881A69DBF6
SRR3554594	2016-10-27 16:33:36	2016-05-20 13:29:23	34096259	2489026907	0	73	1508		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/554/SRR3554594.sralite.1	SRX1781445	Ceratitis capitata round spermatids	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP075464	PRJNA320356		320356	SRS1452426	SAMN05053782	simple	7213	Ceratitis capitata	Ceratitis capitata round spermatids					male		no					UNIVERSITY OF OXFORD	SRA427336		public	355D744FAAB59495874CF769B767983A	BBDB066E86EA3FB8EBD5409B0D07B1D7
SRR3436825	2016-04-27 16:28:04	2016-04-25 08:34:04	25997573	1117895639	0	43	757		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/436/SRR3436825.sralite.1	SRX1724876		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073787	PRJNA319480	2	319480	SRS1410344	SAMN04893289	simple	7213	Ceratitis capitata	GSM2131480							no					GEO	SRA419409		public	C323E499DDA655B6A48992B97B4FDF5D	953D6AA9B3405D5729AA5A8A830F1D2D
SRR3436826	2016-04-27 16:28:04	2016-04-25 08:30:33	28363588	1219634284	0	43	870		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/436/SRR3436826.sralite.1	SRX1724877		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073787	PRJNA319480	2	319480	SRS1410343	SAMN04893290	simple	7213	Ceratitis capitata	GSM2131481							no					GEO	SRA419409		public	DC528E62D05557958E7C8D2A4DCB935B	9DB0855A3796D6C25BA8CFC37C56EE28
SRR3436827	2016-04-27 16:28:04	2016-04-25 08:29:56	23945580	1029659940	0	43	700		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/436/SRR3436827.sralite.1	SRX1724878		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073787	PRJNA319480	2	319480	SRS1410345	SAMN04893291	simple	7213	Ceratitis capitata	GSM2131482							no					GEO	SRA419409		public	39E47F49B5EAE48A2DFF1AE848A5B4F2	3349D6E2EF29C95FCAC9FC9E5732D9D1
SRR3436828	2016-04-27 16:28:04	2016-04-25 08:31:37	25812941	1109956463	0	43	753		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/436/SRR3436828.sralite.1	SRX1724879		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073787	PRJNA319480	2	319480	SRS1410347	SAMN04893292	simple	7213	Ceratitis capitata	GSM2131483							no					GEO	SRA419409		public	E1A8D24A5A65E171DB9369832B684296	64861B31FCF5F9AAD6ECA0593BD07DD2
SRR3436829	2016-04-27 16:28:04	2016-04-25 08:30:07	25548740	1098595820	0	43	785		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/436/SRR3436829.sralite.1	SRX1724880		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073787	PRJNA319480	2	319480	SRS1410346	SAMN04893293	simple	7213	Ceratitis capitata	GSM2131484							no					GEO	SRA419409		public	A9A47E44123AD0651F155F1B91B95095	AD095D003D8F555DBA60F7A2DD3031AE
