Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR3084449	2017-01-01 00:00:00	2016-01-05 15:44:28	122336	44078403	0	360	110		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/3084/SRR3084449/SRR3084449.lite.1	SRX1516134	GF6M21K03	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP068013	PRJNA306774		306774	SRS1233028	SAMN04362887	simple	79782	Cimex lectularius	Cimex lectularius CIN-1							no					UNIVERSITY OF KENTUCKY	SRA328076		public	A66CFFDF4282FC2C8BCB2B9D5185920B	E97482DFAA9D17816DD2C8A4DC48F090
SRR3084450	2017-01-01 00:00:00	2016-01-05 18:24:29	117809	38632921	0	327	98		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/3084/SRR3084450/SRR3084450.lite.1	SRX1516135	GF6M21K04	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP068013	PRJNA306774		306774	SRS1233028	SAMN04362887	simple	79782	Cimex lectularius	Cimex lectularius CIN-1							no					UNIVERSITY OF KENTUCKY	SRA328076		public	87E66DD7D01902BD94E0392223B420BA	55E7E03F49E0330E28FD3AE1CC2BCD34
SRR3084451	2017-01-01 00:00:00	2016-01-05 18:25:27	112273	39473149	0	351	101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/3084/SRR3084451/SRR3084451.lite.1	SRX1516136	GF6M21K05	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP068013	PRJNA306774		306774	SRS1233028	SAMN04362887	simple	79782	Cimex lectularius	Cimex lectularius CIN-1							no					UNIVERSITY OF KENTUCKY	SRA328076		public	5083AC149EA811D92E1859AECC449980	2E8A7BD289EFCD24B9CC327687E2FCBE
SRR3084452	2017-01-01 00:00:00	2016-01-05 18:25:28	129832	44569873	0	343	115		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/3084/SRR3084452/SRR3084452.lite.1	SRX1516137	GF909WO01	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX	SRP068013	PRJNA306774		306774	SRS1233028	SAMN04362887	simple	79782	Cimex lectularius	Cimex lectularius CIN-1							no					UNIVERSITY OF KENTUCKY	SRA328076		public	3FF6CEC40085604F0FD5F235407FBE31	E7FF28A7052B96FE31BAF55896CBD8DC
SRR349673	2012-02-22 13:43:32	2012-03-29 18:19:21	32107455	4751903340	32107455	148	2741		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/349/SRR349673.sralite.1	SRX099042	GSM789286: PR1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	225	0	ILLUMINA	Illumina Genome Analyzer	SRP008480	PRJNA145141	2	145141	SRS265464	SAMN00727804	simple	79782	Cimex lectularius	GSM789286							no					GEO	SRA046347		public	6521754DC9ED7F26B8B377A822568491	E9911D279B9C7146FA6CB7AA22B299A5
SRR349674	2012-02-22 13:43:32	2012-01-21 05:38:34	31053668	4720157536	31053668	152	2733		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/349/SRR349674.sralite.1	SRX099043	GSM789287: PR2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina Genome Analyzer	SRP008480	PRJNA145141	2	145141	SRS265465	SAMN00727805	simple	79782	Cimex lectularius	GSM789287							no					GEO	SRA046347		public	FA11E1F3E9804B9E23292CF9C50BBC3D	D6400EB8FB98568A564F21FA7E175081
SRR349675	2012-02-22 13:43:32	2012-03-29 18:06:28	36374462	5383420376	36374462	148	3162		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/349/SRR349675.sralite.1	SRX099044	GSM789288: PS1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina Genome Analyzer	SRP008480	PRJNA145141	2	145141	SRS265466	SAMN00727806	simple	79782	Cimex lectularius	GSM789288							no					GEO	SRA046347		public	7A5459C388A8AC7E08FB741CC1A35160	469D1C13485CD8FBF391D00CD96886BB
SRR349676	2012-02-22 13:43:32	2012-01-21 05:39:54	36200170	5502425840	36200170	152	3395		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/349/SRR349676.sralite.1	SRX099045	GSM789289: PS2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina Genome Analyzer	SRP008480	PRJNA145141	2	145141	SRS265467	SAMN00727807	simple	79782	Cimex lectularius	GSM789289							no					GEO	SRA046347		public	802E974B3FBCD13B0F7724292C27BB86	DB858F2D2609B7D7D6ABC3F46FE48233
SRR1852640	2015-03-06 18:12:58	2015-03-06 18:07:10	26526400	5358332800	26526400	202	3591		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/852/SRR1852640.sralite.1	SRX907005	ICD_CLI5RP.A7MX-F-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	288	0	ILLUMINA	Illumina HiSeq 2000	SRP055931	PRJNA275741		275741	SRS866877	SAMN03379551	simple	79782	Cimex lectularius	CLEC.00-female					female		no					BCM	SRA245864		public	FA783E18B0A04208BB58EB0F3FB660F2	392BBECA42BFFF415E544949DD1A7EC1
SRR1852639	2015-03-06 18:14:58	2015-03-06 18:10:04	34043709	6876829218	34043709	202	4598		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/852/SRR1852639.sralite.1	SRX906994	ICD_CLI5RP.A7MX-M-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	288	0	ILLUMINA	Illumina HiSeq 2000	SRP055931	PRJNA275741		275741	SRS866878	SAMN03379552	simple	79782	Cimex lectularius	CLEC.00-male					male		no					BCM	SRA245863		public	BAF93FD114E957EA0CE1EF40A4331850	859D405CAF1B77FEA52B0316D8355BB8
