Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2039099	2016-05-23 16:31:05	2015-05-23 10:58:11	13466149	1716155891	0	127	1273	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039099/SRR2039099.lite.1	SRX1037495		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944717	SAMN03733229	simple	55188	Citrus unshiu	GSM1695163	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	180C9BA183AEE8EB7AE5A7EABFE98209	6A971A42D315454A9A73B7954918CDE6
SRR2039100	2016-05-23 16:31:05	2015-05-23 10:58:22	13119093	1679402631	0	128	1246	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039100/SRR2039100.lite.1	SRX1037496		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944716	SAMN03733230	simple	55188	Citrus unshiu	GSM1695164	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	AB7F4A36AEFE06DE9806214EF0CD7B1A	032E295C4AACB8AEF7F8CD222D974BD3
SRR2039101	2016-05-23 16:31:05	2015-05-23 10:42:12	13502685	1694822584	0	125	1241	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039101/SRR2039101.lite.1	SRX1037497		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944715	SAMN03733231	simple	55188	Citrus unshiu	GSM1695165	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	675430BE9B33620F0203D112145DA731	A190201A74CDB0A747A0EC5F081D83D4
SRR2039102	2016-05-23 16:31:05	2015-05-23 10:50:22	13751117	1714699837	0	124	1272	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039102/SRR2039102.lite.1	SRX1037498		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944712	SAMN03733232	simple	55188	Citrus unshiu	GSM1695166	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	20A2B409CAD82814FBED20561DDD449E	5BF2422155725399884A290A1F32C8DD
SRR2039103	2016-05-23 16:31:05	2015-05-23 10:46:09	13886168	1837090577	0	132	1342	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039103/SRR2039103.lite.1	SRX1037499		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944711	SAMN03733233	simple	55188	Citrus unshiu	GSM1695167	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	812775D431663401AABBFE890DEE9F05	58D21D6A594C167EBD34938BB500FD96
SRR2039104	2016-05-23 16:31:05	2015-05-23 10:46:58	13314236	1787736960	0	134	1308	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039104/SRR2039104.lite.1	SRX1037500		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944710	SAMN03733234	simple	55188	Citrus unshiu	GSM1695168	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	A457087E8A363E62584FCD8B3A2E6539	87B6DD8FF229B8815E2491FCE89AA518
SRR2039105	2016-05-23 16:31:05	2015-05-23 10:58:55	13124196	1739945200	0	132	1273	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039105/SRR2039105.lite.1	SRX1037501		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944709	SAMN03733235	simple	55188	Citrus unshiu	GSM1695169	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	076CBA1200BD79C3E83B91DD16197128	ED087B14FC14C91B628E17DC749AF734
SRR2039106	2016-05-23 16:31:05	2015-05-23 10:42:09	13880477	1895638266	0	136	1390	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/2039/SRR2039106/SRR2039106.lite.1	SRX1037502		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	SRP058659	PRJNA284785	NA	284785	SRS944708	SAMN03733236	simple	55188	Citrus unshiu	GSM1695170	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA269710	NA	public	8B108017D6F7B269A216F8775F5260C4	03B9E0EB3C27A83C299D348F1C43EDBA
SRR5807899	2018-06-01 00:04:02	2018-07-17 16:03:51	51777760	15533328000	51777760	300	5960	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5807899/SRR5807899	SRX2986489	DFZS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP078015	PRJNA320985	2	320985	SRS2338959	SAMN07326676	simple	55188	Citrus unshiu	DFZS	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HUAZHONG AGRICULTURAL UNIVERSITY	SRA584291	NA	public	98CEE2C8DE8DA5149D457EF3E82ED1DD	1C6F8B2CFDD3576512B6D34BAB12E68F
SRR5807909	2018-06-01 00:04:02	2018-07-17 16:07:13	78449519	14120913420	78449519	180	10487	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5807909/SRR5807909	SRX2986500	SM	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP078015	PRJNA320985	2	320985	SRS2338970	SAMN07326677	simple	55188	Citrus unshiu	SM	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HUAZHONG AGRICULTURAL UNIVERSITY	SRA584296	NA	public	511A6B187C538071088544566365B712	924279598A52B2F45420B1CB95260AFE
