Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2057993	2016-06-05 00:00:00	2015-06-15 07:36:18	6247031	1124465580	0	180	619	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/057/SRR2057993.sralite.1	SRX1054817	Brain	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer	SRP059169	PRJNA219514	NA	219514	SRS957585	SAMN03732764	simple	1594786	Clarias magur	CB-0001B	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	NATIONAL BUREAU OF FISH GENETIC RESOURCES	SRA271620	NA	public	228836C1FECC78DB4450A0941DA6D82C	EC8A18E8872757B247D15B127280BEA1
SRR2052655	2016-06-05 00:00:00	2015-06-08 16:31:00	6229782	1121360760	0	180	609	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/052/SRR2052655.sralite.1	SRX1050081	3732765	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer	SRP059169	PRJNA219514	NA	219514	SRS954278	SAMN03732765	simple	1594786	Clarias magur	CB-0002L	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	NATIONAL BUREAU OF FISH GENETIC RESOURCES	SRA271620	NA	public	85F140157ED54858B1D31C250761F14F	A5B8430039C5ABEA1C799C7A6FDBEA31
SRR2057995	2016-06-05 00:00:00	2015-09-10 04:32:45	6380857	1148554260	0	180	615	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/057/SRR2057995.sralite.1	SRX1054820	Head Kidney	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer	SRP059169	PRJNA219514	NA	219514	SRS957588	SAMN03732766	simple	1594786	Clarias magur	CB-0003HD	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	NATIONAL BUREAU OF FISH GENETIC RESOURCES	SRA271620	NA	public	FD7C5B46DDC89DBEB2FD49EE6EFF9F58	494ED06E49B1DEE6BF5CD4E8556E448F
SRR5930247	2018-09-01 00:05:32	2017-08-12 00:07:14	2647115	748377854	2647115	282	445	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/930/SRR5930247.sralite.1	SRX3090517	CB	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP115335	PRJNA398097	NA	398097	SRS2428209	SAMN07501668	simple	1594786	Clarias magur	16h_female_brain	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CIFE, MUMBAI	SRA598882	NA	public	2BDC67DE1F896FF4C56CCE5DEE48D5A1	87A20E269E5AB5DDA2B3140E93256A70
SRR5930243	2018-09-01 00:05:32	2017-08-12 00:07:15	2681919	751279727	2681919	280	445	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/930/SRR5930243.sralite.1	SRX3090521	GB	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP115335	PRJNA398097	NA	398097	SRS2428211	SAMN07501676	simple	1594786	Clarias magur	16h_male_brain	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CIFE, MUMBAI	SRA598882	NA	public	B25C7E4CCDB1ECC2C6A100110FF973B5	035DB92688523C596A7985AC6FB9E0ED
SRR5930246	2018-09-01 00:05:32	2017-08-12 00:06:48	2396738	657119046	2396738	274	390	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/930/SRR5930246.sralite.1	SRX3090518	CO	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP115335	PRJNA398097	NA	398097	SRS2428208	SAMN07501669	simple	1594786	Clarias magur	16h_ovary	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CIFE, MUMBAI	SRA598882	NA	public	16CA56E7D9614255C443B40FC3806051	3FEEBD7F9C47BF1510D4A9BD31833FDC
SRR5930242	2018-09-01 00:05:32	2017-08-12 00:08:25	2287745	645400285	2287745	282	368	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/930/SRR5930242.sralite.1	SRX3090522	GT	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP115335	PRJNA398097	NA	398097	SRS2428212	SAMN07501677	simple	1594786	Clarias magur	16h_testis	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CIFE, MUMBAI	SRA598882	NA	public	D4D88DC63986C92161AEA1C1391EB73E	C8EAF75113D9A1EA79B53F431231D347
SRR5930238	2018-09-01 00:05:33	2017-08-12 00:06:52	2598261	735198070	2598261	282	436	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/930/SRR5930238.sralite.1	SRX3090526	BB	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP115335	PRJNA398097	NA	398097	SRS2428216	SAMN07501666	simple	1594786	Clarias magur	6h_female_brain	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CIFE, MUMBAI	SRA598882	NA	public	7AB85DF2F617B507E676A68065073BE6	5F83F1944CAEBECFF48BAC787E48B7E8
SRR5930241	2018-09-01 00:05:32	2017-08-12 00:07:06	2467307	678637470	2467307	275	405	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/930/SRR5930241.sralite.1	SRX3090523	FB	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP115335	PRJNA398097	NA	398097	SRS2428213	SAMN07501674	simple	1594786	Clarias magur	6h_male_brain	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CIFE, MUMBAI	SRA598882	NA	public	4C8DF4EF138924FF09FC7E94946495E9	391534374AA73293B6EE4EDA7592AA59
SRR5930239	2018-09-01 00:05:33	2017-08-12 00:08:40	2326701	651240507	2326701	279	388	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/930/SRR5930239.sralite.1	SRX3090525	BO	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP115335	PRJNA398097	NA	398097	SRS2428215	SAMN07501667	simple	1594786	Clarias magur	6h_ovray	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CIFE, MUMBAI	SRA598882	NA	public	883DD1573862192D18B2E4C05B918F17	6C887A22BCDCF83F65944686F4E42BF2
