Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR3773576	2020-03-10 11:33:41	2020-11-10 16:58:37	51336192	7803101184	51336192	152	2489		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773576/ERR3773576	ERX3775325	E_day10_rep1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198217	SAMEA6432019	simple	197152	Cloeon dipterum	SAMEA6432019							no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	C2E66FBAB73B9133080F78556ECBF968	EFD4E64C3E82250D7F6CDFCFE49B127D
ERR3773577	2020-03-10 11:33:41	2020-11-10 17:45:12	45790447	6960147944	45790447	152	2231		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773577/ERR3773577	ERX3775326	E_day10_rep2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198221	SAMEA6432023	simple	197152	Cloeon dipterum	SAMEA6432023							no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	5DBF67106E98DB92D48C2DC176D78AEF	7C35C3068A0022578E98A4AA57AB752B
ERR3773578	2020-03-10 11:33:41	2020-11-10 17:45:01	46108539	7008497928	46108539	152	2264		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773578/ERR3773578	ERX3775327	E_day6_rep1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198216	SAMEA6432018	simple	197152	Cloeon dipterum	SAMEA6432018							no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	088C2613F41DB1DBA63C7C671F23B6B9	671B81CCD9A091DE5D42BD7D213FDD38
ERR3773579	2020-03-10 11:33:41	2020-11-10 17:41:27	38497063	5851553576	38497063	152	1846		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773579/ERR3773579	ERX3775328	Female_head_rep1.1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198231	SAMEA6432033	simple	197152	Cloeon dipterum	SAMEA6432033					female		no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	0E16D3B562AFA825B9E83442F675ED7D	ECCCBA6B9DAE5CFE99B42D77961DD608
ERR3773580	2020-03-10 11:33:41	2020-11-10 16:26:36	15607339	2372315528	15607339	152	747		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773580/ERR3773580	ERX3775329	Female_head_rep1.2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198231	SAMEA6432033	simple	197152	Cloeon dipterum	SAMEA6432033					female		no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	5B588B7417F7FFE608DE8CC968B2E56F	F690F05D7A35F47B680D6AD8616A1ED6
ERR3773581	2020-03-10 11:33:41	2020-11-10 18:02:10	54060592	8217209984	54060592	152	2579		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773581/ERR3773581	ERX3775330	Female_head_rep2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198232	SAMEA6432034	simple	197152	Cloeon dipterum	SAMEA6432034					female		no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	9417066C967CFDD23B7953F5D123A3A9	BE82A578454E618168B922BE7300351E
ERR3773582	2020-03-10 11:33:41	2020-11-10 17:45:41	49648165	7546521080	49648165	152	2377		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773582/ERR3773582	ERX3775331	Male_head_rep1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198233	SAMEA6432035	simple	197152	Cloeon dipterum	SAMEA6432035					male		no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	1216E4322052EDFAF1DF5F666BBD5E60	DF096E02F5B5E876B3B21DCA3209699F
ERR3773583	2020-03-10 11:33:41	2020-11-10 17:52:02	39590086	6017693072	39590086	152	1889		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773583/ERR3773583	ERX3775332	Male_head_rep2.1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198234	SAMEA6432036	simple	197152	Cloeon dipterum	SAMEA6432036					male		no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	20375C017C1B544BE01B17C247D5247B	8F329DBFAB2FDE28EBA45CAE46E52972
ERR3773584	2020-03-10 11:33:41	2020-11-10 16:26:16	15421113	2344009176	15421113	152	739		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773584/ERR3773584	ERX3775333	Male_head_rep2.2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198234	SAMEA6432036	simple	197152	Cloeon dipterum	SAMEA6432036					male		no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327486		public	B52E2C99509F0064D1D5583BFA19E075	21E9455C8A92DC7FED9B3907888C2388
ERR3773587	2020-03-10 11:33:41	2020-11-10 16:24:56	12035179	1829347208	12035179	152	694		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3773587/ERR3773587	ERX3775336	embryo_E14_rep1.1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP117669	PRJEB34721		614205	ERS4198218	SAMEA6432020	simple	197152	Cloeon dipterum	SAMEA6432020							no					CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA2327489		public	08295549DE349539DE94F28D4B486252	5EE07C36A6CB009A5A52E3AFA977D436
