Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR189060	2011-09-13 21:18:41	2015-06-27 09:42:35	31965154	4794773100	0	150	2200	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/189/SRR189060/SRR189060.3	SRX057839	csin_RNAseq	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP006432	PRJNA80037	NA	80037	SRS188796	SAMN00259734	simple	79923	Clonorchis sinensis	Clonorchis sinensis in Guangdong	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA035384	NA	public	E7CE20B51BA8DA193E53937724657B5D	441A63C9A3762991FF39A2D7F3DA3CA4
SRR12459198	2021-09-08 00:55:51	2020-08-16 22:04:22	3083550	67382088	0	21	31	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12459198/SRR12459198	SRX8953531	BGISEQ500RS	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP277737	PRJNA563175	NA	563175	SRS7208660	SAMN12669226	simple	79923	Clonorchis sinensis	Csadult	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	XUZHOU MEDICAL UNIVERSITY	SRA1113354	NA	public	ECD0D450D9012168F5E77D5DC6B5BE2F	A3F6E7F3379B9C3AF1A32E0E529A79D7
SRR6188894	2018-11-09 00:08:00	2017-10-18 19:54:54	49293639	4830776622	49293639	98	2918	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/188/SRR6188894.sralite.1	SRX3298910	LIVzflNBCRAAPEI-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111155	PRJNA386618	2	386618	SRS2338847	SAMN07109486	simple	79923	Clonorchis sinensis	Csk2_genome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA620896	NA	public	F1421BFC11BD3D54D5D07990ACE9C3FB	FAC7C3186CE74F6A99E05D8CE0A9563B
SRR6188895	2018-11-09 00:08:00	2017-10-18 19:53:15	42341688	4149485424	42341688	98	2479	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/188/SRR6188895.sralite.1	SRX3298909	LIVzflNBARAAPEI-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111155	PRJNA386618	2	386618	SRS2338847	SAMN07109486	simple	79923	Clonorchis sinensis	Csk2_genome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA620896	NA	public	65918F7EB13E3D1AC9B80F332E789ADA	8AC9D024E4AC07C199A53F98D488A60F
SRR6188896	2018-11-09 00:08:00	2017-10-18 19:56:19	52255986	5121086628	52255986	98	3060	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/188/SRR6188896.sralite.1	SRX3298908	LIVzflNBBRAAPEI-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111155	PRJNA386618	2	386618	SRS2338847	SAMN07109486	simple	79923	Clonorchis sinensis	Csk2_genome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA620896	NA	public	7DE52787A76EFB669B64C0ECA7114499	8FDB009672C05F3420F6D288CEF5127D
SRR057481	2010-09-03 12:22:49	2014-05-27 03:42:10	14752579	516340265	0	35	350	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/057/SRR057481/SRR057481.sralite.1	SRX021934	GSM553710: miRNA_Clonorchis sinensis	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer	SRP002596	PRJNA127731	2	127731	SRS079353	SAMN00014798	simple	79923	Clonorchis sinensis	GSM553710	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA020140	NA	public	0C29DC6C87E01BE54DCA02E4DAE9626F	1817490C1F1D7F3DE2C2A6B578E7D260
ERR604979	2014-09-17 01:09:30	2021-10-30 21:48:48	13376317	3237068714	13376317	242	1952	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR000/604/ERR604979/ERR604979.lite.2	ERX561807	RNA_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina Genome Analyzer IIx	ERP006987	PRJEB7279	2	261309	ERS543844	SAMEA2770058	simple	79923	Clonorchis sinensis	SAMEA2770058	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Guangzhou iGenomics Co.,Ltd.	ERA358113	NA	public	EF9B723DC3D8375DB19AD21AD006436A	EF5FBC3BFD7A46E98044DF90638E862A
ERR604978	2014-09-17 01:09:30	2021-10-09 17:58:56	51383814	12434882988	51383814	242	7500	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR000/604/ERR604978/ERR604978.lite.2	ERX561808	RNA_4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina Genome Analyzer IIx	ERP006987	PRJEB7279	2	261309	ERS543845	SAMEA2770059	simple	79923	Clonorchis sinensis	SAMEA2770059	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Guangzhou iGenomics Co.,Ltd.	ERA358113	NA	public	1EFB0CB238A7368BD6BCA0E8F7A508BD	BA30CE3B00CB86D2A9072660412CA903
ERR604980	2014-09-17 01:09:30	2021-10-09 17:23:34	38316883	9272685686	38316883	242	5596	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR000/604/ERR604980/ERR604980.lite.2	ERX561809	RNA_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina Genome Analyzer IIx	ERP006987	PRJEB7279	2	261309	ERS543846	SAMEA2770060	simple	79923	Clonorchis sinensis	SAMEA2770060	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Guangzhou iGenomics Co.,Ltd.	ERA358113	NA	public	8A996DA2F6E35737FBBBC2BAC8BB1052	997A90FE4BA008B8BAFCE2DACDDF501D
ERR604981	2014-09-17 01:09:30	2021-10-30 21:49:35	14241430	3446426060	14241430	242	2071	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR000/604/ERR604981/ERR604981.lite.2	ERX561810	RNA_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina Genome Analyzer IIx	ERP006987	PRJEB7279	2	261309	ERS543847	SAMEA2770061	simple	79923	Clonorchis sinensis	SAMEA2770061	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Guangzhou iGenomics Co.,Ltd.	ERA358113	NA	public	692B14CD7257282157152485A51B5BD4	D747799182A2AD4F45F47C534243BE35
