Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR845292	2016-11-26 11:26:31	2016-11-28 15:08:01	125160644	12516064400	0	100	8564	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/845/ERR845292.sralite.1	ERX926203	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP009413	PRJEB8339	NA	354851	ERS694706	SAMEA3319225	simple	568069	Clunio marinus	SAMEA3319225	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX F. PERUTZ LABORATORIES	ERA428733	NA	public	DB54706C906030FC6EBD43937ED3C9FD	F93EA3642FF269AAD9EA9A88163AAECA
ERR845293	2016-11-26 11:26:31	2016-11-28 16:13:50	146938979	29387795800	146938979	200	20409	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/845/ERR845293.sralite.1	ERX926204	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	ERP009413	PRJEB8339	NA	354851	ERS694707	SAMEA3319226	simple	568069	Clunio marinus	SAMEA3319226	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX F. PERUTZ LABORATORIES	ERA428734	NA	public	54771E6D8102650222D2DA03EE368971	5147FC66FB3AB66F5BA309F1B1E918A3
ERR845294	2016-11-26 11:26:31	2016-11-28 15:49:07	154136485	30827297000	154136485	200	21381	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/845/ERR845294.sralite.1	ERX926205	unspecified	RNA-Seq	ChIP	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	ERP009413	PRJEB8339	NA	354851	ERS694708	SAMEA3319227	simple	568069	Clunio marinus	SAMEA3319227	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX F. PERUTZ LABORATORIES	ERA428734	NA	public	21472B30C910F92BF564E62D1B42B44D	931E3B354CD9389B2E9197950E9867BE
ERR2958465	2019-02-13 22:26:50	2019-02-14 03:49:59	3288646	328864600	0	100	201	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/958/ERR2958465.sralite.1	ERX2961255	unspecified	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP112475	PRJEB30068	NA	522158	ERS2954175	SAMEA5146428	simple	568069	Clunio marinus	SAMEA5146428	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX-PLANCK-INSTITUTE FOR CHEMICAL ECOLOGY, GERMANY	ERA1673963	NA	public	3EC70DEDA7BF2183C6BFF782CBCDAE88	59CF383105A940920377748D3764BA73
ERR2958466	2019-02-13 22:26:50	2020-11-08 01:06:14	16000000	1600000000	0	100	1120	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/2958/ERR2958466/ERR2958466.lite.1	ERX2961256	unspecified	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP112475	PRJEB30068	NA	522158	ERS2954176	SAMEA5146429	simple	568069	Clunio marinus	SAMEA5146429	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX-PLANCK-INSTITUTE FOR CHEMICAL ECOLOGY, GERMANY	ERA1673963	NA	public	25B33303ECB46E0D72779CFD21C62A8D	8B0932EB235564292296B84B22587A1C
ERR2958467	2019-02-13 22:26:50	2020-11-08 01:04:20	16000000	1600000000	0	100	1130	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/2958/ERR2958467/ERR2958467.lite.1	ERX2961257	unspecified	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP112475	PRJEB30068	NA	522158	ERS2954177	SAMEA5146430	simple	568069	Clunio marinus	SAMEA5146430	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX-PLANCK-INSTITUTE FOR CHEMICAL ECOLOGY, GERMANY	ERA1673963	NA	public	98FA61F4601193DDB1D06CDED4D34FD1	5AD156D6A0F789469CA829FAF739A3E8
ERR2958468	2019-02-13 22:26:50	2020-11-08 01:05:23	16000000	1600000000	0	100	1122	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/2958/ERR2958468/ERR2958468.lite.1	ERX2961258	unspecified	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP112475	PRJEB30068	NA	522158	ERS2954178	SAMEA5146431	simple	568069	Clunio marinus	SAMEA5146431	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX-PLANCK-INSTITUTE FOR CHEMICAL ECOLOGY, GERMANY	ERA1673963	NA	public	5034B3583A184BF5A266074C254DDA71	2D515821AAAFEF5F61362DC558993DC1
ERR2958469	2019-02-13 22:26:50	2019-02-13 23:19:02	16000000	1600000000	0	100	1130	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/958/ERR2958469.sralite.1	ERX2961259	unspecified	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP112475	PRJEB30068	NA	522158	ERS2954179	SAMEA5146432	simple	568069	Clunio marinus	SAMEA5146432	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX-PLANCK-INSTITUTE FOR CHEMICAL ECOLOGY, GERMANY	ERA1673963	NA	public	5DB4FCDB018EF01A33D3AE18C9E6641A	755B7DB27383BA00DB4A131002C79EA9
ERR2958470	2019-02-13 22:26:50	2019-02-13 23:19:04	16000000	1600000000	0	100	1123	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/958/ERR2958470.sralite.1	ERX2961260	unspecified	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP112475	PRJEB30068	NA	522158	ERS2954180	SAMEA5146433	simple	568069	Clunio marinus	SAMEA5146433	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX-PLANCK-INSTITUTE FOR CHEMICAL ECOLOGY, GERMANY	ERA1673963	NA	public	CDFEA495A10FFBCDA649D99B317CCD2C	FCCDDD8EA6A84963B7D35A26BBCCED36
ERR2958471	2019-02-13 22:26:50	2019-02-13 23:19:53	16000000	1600000000	0	100	1132	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/958/ERR2958471.sralite.1	ERX2961261	unspecified	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP112475	PRJEB30068	NA	522158	ERS2954181	SAMEA5146434	simple	568069	Clunio marinus	SAMEA5146434	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	MAX-PLANCK-INSTITUTE FOR CHEMICAL ECOLOGY, GERMANY	ERA1673963	NA	public	87B79F5F739C5D02F2E080D2CE62CA4F	79F739BD10F3DF8C5E0A54C8826396D0
