Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR15365814	2021-10-01 00:14:46	2021-08-08 07:23:28	31340558	9356236602	31340558	298	2879	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15365/SRR15365814/SRR15365814.lite.1	SRX11668236	CSEPTPBS1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP331450	PRJNA751850	NA	751850	SRS9700778	SAMN20598373	simple	41139	Coccinella septempunctata	CSEPTPBS1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA1271294	NA	public	518FB92FC9A123B1890481AA911839D5	4466BD08B7B671EA90150A03F5F6E397
SRR15365813	2021-10-01 00:14:47	2021-08-08 07:22:04	21028890	6287636954	21028890	298	1937	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR015/15365/SRR15365813/SRR15365813.lite.1	SRX11668237	CSEPTPBS2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP331450	PRJNA751850	NA	751850	SRS9700779	SAMN20598374	simple	41139	Coccinella septempunctata	CSEPTPBS2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA1271294	NA	public	69565EFA08B5BDBA1C07D3AEF1F166A5	4C778441C1CE553DFBF336E68DD9BFB7
SRR15365802	2021-10-01 00:14:47	2021-08-08 07:22:24	27263432	8141617388	27263432	298	2521	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15365/SRR15365802/SRR15365802.lite.1	SRX11668248	CSEPTPBS3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP331450	PRJNA751850	NA	751850	SRS9700790	SAMN20598375	simple	41139	Coccinella septempunctata	CSEPTPBS3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA1271294	NA	public	1928BF4EEE8138B9343EC0AE85FA5A84	6421011F0DEC564223F1BF25E580EC31
SRR15365786	2021-10-01 00:14:48	2021-08-08 07:23:24	19061953	5700927164	19061953	299	1720	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR015/15365/SRR15365786/SRR15365786.lite.1	SRX11668264	CSEPTSM1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP331450	PRJNA751850	NA	751850	SRS9700806	SAMN20598382	simple	41139	Coccinella septempunctata	CSEPTSM1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA1271294	NA	public	605AD428DAF52C12D4591654BB19DCCD	D49F07C50FC3DB0C436CEE6A05932242
SRR15365812	2021-10-01 00:14:47	2021-08-08 07:14:35	22975703	6865419628	22975703	298	2101	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR015/15365/SRR15365812/SRR15365812.lite.1	SRX11668238	CSEPTSM2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP331450	PRJNA751850	NA	751850	SRS9700780	SAMN20598383	simple	41139	Coccinella septempunctata	CSEPTSM2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA1271294	NA	public	0982E64449E010D0058F9425F8F15E27	B1A7317E98E69C07593CBA738AAFE3B3
SRR15365811	2021-10-01 00:14:47	2021-08-08 07:18:59	23608654	7057566094	23608654	298	2114	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15365/SRR15365811/SRR15365811.lite.1	SRX11668239	CSEPTSM3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP331450	PRJNA751850	NA	751850	SRS9700781	SAMN20598384	simple	41139	Coccinella septempunctata	CSEPTSM3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA1271294	NA	public	FBE1180ABB13839C86F5CF5DD3170534	CFAD2CDD6754EAB032DDAF1754D9A299
SRR9649804	2020-01-01 01:16:24	2019-07-06 22:00:09	25022746	7491726556	25022746	299	2987	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/649/SRR9649804.sralite.1	SRX6411336	CSLA1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213364	PRJNA549114	NA	549114	SRS5068629	SAMN12071525	simple	41139	Coccinella septempunctata	CSLA1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA917997	NA	public	097AF085420888E4C85DE5FABF515006	A2CFF024F1656BF43923BD8161E7BDA0
SRR9649791	2020-01-01 01:16:24	2019-07-06 22:01:47	25134890	7523714078	25134890	299	3034	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/649/SRR9649791.sralite.1	SRX6411349	CSLA2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213364	PRJNA549114	NA	549114	SRS5068642	SAMN12071526	simple	41139	Coccinella septempunctata	CSLA2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA917997	NA	public	9D5FD7A4F64033278084398C38F2FE4F	33B532E448610F34E8F1172D4FF62142
SRR9649792	2020-01-01 01:16:24	2019-07-06 21:58:27	21155792	6338013078	21155792	299	2544	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/649/SRR9649792.sralite.1	SRX6411348	CSLA3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213364	PRJNA549114	NA	549114	SRS5068640	SAMN12071527	simple	41139	Coccinella septempunctata	CSLA3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA917997	NA	public	585A39715AF8A47FC1F270AAA6F3584A	8E9F4D556C5E3216745FFD0F2D329926
SRR9649799	2020-01-01 01:16:24	2019-07-06 22:01:13	22405645	6698784492	22405645	298	2669	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/649/SRR9649799.sralite.1	SRX6411341	CSLM1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213364	PRJNA549114	NA	549114	SRS5068632	SAMN12071522	simple	41139	Coccinella septempunctata	CSLM1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SUN YAT-SEN UNIVERSITY	SRA917997	NA	public	9A6E7D858B5446CDB8F7818685C5EC69	F6F03CED8E0B18E214C97A6F66ACA367
