Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR4549888	2020-09-05 12:18:31	2021-01-10 14:13:20	20945587	5844432501	20945587	279	1666	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4549/ERR4549888/ERR4549888.lite.1	ERX4487879	unspecified	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP123471	PRJEB39901	NA	661652	ERS5037631	SAMEA7277026	simple	13443	Coffea arabica	SAMEA7277026	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNESP - UNIV ESTADUAL PAULISTA, INSTITUTE OF BIOSC	ERA2824134	NA	public	0A650F17C10A8AE1B438C74C9D36E182	4BD4FB8EA3776C2DC783AF2C477C49F4
ERR4695286	2020-10-21 08:57:30	2020-11-05 02:24:53	6487608	1648253307	0	254	617	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4695/ERR4695286/ERR4695286.lite.1	ERX4616351	standard 18 x Truseq total RNA library preparation	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	ERP106710	PRJEB24850	NA	629134	ERS5219145	SAMEA7460966	simple	13443	Coffea arabica	SAMEA7460966	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	ERA3009019	NA	public	677540369F831A8744934856E3AE6034	0A0A2084EB494932F802E1AA60973D91
ERR2286364	2020-04-24 23:53:29	2020-04-24 23:44:48	5754419	1477826263	0	256	556	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/286/ERR2286364.sralite.1	ERX2337890	18 x Truseq total RNA library preparation and Ribo-Zero kit	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	ERP106710	PRJEB24850	NA	629134	ERS2181338	SAMEA104570054	simple	13443	Coffea arabica	SAMEA104570054	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	ERA1205336	NA	public	3F0F0B9A5957052F48736E101E294FF7	1D9AFD67A1576AAC0FB750CE90CE5FAC
ERR2286365	2020-04-24 23:53:29	2020-04-30 23:51:30	6818365	1727062171	0	253	650	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/286/ERR2286365.sralite.1	ERX2337891	18 x Truseq total RNA library preparation and Ribo-Zero kit	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	ERP106710	PRJEB24850	NA	629134	ERS2181339	SAMEA104570055	simple	13443	Coffea arabica	SAMEA104570055	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	ERA1205336	NA	public	837B099F6FF1D288593D133418921257	39304935C9B7AABDE927A8043315A3B3
ERR2286366	2020-04-24 23:53:29	2020-04-29 22:49:42	6487608	1648253307	0	254	617	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/286/ERR2286366.sralite.1	ERX2337892	18 x Truseq total RNA library preparation and Ribo-Zero kit	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	ERP106710	PRJEB24850	NA	629134	ERS2181340	SAMEA104570056	simple	13443	Coffea arabica	SAMEA104570056	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	ERA1205336	NA	public	677540369F831A8744934856E3AE6034	0A0A2084EB494932F802E1AA60973D91
ERR2286367	2020-04-24 23:53:29	2020-04-30 23:51:55	7389967	1880820006	0	254	707	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/286/ERR2286367.sralite.1	ERX2337893	18 x Truseq total RNA library preparation and Ribo-Zero kit	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	ERP106710	PRJEB24850	NA	629134	ERS2181341	SAMEA104570057	simple	13443	Coffea arabica	SAMEA104570057	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	ERA1205336	NA	public	8DFD343B17A303A61D2CC5F64256E0FE	9813606A4C43DC893632DE70FEDB00B5
ERR2286368	2020-04-24 23:53:29	2020-04-29 22:50:02	2486460	614595290	0	247	253	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/286/ERR2286368.sralite.1	ERX2337894	18 x Truseq total RNA library preparation and Ribo-Zero kit	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	ERP106710	PRJEB24850	NA	629134	ERS2181342	SAMEA104570058	simple	13443	Coffea arabica	SAMEA104570058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	ERA1205336	NA	public	C4F38C3C5A782B3BF950D926312B0188	3E153A0993AFDFF7F1390E0650C1B0C3
ERR2286369	2020-04-24 23:53:29	2020-04-29 22:49:44	2241343	553513807	0	246	226	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/286/ERR2286369.sralite.1	ERX2337895	18 x Truseq total RNA library preparation and Ribo-Zero kit	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	ERP106710	PRJEB24850	NA	629134	ERS2181343	SAMEA104570059	simple	13443	Coffea arabica	SAMEA104570059	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	ERA1205336	NA	public	76691EE89649CC43EAF7CA40009845CA	09A2F7F3439E869B4CA9D71987D34842
SRR11087418	2021-03-01 00:04:55	2020-02-14 08:50:38	702752	35137600	0	50	23	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11087/SRR11087418/SRR11087418.lite.1	SRX7726418	TGACCA_L002_R1_008	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP249514	PRJNA606444	NA	606444	SRS6147801	SAMN14091272	simple	13443	Coffea arabica	1A	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	FCUL	SRA1042282	NA	public	A281183134C026838B5BAE4255155167	4D8419219D88FCC80C501CCBE5EB0232
SRR11087429	2021-03-01 00:04:55	2020-02-14 08:51:13	4000000	200000000	0	50	125	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11087/SRR11087429/SRR11087429.lite.1	SRX7726407	TGACCA_L002_R1_007	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP249514	PRJNA606444	NA	606444	SRS6147801	SAMN14091272	simple	13443	Coffea arabica	1A	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	FCUL	SRA1042282	NA	public	50C3B1CC37177782F7D69F57C3086570	646BA3C2F2801CF13D2BD22D695D8E3C
