Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR10397458	2019-12-17 06:34:42	2019-11-05 18:05:01	22485951	5666459652	22485951	252	1792	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/397/SRR10397458.sralite.1	SRX7097705	RNASeq_101	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610074	SAMN13208451	simple	72248	Colias croceus	RNASeq_101	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	812CFFA7D9C07234825AA4647321CA25	D9C39BDAF070CBF3B11EAA75FD6C7B0C
SRR10397457	2019-12-17 06:34:42	2019-11-05 18:18:50	32208856	8116631712	32208856	252	2622	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/397/SRR10397457.sralite.1	SRX7097706	RNASeq_102	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610075	SAMN13208452	simple	72248	Colias croceus	RNASeq_102	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	2BBC50A126BF25238CFAEF89691F2DA0	ACE0CDBA1CFE20BE388342F0CF3850F4
SRR10397450	2019-12-17 06:34:42	2019-11-05 18:12:18	30052339	7573189428	30052339	252	2426	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/397/SRR10397450.sralite.1	SRX7097713	RNASeq_103	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610082	SAMN13208453	simple	72248	Colias croceus	RNASeq_103	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	8F117CBF8345E741446B09834346BF05	35650370D86E95C02D810278F74C4306
SRR10397449	2019-12-17 06:34:42	2019-11-05 18:11:26	30907369	7788656988	30907369	252	2469	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/397/SRR10397449.sralite.1	SRX7097714	RNASeq_104	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610083	SAMN13208454	simple	72248	Colias croceus	RNASeq_104	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	C8D80AC12F4BBAAF8104A534DA9CDD79	CFF2D2E32301912A62BF06AF2B42A36B
SRR10397448	2019-12-17 06:34:42	2019-11-05 18:02:22	25521374	6431386248	25521374	252	2022	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/397/SRR10397448.sralite.1	SRX7097715	RNASeq_105	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610084	SAMN13208455	simple	72248	Colias croceus	RNASeq_105	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	D85BF2E4512C4451EC3E993E62306624	22C54142ECF4F56EF74149891E854508
SRR10397447	2019-12-17 06:34:42	2019-11-05 18:15:45	31403406	7913658312	31403406	252	2508	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/397/SRR10397447.sralite.1	SRX7097716	RNASeq_106	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610085	SAMN13208456	simple	72248	Colias croceus	RNASeq_106	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	431105BF85C366BDBFD977BD19BB7C7C	1FB31328B0CDE8F3F538943AE4DECCFC
SRR10397446	2019-12-17 06:34:42	2019-11-05 18:03:40	26221551	6607830852	26221551	252	2052	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/397/SRR10397446.sralite.1	SRX7097717	RNASeq_107	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610086	SAMN13208457	simple	72248	Colias croceus	RNASeq_107	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	4FB39FBF2E310FFFD45CA022F0BA172B	B5FC3E2B705E02223B074D156E9DD149
SRR10397445	2019-12-17 06:34:42	2019-11-05 18:04:07	27317727	6884067204	27317727	252	2196	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/397/SRR10397445.sralite.1	SRX7097718	RNASeq_108	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610087	SAMN13208458	simple	72248	Colias croceus	RNASeq_108	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	E1E1A5BF0DC90DEC0213212E947CCA73	E2ABBA7910F171969EAE80F00D5E46BA
SRR10397444	2019-12-17 06:34:42	2019-11-05 18:03:18	21878734	5513440968	21878734	252	1738	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/397/SRR10397444.sralite.1	SRX7097719	RNASeq_109	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610088	SAMN13208459	simple	72248	Colias croceus	RNASeq_109	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	5623602258D5588AEF83943540C768D6	BAA1DA42114F8129290922FF0729E966
SRR10397443	2019-12-17 06:34:42	2019-11-05 18:10:43	30685466	7732737432	30685466	252	2525	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/397/SRR10397443.sralite.1	SRX7097720	RNASeq_110	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP228481	PRJNA587755	NA	587755	SRS5610089	SAMN13208460	simple	72248	Colias croceus	RNASeq_110	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STOCKHOLM UNIVERSITY	SRA991176	NA	public	29749A2C511434A17888BF8EB8050E94	D0B70689D38FD1FBDCEC30274CF9D165
