Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5177037	2017-01-17 08:02:00	2017-01-13 21:41:13	25088487	5066126786	25088487	201	3094	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/177/SRR5177037.sralite.1	SRX2493235	T01	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP096771	PRJNA361017	NA	361017	SRS1922751	SAMN06219348	simple	261450	Coptis chinensis	T01	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	SRA527323	NA	public	2AE4BDABA498E4E818A4349EF35AD56B	E68836C108D4D0CEFE250B3C8AB41A21
SRR5177036	2017-01-17 08:02:00	2017-01-13 21:48:45	23905895	4827775131	23905895	201	2973	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/177/SRR5177036.sralite.1	SRX2493234	T02	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP096771	PRJNA361017	NA	361017	SRS1922750	SAMN06219349	simple	261450	Coptis chinensis	T02	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	SRA527323	NA	public	C0A5C3FFFDAAE9A92E7A05076501FC74	8B86EBE8167FBD00501BAF66464E6CFA
SRR5177035	2017-01-17 08:02:00	2017-01-13 21:40:53	24723011	4993262950	24723011	201	3047	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/177/SRR5177035.sralite.1	SRX2493233	T03	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP096771	PRJNA361017	NA	361017	SRS1922749	SAMN06219350	simple	261450	Coptis chinensis	T03	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	SRA527323	NA	public	4ACB20F281B2F69E7EC4B4323613776A	797C64913AE5571C54BA29FB2B77756D
SRR5947132	2018-07-16 00:42:30	2017-09-08 07:05:59	43377619	5422202375	0	125	2042	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/947/SRR5947132.sralite.1	SRX3105522		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP115722	PRJNA394951	NA	394951	SRS2440980	SAMN07367940	simple	261450	Coptis chinensis	Coptis chinensis Franch	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	YUNNAN AGRICULTURAL UNIVERSITY	SRA588794	NA	public	560DEEFB62396EAE94A76584D34BA8F4	4B479F6BDBA9B13FD3B9CB3E12718624
SRR6705070	2018-02-10 05:49:28	2018-02-10 05:46:04	29640499	8892149700	29640499	300	3106	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/705/SRR6705070.sralite.1	SRX3679182	CcLF1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP132619	PRJNA433257	NA	433257	SRS2939561	SAMN08473773	simple	261450	Coptis chinensis	CcLF1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	YUNNAN AGRICULTURAL UNIVERSITY	SRA658542	NA	public	6832C13B40D3E5D54A33327462FF7089	FDFE14AF89DB4DC641264C76FDB1125C
SRR6705071	2018-02-10 05:49:28	2018-02-10 05:44:16	28745217	8623565100	28745217	300	2987	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/705/SRR6705071.sralite.1	SRX3679181	CcLF2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP132619	PRJNA433257	NA	433257	SRS2939559	SAMN08473774	simple	261450	Coptis chinensis	CcLF2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	YUNNAN AGRICULTURAL UNIVERSITY	SRA658542	NA	public	0DF43888E6D669258A259DE4D86DB4BB	4053637CFB040E7B4845072A2C3E735C
SRR6705068	2018-02-10 05:41:12	2018-02-10 05:38:08	21199106	5299776500	21199106	250	1870	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/705/SRR6705068.sralite.1	SRX3679184	CcLF3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132619	PRJNA433257	NA	433257	SRS2939562	SAMN08473775	simple	261450	Coptis chinensis	CcLF3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	YUNNAN AGRICULTURAL UNIVERSITY	SRA658542	NA	public	2BBC174BA2F33D5D68C7903DA7A8CAB5	22CAF968FDFE77501C33B4BFFDE41222
SRR6705069	2018-02-10 05:47:12	2018-02-10 05:42:39	25865981	7759794300	25865981	300	2718	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/705/SRR6705069.sralite.1	SRX3679183	CcRT1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP132619	PRJNA433257	NA	433257	SRS2939560	SAMN08473776	simple	261450	Coptis chinensis	CcRT1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	YUNNAN AGRICULTURAL UNIVERSITY	SRA658542	NA	public	7159BC1EDEB00204D4012419CA4D0EF5	A087BCCE0DA6740FDDE1043EEDC8DB5C
SRR6705066	2018-02-10 05:47:12	2018-02-10 05:43:04	26266054	7879816200	26266054	300	2740	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/705/SRR6705066.sralite.1	SRX3679186	CcRT2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP132619	PRJNA433257	NA	433257	SRS2939564	SAMN08473777	simple	261450	Coptis chinensis	CcRT2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	YUNNAN AGRICULTURAL UNIVERSITY	SRA658542	NA	public	5C7BBF869F6F1527377C5683C6914823	2D929A8653F6B910CCDF24B7DE03E725
SRR6705067	2018-02-10 05:47:12	2018-02-10 05:42:21	27408041	6852010250	27408041	250	2516	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/705/SRR6705067.sralite.1	SRX3679185	CcRT3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132619	PRJNA433257	NA	433257	SRS2939563	SAMN08473778	simple	261450	Coptis chinensis	CcRT3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	YUNNAN AGRICULTURAL UNIVERSITY	SRA658542	NA	public	9D150EE2D8C43A390BA2D6509A3A0978	31D97D1CA478FA08AD8CFA531B3CBA1C
