Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1185246	2015-03-06 20:52:50	2014-03-07 01:59:51	26131630	2351846700	0	90	1520	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/185/SRR1185246/SRR1185246.sralite.1	SRX482666		RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP039527	PRJNA240337	NA	240337	SRS567159	SAMN02676616	simple	36987	Coptotermes formosanus	iso1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	NANKAI UNIVERSITY	SRA143966	NA	public	5ACDF329645806830A3B7B70BC40A528	A1F82BDE7ED65A8597F7C5A456B89E14
SRR1185247	2015-03-06 20:52:50	2014-03-07 01:59:53	26131630	2351846700	0	90	1586	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/185/SRR1185247/SRR1185247.sralite.1	SRX482666		RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP039527	PRJNA240337	NA	240337	SRS567159	SAMN02676616	simple	36987	Coptotermes formosanus	iso1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	NANKAI UNIVERSITY	SRA143966	NA	public	64CCECCADAD16C32550E988F903EE36B	90E5D8D0F88CDEF0A6910CAF0CB9CD98
SRR2155577	2017-12-29 09:46:42	2015-08-12 08:37:30	6624582	1192424760	6624582	180	759	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/155/SRR2155577/SRR2155577.sralite.1	SRX1142578	SAMN03951913	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP062310	PRJNA291673	NA	291673	SRS1028888	SAMN03951913	simple	36987	Coptotermes formosanus	Midgut	NA	NA	NA	NA	asexual	NA	no	NA	NA	NA	NA	JIANGSU UNIVERSITY	SRA288685	NA	public	3DAA4C8E79D2DF52DEDD8DBF9DD4ACF9	92B26B96E65E296F133AE45DEBAB465D
SRR2155575	2017-12-29 09:46:42	2015-08-12 08:37:40	6450467	1161084060	6450467	180	760	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/155/SRR2155575/SRR2155575.sralite.1	SRX1142576	SAMN03951911	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP062310	PRJNA291673	NA	291673	SRS1028890	SAMN03951911	simple	36987	Coptotermes formosanus	Salivary glands	NA	NA	NA	NA	asexual	NA	no	NA	NA	NA	NA	JIANGSU UNIVERSITY	SRA288685	NA	public	68F3551D01EF60C65282010B7A875F58	A48BFD36E02FF87E8E8EC94A82442F08
SRR2155576	2017-12-29 09:46:42	2015-08-12 08:37:15	6842949	1231730820	6842949	180	815	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/155/SRR2155576/SRR2155576.sralite.1	SRX1142577	SAMN03951912	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP062310	PRJNA291673	NA	291673	SRS1028889	SAMN03951912	simple	36987	Coptotermes formosanus	Foregut	NA	NA	NA	NA	asexual	NA	no	NA	NA	NA	NA	JIANGSU UNIVERSITY	SRA288685	NA	public	C04639174F3C26CFA0A9CFDE094D61F9	D73EB5245112556B5790E9091C0E1584
SRR2155578	2017-12-29 09:46:42	2015-08-12 08:29:28	6892228	1240601040	6892228	180	794	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/155/SRR2155578/SRR2155578.sralite.1	SRX1142579	SAMN03951914	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP062310	PRJNA291673	NA	291673	SRS1028887	SAMN03951914	simple	36987	Coptotermes formosanus	Hindgut	NA	NA	NA	NA	asexual	NA	no	NA	NA	NA	NA	JIANGSU UNIVERSITY	SRA288685	NA	public	F71F8AE5A82FDC010C2F2F8A4AB45859	C5927687E334E46A054568B4F2F756A8
SRR3095926	2016-09-06 23:19:30	2016-01-12 10:50:16	55099063	11019041624	55099063	199	6261	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/095/SRR3095926.sralite.1	SRX1526285	reference transcriptome of Coptotermes formosanus	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2500	SRP068272	PRJNA308390	NA	308390	SRS1244185	SAMN04395143	simple	36987	Coptotermes formosanus	Illumina sequencing of Formosan subterranean termite (Coptotermes formosanus Shiraki) transcriptome	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	'GUANGDONG ENTOMOLOGICAL INSTITUTE'	SRA332684	NA	public	40E34C1D2D64961092AD6E7386A7171B	D091852E45C3313C52BC20C7C7269A4E
SRR3097983	2016-09-06 23:16:30	2016-01-13 20:38:58	11510702	2301858049	11510702	199	1348	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/097/SRR3097983.sralite.1	SRX1528058	T1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2500	SRP068332	PRJNA308507	NA	308507	SRS1245784	SAMN04396630	simple	36987	Coptotermes formosanus	Cfo_0.038%CO2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	'GUANGDONG ENTOMOLOGICAL INSTITUTE'	SRA333010	NA	public	12EE9092CD796905BB8C31CB2D6ADE83	92A5AFADAFF0EB51CA7E046F00CDB1CE
SRR3097984	2016-09-06 23:18:27	2016-01-12 23:30:00	10864040	2172585864	10864040	199	1267	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/097/SRR3097984.sralite.1	SRX1528059	T2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2500	SRP068332	PRJNA308507	NA	308507	SRS1245785	SAMN04396631	simple	36987	Coptotermes formosanus	Cfo_0.38%CO2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	'GUANGDONG ENTOMOLOGICAL INSTITUTE'	SRA333010	NA	public	32C844F54BDBCC2B94465885A3931D73	2C3BB9ADFA48499304E71E9DC213485F
SRR3097985	2016-09-06 23:18:48	2016-01-13 01:33:51	11188759	2237528075	11188759	199	1312	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/097/SRR3097985.sralite.1	SRX1528060	T3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2500	SRP068332	PRJNA308507	NA	308507	SRS1245786	SAMN04396632	simple	36987	Coptotermes formosanus	Cfo_3.8%CO2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	'GUANGDONG ENTOMOLOGICAL INSTITUTE'	SRA333010	NA	public	FD68DF2CF449AD74AC53F4D4E7AE9C53	9BBF711FE37B65557905E67725B35145
SRR3097987	2016-09-06 23:18:53	2016-01-13 02:35:57	11071504	2214078397	11071504	199	1297	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/097/SRR3097987.sralite.1	SRX1528061	T4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2500	SRP068332	PRJNA308507	NA	308507	SRS1245787	SAMN04396633	simple	36987	Coptotermes formosanus	Cfo_38%CO2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	'GUANGDONG ENTOMOLOGICAL INSTITUTE'	SRA333010	NA	public	CBD8E83F0673EB1B9146463E2ABC2EF3	C62DEC4FFE39F0D2110BDACFC22FD061
SRR10273597	2020-11-08 00:00:52	2019-10-14 11:04:28	21718353	6515505900	21718353	300	1970	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10273/SRR10273597/SRR10273597.lite.1	SRX6986803	CK-1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225528	PRJNA577439	NA	577439	SRS5509927	SAMN13025801	simple	36987	Coptotermes formosanus	Control group 1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GUANGDONG INSTITUTE OF APPLIED BIOLOGICAL RESOURCES	SRA978698	NA	public	0FC6B13300309C5EF51EDE21E8C3E327	05F6EAA1A6435677BEE894132B6D4CE7
SRR10273596	2020-11-08 00:00:52	2019-10-14 11:01:57	19776150	5932845000	19776150	300	1762	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10273/SRR10273596/SRR10273596.lite.1	SRX6986804	CK-2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225528	PRJNA577439	NA	577439	SRS5509928	SAMN13025802	simple	36987	Coptotermes formosanus	Control group 2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GUANGDONG INSTITUTE OF APPLIED BIOLOGICAL RESOURCES	SRA978698	NA	public	537C9B8AE29B46E5B0971C8674B9DF4E	FBBE40F0E78AC77404DBA2B158A0C109
