Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5046779	2016-01-20 23:50:17	2016-11-25 03:11:51	93712477	23615544204	93712477	252	7516		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/046/SRR5046779.sralite.1	SRX2369404		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP053213	PRJNA215142	2	215142	SRS1815060	SAMN03338739	simple	210143	Corchorus capsularis	BARJ_JUTE_CVL-1_Seedlings_RNA-Seq							no					BANGLADESH JUTE RESEARCH INSTITUTE	SRA234719		public	290F89492BA2E998FA08D83F7EE9568B	7DF8A0BB4AE651336E4FCC1F8249555D
SRR5046780	2016-01-20 23:50:17	2016-11-28 17:30:45	121275520	30561431040	121275520	252	9967		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/046/SRR5046780.sralite.1	SRX2369404		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP053213	PRJNA215142	2	215142	SRS1815060	SAMN03338739	simple	210143	Corchorus capsularis	BARJ_JUTE_CVL-1_Seedlings_RNA-Seq							no					BANGLADESH JUTE RESEARCH INSTITUTE	SRA234719		public	B07DC7AFDD665F539B0D68BD7EF6C8C5	B7F1AB29DA0CB15C82B02A635D4DBCB7
SRR5046781	2016-01-20 23:50:17	2016-11-28 18:18:15	95218912	23995165824	95218912	252	7650		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/046/SRR5046781.sralite.1	SRX2369404		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP053213	PRJNA215142	2	215142	SRS1815060	SAMN03338739	simple	210143	Corchorus capsularis	BARJ_JUTE_CVL-1_Seedlings_RNA-Seq							no					BANGLADESH JUTE RESEARCH INSTITUTE	SRA234719		public	CBFBAC15DB934601EEC7CAEFD0A99FB5	8108B9287521C399F2CFC7A8B226D7DC
SRR8984101	2020-04-30 00:01:06	2019-04-29 10:23:07	20970337	6291101100	20970337	300	2579		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8984101/SRR8984101	SRX5763400	Control_C_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP194110	PRJNA535393		535393	SRS4698032	SAMN11494396	simple	210143	Corchorus capsularis	C1RP10180101ONE1230GYZ							no					SHANGRAO NORMAL UNIVERSITY	SRA879752		public	ECD62ADE85C00DC9681907B6DBEEBC04	B7C2D331755F43EFEB1A02DA96B73FB3
SRR8984102	2020-04-30 00:01:06	2019-04-29 10:25:15	24350230	7305069000	24350230	300	2980		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8984102/SRR8984102	SRX5763399	Sample_S_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP194110	PRJNA535393		535393	SRS4698031	SAMN11494398	simple	210143	Corchorus capsularis	C3RP30180303THREE7892GYZ							no					SHANGRAO NORMAL UNIVERSITY	SRA879752		public	002870912FC37F54494904905CAF3572	5EF7B9C42BF300005041B470AE227624
SRR9729094	2020-08-08 05:27:27	2019-07-22 14:18:29	15569731	3892432750	15569731	250	1371		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9729/SRR9729094/SRR9729094.lite.1	SRX6486524	CcH01	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135445	SAMN12327429	simple	210143	Corchorus capsularis	SAMN0384 9951							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	04E8CD99B4BA863C32D8973DDC5901BC	54D2F117C4D53F4F8918701EA843B71C
SRR9729091	2020-08-08 05:27:27	2019-07-22 14:16:56	16842795	4210698750	16842795	250	1449		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9729/SRR9729091/SRR9729091.lite.1	SRX6486527	CcR02	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135448	SAMN12327430	simple	210143	Corchorus capsularis	SAMN0384 9952							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	7DCBB5CF6271BC23992A9544196BB6A9	4E4F4D4CFC0403FD652C84DC5CF529C6
SRR9729092	2020-08-08 05:27:27	2019-07-22 14:21:11	16263505	4065876250	16263505	250	1402		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9729/SRR9729092/SRR9729092.lite.1	SRX6486526	CcSB03	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135447	SAMN12327431	simple	210143	Corchorus capsularis	SAMN0384 9953							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	06FAD15426D728E4F52391352970AA65	BA15512AED6318391A35076FF2E7267E
SRR9729093	2020-08-08 05:27:27	2019-07-22 14:20:46	19947023	4986755750	19947023	250	1724		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9729093/SRR9729093	SRX6486525	CcSS04	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135446	SAMN12327432	simple	210143	Corchorus capsularis	SAMN0384 9954							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	68A0CF37D3C583A2DE204F492F0A5BAE	7E21242D1FE18765AB5C489E458E5646
SRR9729098	2020-08-08 05:27:27	2019-07-22 14:19:30	16956547	4239136750	16956547	250	1461		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9729098/SRR9729098	SRX6486520	CcL05	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135441	SAMN12327433	simple	210143	Corchorus capsularis	SAMN0384 9955							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	08D08778C7DC777BC75D597677A7C6D5	06AD96A78823F1F169F8864026AEA90C
SRR9729099	2020-08-08 05:27:27	2019-07-22 14:17:50	16062997	4015749250	16062997	250	1388		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9729099/SRR9729099	SRX6486519	CcSB06	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135440	SAMN12327434	simple	210143	Corchorus capsularis	SAMN0384 9956							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	4B1B60F4467AEC7236436860A63A9F18	A9E88A4E2DC1C7C9CF7A82A8D49C1DDD
SRR9729096	2020-08-08 05:27:27	2019-07-22 14:29:23	23205563	6928800340	23205563	298	2821		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9729096/SRR9729096	SRX6486522	FAFU1-CK	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135443	SAMN12327435	simple	210143	Corchorus capsularis	SAMN0384 9957							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	17DE1FB1BC37E4C20F5B37843BBF3ECF	E2ED417E141A7B6C13510ECA93E5D69B
SRR9729097	2020-08-08 05:27:27	2019-07-22 14:27:11	23297362	6941732102	23297362	297	2834		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9729097/SRR9729097	SRX6486521	FAFU1-GA3-4h	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP215917	PRJNA555734		555734	SRS5135442	SAMN12327436	simple	210143	Corchorus capsularis	SAMN0384 9958							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA924497		public	C7C0B9EE16E5FE517913639776592F06	6C6483D47A348A3F1DBC37AD275EF898
