Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9688766	2020-07-01 00:05:11	2019-07-15 16:50:31	16263505	4065876250	16263505	250	1402		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9688766/SRR9688766	SRX6448163	Cc-CK	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214709	PRJNA554200		554200	SRS5101790	SAMN12257591	simple	93759	Corchorus olitorius	SAMN0384 9907							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA921171		public	06FAD15426D728E4F52391352970AA65	BA15512AED6318391A35076FF2E7267E
SRR10828698	2020-01-05 04:00:12	2020-01-05 03:57:48	29728585	8918575500	29728585	300	3357		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/828/SRR10828698.sralite.1	SRX7502098	FT1_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	21732C39F294B329C929E5833CECD7C4	9A07F1AB9624A39C8C97E16FB339CBE5
SRR10828699	2020-01-05 03:58:12	2020-01-05 03:56:09	27491875	8247562500	27491875	300	3204		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10828699/SRR10828699	SRX7502097	BVGP3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	210432A999D299902B1A22DC6CABD194	F6AF75A5D328799B793DF9496E97D1CF
SRR10828700	2020-01-05 04:02:13	2020-01-05 03:58:02	30357380	9107214000	30357380	300	3445		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/828/SRR10828700.sralite.1	SRX7502096	BVGP2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	FFBD7A1728BCAB465AC9EBF8518CC228	0BEB127077F963B9FDD7FA9166C0CED2
SRR10828701	2020-01-05 04:00:12	2020-01-05 03:57:39	28860819	8658245700	28860819	300	3298		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/828/SRR10828701.sralite.1	SRX7502095	BVGP1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	ADFC698E5B9804A8C990E497D0550226	3C77947E5F5565C5829D4B91325AEC4F
SRR10828702	2020-01-05 03:56:13	2020-01-05 03:53:41	21593554	6478066200	21593554	300	2469		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10828702/SRR10828702	SRX7502094	BTMP3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	57A207E257BD30E2BCDF73D2FA882F12	00DEBD7CC30BCE720C02B0F51269F950
SRR10828703	2020-01-05 03:56:13	2020-01-05 03:53:45	26249056	7874716800	26249056	300	3076		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10828703/SRR10828703	SRX7502093	BTMP2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	C18AD8A9DD843BBFE30BF6103C1CE3E2	CAACE76F533CE365C72EFD369796301C
SRR10828704	2020-01-05 03:57:12	2020-01-05 03:54:25	28094982	8428494600	28094982	300	3203		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/828/SRR10828704.sralite.1	SRX7502092	BTMP1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	94FFFD668A558105DC6DEABF59B2C792	38E69063A7684A23251ACC568B675566
SRR10828705	2020-01-05 03:56:13	2020-01-05 03:53:29	24509294	7352788200	24509294	300	2739		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10828705/SRR10828705	SRX7502091	MF3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	0AFA7D1AAC0987355F9F367E323F3383	DA1ED0349A362E7FC4CD373F15987E02
SRR10828706	2020-01-05 03:56:13	2020-01-05 03:53:44	21619672	6485901600	21619672	300	2433		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10828706/SRR10828706	SRX7502090	MF2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP239479	PRJNA597180		597180	SRS5943471	SAMN13668646	simple	93759	Corchorus olitorius	GF							no					INSTITUTE OF BAST FIBER CROPS	SRA1020173		public	0F002B523E9797A5B3C58450ED22A49A	4197565E34B2DBF23BDADE35AC1D5269
