Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2106747	2015-07-20 11:11:15	2015-07-20 11:08:39	15884109	3176821800	15884109	200	1833		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/106/SRR2106747.sralite.1	SRX1100646	RNA_123	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995196	SAMN03890327	simple	932674	Corvus cornix cornix	S_Up_H03_Bp					male		no					UPPSALA UNIVERSITY	SRA090060		public	585ECB1618982D0A4E72DE6206445954	BD3661E5701B84A2C3879EF43E71C12B
SRR2106802	2015-07-20 15:11:30	2015-07-20 15:09:45	16661232	3332246400	16661232	200	1911		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/106/SRR2106802.sralite.1	SRX1100652	RNA_130	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995202	SAMN03890332	simple	932674	Corvus cornix cornix	S_Up_H03_E					male		no					UPPSALA UNIVERSITY	SRA090060		public	2E4DCA9D51028A83427A81C1886A9F85	AD5843A2993BB999525D6110F36C4252
SRR2106849	2015-07-20 18:24:14	2015-07-20 18:19:50	20576656	4115331200	20576656	200	2413		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/106/SRR2106849.sralite.1	SRX1100655	RNA_134	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995205	SAMN03890335	simple	932674	Corvus cornix cornix	S_Up_H03_Sh					male		no					UPPSALA UNIVERSITY	SRA090060		public	DF753C1E36CA7D8F04619C6FDC879547	7C9587C1191DFCCBB97FBC10829B975C
SRR2106916	2015-07-21 05:29:12	2015-07-21 05:27:03	19299782	3859956400	19299782	200	2260		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/106/SRR2106916.sralite.1	SRX1100675	RNA_138	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995225	SAMN03890338	simple	932674	Corvus cornix cornix	S_Up_H03_St					male		no					UPPSALA UNIVERSITY	SRA090060		public	F13079B409E155C298F33A797EF4144D	11EA99C3C38F80C386F62838B8297B69
SRR1947470	2015-04-02 14:11:15	2015-04-02 14:07:38	22256836	4406853528	22256836	198	2936		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/947/SRR1947470.sralite.1	SRX974035	RNA_13	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS889199	SAMN02997670	simple	932674	Corvus cornix cornix	S_Up_H03_Sy					male		no					UPPSALA UNIVERSITY	SRA090060		public	DB2E7F8549E17F666DB2361AF047B3C5	A4B57149998EAC2F45D537CE99B00E7D
SRR2107362	2015-07-21 22:49:12	2015-07-21 22:45:52	19872787	3974557400	19872787	200	2326		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/107/SRR2107362.sralite.1	SRX1101143	RNA_154	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995560	SAMN03890350	simple	932674	Corvus cornix cornix	S_Up_H09_Bp					male		no					UPPSALA UNIVERSITY	SRA090060		public	8EA15BC94DA7FBA99C1A0E19DD0BD04F	18A8B1D62A5231EBB5D62B637AB9FA15
SRR2106917	2015-07-21 08:35:16	2015-07-21 08:31:10	17086563	3417312600	17086563	200	1940		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/106/SRR2106917.sralite.1	SRX1100676	RNA_139	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995226	SAMN03890339	simple	932674	Corvus cornix cornix	S_Up_H09_E					male		no					UPPSALA UNIVERSITY	SRA090060		public	C0AB4C72FB187163AB8706B4E452778E	ECF1DA399A1B48B475E54825B29A365E
SRR2106888	2015-07-21 00:25:12	2015-07-21 00:21:56	17586615	3517323000	17586615	200	2030		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/106/SRR2106888.sralite.1	SRX1100657	RNA_136	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995219	SAMN03890336	simple	932674	Corvus cornix cornix	S_Up_H24_Bp					male		no					UPPSALA UNIVERSITY	SRA090060		public	D29DBBE319BF3C7D14581AC05406B195	957DF5E67590F74DBDAE6B02FB983577
SRR2107332	2015-07-21 19:50:11	2015-07-21 19:47:36	15328821	3065764200	15328821	200	1740		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/107/SRR2107332.sralite.1	SRX1101102	RNA_149	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995532	SAMN03890346	simple	932674	Corvus cornix cornix	S_Up_H24_E					male		no					UPPSALA UNIVERSITY	SRA090060		public	FF8A39C90F963BA1BD3E624CF801DF0D	EF2307CF8C40E8B592DC8BAA1CC88C34
SRR2107326	2015-07-21 18:13:16	2015-07-21 18:10:10	18069514	3613902800	18069514	200	2052		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/107/SRR2107326.sralite.1	SRX1101078	RNA_143	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS995519	SAMN03890343	simple	932674	Corvus cornix cornix	S_Up_H29_E					male		no					UPPSALA UNIVERSITY	SRA090060		public	18A41C7010CBECAB8C2461D63D9534ED	9D188BB0F3CF33C2802FEBCA1ED793D5
SRR1947476	2015-04-02 13:08:14	2015-04-02 13:04:17	18964214	3792842800	18964214	200	2617		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/947/SRR1947476.sralite.1	SRX974041	RNA_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS889194	SAMN02997665	simple	932674	Corvus cornix cornix	S_Up_H32_Bc					male		no					UPPSALA UNIVERSITY	SRA090060		public	1187D74E029848F040AE629939D3E8B5	3AB12F10EDAB20CD7C8CA066393D44EC
SRR2107373	2015-07-21 18:50:48	2015-07-21 18:48:46	19331251	3866250200	19331251	200	2255		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/107/SRR2107373.sralite.1	SRX1101170	RNA_148	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS466520	SAMN02194712	simple	932674	Corvus cornix cornix	S_Up_H32_Bf					male		no				forebrain	UPPSALA UNIVERSITY	SRA090060		public	5261FD2ED05AE4ED280755819D2F3653	DEC5A4BE0B22AED71F70D4C50C96546A
SRR2107327	2015-07-21 18:15:15	2015-07-21 18:11:15	17564357	3512871400	17564357	200	1999		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/107/SRR2107327.sralite.1	SRX1101085	RNA_144	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS883045	SAMN02997751	simple	932674	Corvus cornix cornix	S_Up_H32_E					male		no					UPPSALA UNIVERSITY	SRA090060		public	BBC898D1BF1D75158CDCB17E41D64363	CB7502A0442AC1532CFF0E4DA4DB050A
SRR1947477	2015-04-02 12:43:16	2015-04-02 12:40:12	18039499	3571820802	18039499	198	2324		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/947/SRR1947477.sralite.1	SRX974042	RNA_39	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS889193	SAMN02997664	simple	932674	Corvus cornix cornix	S_Up_H32_L					male		no					UPPSALA UNIVERSITY	SRA090060		public	35EE8636C119C1CED2519EE5B54B4629	EF5C6A3A54D5BBBD201AE96658962BCB
SRR1947478	2015-04-02 12:39:15	2015-04-02 12:36:29	14834355	2966871000	14834355	200	2056		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/947/SRR1947478.sralite.1	SRX974043	RNA_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP022901	PRJNA192205	2	192205	SRS889193	SAMN02997664	simple	932674	Corvus cornix cornix	S_Up_H32_L					male		no					UPPSALA UNIVERSITY	SRA090060		public	0DA8460E407DE8916E848AD8240252EB	763C9BA00A77D1DFB2A93ECC288AFC4C
