Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR441163	2012-12-12 00:00:00	2012-08-11 21:46:23	95643958	19320079516	95643958	202	12905	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/441/SRR441163/SRR441163.sralite.1	SRX127425	Cadam100PE	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS297466	SAMN00809015	simple	8729	Crotalus adamanteus	Cadam	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA050594	NA	public	087FB27F7A4FCC9CA0E64FFADB4F7A0B	AB3B6B6205F266B8959562AEB109DF44
SRR5259481	2017-04-03 09:33:25	2017-02-15 13:30:20	12198682	3659604600	12198682	300	2022	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259481.sralite.1	SRX2564215	MM0198-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980906	SAMN06338153	simple	8729	Crotalus adamanteus	MM0198-R	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	9F27CC49E1DD820364B621A14C127401	A7ECB838D267CD22D1EB7361FD1E8C94
SRR5259482	2017-04-03 09:33:25	2017-02-15 13:29:22	10093280	3027984000	10093280	300	1669	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259482.sralite.1	SRX2564216	MM0198-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980907	SAMN06338152	simple	8729	Crotalus adamanteus	MM0198-L	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	CB47B8F0B577751CC657D10FF30D6773	98EF482F574EE02A92E0AB3B71788C83
SRR5259483	2017-04-03 09:33:25	2017-02-15 13:29:36	11474669	3442400700	11474669	300	1905	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259483.sralite.1	SRX2564217	MM0143-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980908	SAMN06338151	simple	8729	Crotalus adamanteus	MM0143-R	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	243B8C58F45E9F9AAB196CF154CC2A82	7DA0ADE36F46A93151027F5B091A0AFE
SRR5259484	2017-04-03 09:33:26	2017-02-15 13:29:59	11387670	3416301000	11387670	300	1890	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259484.sralite.1	SRX2564218	MM0143-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980909	SAMN06338150	simple	8729	Crotalus adamanteus	MM0143-L	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	93B656688EBD7A8E6716859EA9BBAF1D	B83C2860B5D41D996F034B0B528CD5E8
SRR5259486	2017-04-03 09:33:26	2017-02-15 13:28:35	4859835	1457950500	4859835	300	814	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259486.sralite.1	SRX2564220	MM0127-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980910	SAMN06338148	simple	8729	Crotalus adamanteus	MM0127-L	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	41A5309076E6CF6BF7FF56C4EE01AD12	0A67EC3097C2939BA3FB851E8C1D30EA
SRR5259485	2017-04-03 09:33:26	2017-02-15 13:33:17	8638140	2591442000	8638140	300	1441	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259485.sralite.1	SRX2564219	MM0127-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980911	SAMN06338149	simple	8729	Crotalus adamanteus	MM0127-R	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	3153D8C155436C0CF2C69C055E2A8A20	F8D7CE5D9621E95D667F82BF1ACFA3D0
SRR5259487	2017-04-03 09:33:26	2017-02-15 13:26:11	1863304	558991200	1863304	300	309	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259487.sralite.1	SRX2564221	KW2184-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980912	SAMN06338147	simple	8729	Crotalus adamanteus	KW2184-R	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	0E40BF855DF20D703DD364523C54D629	CC90107EB3F9F23A4E3D038490473E0F
SRR5259488	2017-04-03 09:33:26	2017-02-15 13:31:21	10226589	3067976700	10226589	300	1703	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259488.sralite.1	SRX2564222	KW2184-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980913	SAMN06338146	simple	8729	Crotalus adamanteus	KW2184-L	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	442CD1719664CC28C54CCD79D9FB9CFD	4929D00B0FFD2F7D731343EC6DDCF872
SRR5259489	2017-04-03 09:33:26	2017-02-15 13:31:56	8780220	2634066000	8780220	300	1467	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259489.sralite.1	SRX2564223	KW2171-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980914	SAMN06338145	simple	8729	Crotalus adamanteus	KW2171-R	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	6BF8D13762E9918EA08DEC69E3113907	D307543D02CAE68B4A87784DAAEB0341
SRR5259490	2017-04-03 09:33:26	2017-02-15 13:29:32	7082608	2124782400	7082608	300	1177	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259490.sralite.1	SRX2564224	KW2171-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980915	SAMN06338144	simple	8729	Crotalus adamanteus	KW2171-L	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	F2D7C6600D6D2118C05EA96B2EF8B9D4	9DF1261D4E4FD75DD66E2CF86F29480C
SRR5259491	2017-04-03 09:33:26	2017-02-15 13:28:20	4168769	1250630700	4168769	300	696	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259491.sralite.1	SRX2564225	KW2170-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980916	SAMN06338143	simple	8729	Crotalus adamanteus	KW2170-R	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	80BE7584DAECC9336948D2A316424817	4E70FD0DC75541D614BDD70527ADB4DD
SRR5259492	2017-04-03 09:33:26	2017-02-15 13:30:16	6589939	1976981700	6589939	300	1103	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259492.sralite.1	SRX2564226	KW2170-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980917	SAMN06338142	simple	8729	Crotalus adamanteus	KW2170-L	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	3CA01B53FF46923BB0D227244C1C5B79	3AA7878DC30F7A56DF370E1473718B49
SRR5259493	2017-04-03 09:33:26	2017-02-15 13:31:09	11332465	3399739500	11332465	300	1907	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/259/SRR5259493.sralite.1	SRX2564227	KW2161-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1980918	SAMN06338141	simple	8729	Crotalus adamanteus	KW2161-R	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538135	NA	public	8842928B3ED44F5B3F5162D9C36B6B13	07B8AC9776D63133E35C5F648B9D23E7
