Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5270853	2017-07-21 14:35:26	2017-02-17 16:34:52	58556627	11711325400	58556627	200	7341	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/270/SRR5270853.sralite.1	SRX2574904	Ctigr-KW1746	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP011323	PRJNA88989	2	88989	SRS1990673	SAMN06345869	simple	88082	Crotalus tigris	Ctigr-KW1746	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FLORIDA STATE UNIVERSITY	SRA538824	NA	public	92CEBBC8C265B3B8605139264F213592	AA2BD4B11C6F48B019BF35E29FBEE28C
SRR12915657	2021-05-04 19:33:52	2020-10-27 15:56:52	15126558	4537967400	15126558	300	2175	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12915657/SRR12915657	SRX9380402	Ctigr-KW1746_RNA_VG_2017-06-09_FSU_HiSeq_MPH1-MPH2-Fixed_150PE	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP011323	PRJNA88989	2	88989	SRS7599183	SAMN16494605	simple	88082	Crotalus tigris	KW1746	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CLEMSON UNIVERSITY	SRA1149014	NA	public	DFA236E97BF5001A3FCDA041D417B73B	42FC80F41DAB95A6ED009A0818BD8B51
SRR11545023	2020-12-30 14:35:56	2020-04-14 21:41:08	10026514	2985596776	10026514	297	1184	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11545023/SRR11545023	SRX8115109	CLP1944-VG	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP217676	PRJNA558767	NA	558767	SRS6480168	SAMN14596994	simple	88082	Crotalus tigris	CLP1944	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1065413	NA	public	236489791422590984CF29C5C331EA77	73DE31839B7897C256707AC5660F43E0
SRR11545024	2020-12-30 14:35:56	2020-04-14 21:40:35	12472663	3741798900	12472663	300	1986	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11545024/SRR11545024	SRX8115108	CLP2130-VG	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP217676	PRJNA558767	NA	558767	SRS6480167	SAMN14596993	simple	88082	Crotalus tigris	CLP2130	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1065413	NA	public	60AF77B72B62D7AC5CF95A27F646AA98	D39F7654B53B677F07031B0FCA3F6EC1
SRR11545022	2020-12-30 14:35:56	2020-04-14 21:43:38	15706396	4711918800	15706396	300	2567	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11545022/SRR11545022	SRX8115110	CLP2156-VG	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP217676	PRJNA558767	NA	558767	SRS6480169	SAMN14596995	simple	88082	Crotalus tigris	CLP2156	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1065413	NA	public	1C2FF78DF74F88001958F8789F17F6D8	1C2404FD94456D652F50BB305A358E12
SRR11524048	2020-12-30 14:35:55	2020-04-12 01:56:43	7328204	2213117608	7328204	302	850	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11524048/SRR11524048	SRX8095139	CLP2741-Hemipene	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217676	PRJNA558767	NA	558767	SRS5225057	SAMN12497667	simple	88082	Crotalus tigris	CLP2741	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1064499	NA	public	9A9AFD7F2A557D3878CA676BA135663E	35F99838C0E5C31816DA8F4409DDA288
SRR11524049	2020-12-30 14:35:55	2020-04-12 02:33:17	22439119	6776613938	22439119	302	2601	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11524049/SRR11524049	SRX8095138	CLP2741-Heart	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217676	PRJNA558767	NA	558767	SRS5225057	SAMN12497667	simple	88082	Crotalus tigris	CLP2741	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1064499	NA	public	26A51A3A4E448FDC13C925F01EACD334	34DCCF8D67F1B5B2C3AE321342394AB6
SRR11524050	2020-12-30 14:35:55	2020-04-12 03:32:13	18240042	5508492684	18240042	302	2094	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11524050/SRR11524050	SRX8095137	CLP2741-LVG	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217676	PRJNA558767	NA	558767	SRS5225057	SAMN12497667	simple	88082	Crotalus tigris	CLP2741	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1064499	NA	public	544C57594A58C829D79285FD9EAAFA0A	26B29349B0BF82D819742357C235E7AF
SRR11524051	2020-12-30 14:35:55	2020-04-12 07:39:13	48730859	14716719418	48730859	302	5604	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11524051/SRR11524051	SRX8095136	CLP2741-RVG	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217676	PRJNA558767	NA	558767	SRS5225057	SAMN12497667	simple	88082	Crotalus tigris	CLP2741	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1064499	NA	public	21E99FA38CD19412F9927AFC5F933BBF	173CE2C4DFA906AD8A8E87DC274B39F0
SRR11524052	2020-12-30 14:35:55	2020-04-12 02:20:02	17648478	5329840356	17648478	302	2043	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11524052/SRR11524052	SRX8095135	CLP2741-Harderian	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP217676	PRJNA558767	NA	558767	SRS5225057	SAMN12497667	simple	88082	Crotalus tigris	CLP2741	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA1064499	NA	public	78C0DE6801CE3B2CCB48DEA60213BBEB	937E1053FA382EEDF10972A4BA7D8BAF
