Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR14333479	2021-04-29 00:34:31	2021-04-28 05:01:59	23779081	6503316775	23779081	273	1997		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14333479/SRR14333479	SRX10687619		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP316568	PRJNA725489		725489	SRS8780416	SAMN18879992	simple	3662	Cucurbita moschata	GSM5267446							no					GEO	SRA1224400		public	02ED934CAFFEAF7DC97233C0D169BD13	1DF981579C0325BB640E134208656533
SRR14333480	2021-04-29 00:34:31	2021-04-28 05:21:40	26126055	7141610724	26126055	273	2188		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14333480/SRR14333480	SRX10687620		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP316568	PRJNA725489		725489	SRS8780417	SAMN18879990	simple	3662	Cucurbita moschata	GSM5267447							no					GEO	SRA1224400		public	703DD2198AC0FBC501B094170B471967	4903C15D97CF937626B5201E6A976CF3
SRR14333481	2021-04-29 00:34:31	2021-04-28 03:54:30	24520259	6676101751	24520259	272	2056		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14333481/SRR14333481	SRX10687621		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP316568	PRJNA725489		725489	SRS8780418	SAMN18879987	simple	3662	Cucurbita moschata	GSM5267448							no					GEO	SRA1224400		public	BA0719F565C2422611B1A000D609F138	AAF0E9AAE40D6ADA359122E1ADAD779A
SRR14550824	2021-05-15 12:05:54	2021-05-15 11:29:54	21588158	6476447400	21588158	300	1976		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550824/SRR14550824	SRX10894310	C0C1_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987213	SAMN19112861	simple	3662	Cucurbita moschata	C0C1_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	3392CDBDFF65DE02F035323C9CF5F212	043835CDEE57B77224D3B3B94A33CD29
SRR14550828	2021-05-15 12:05:54	2021-05-15 11:30:36	23553207	7065962100	23553207	300	2143		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550828/SRR14550828	SRX10894306	C0C2_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987208	SAMN19112863	simple	3662	Cucurbita moschata	C0C2_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	330E91574873D6C7B219BA2BFAE1DA09	DFBAD7C182217ABB08ADF3A5DE8D449A
SRR14550827	2021-05-15 12:05:54	2021-05-15 11:35:38	23543762	7063128600	23543762	300	2173		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550827/SRR14550827	SRX10894307	C0C3_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987210	SAMN19112865	simple	3662	Cucurbita moschata	C0C3_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	9E5FE99B30BFB434E4C21B89151A6FFB	F01126303E74247A491DCEE47422632E
SRR14550826	2021-05-15 12:05:54	2021-05-15 11:29:54	22825178	6847553400	22825178	300	2087		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550826/SRR14550826	SRX10894308	C24C1_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987211	SAMN19112867	simple	3662	Cucurbita moschata	C24C1_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	35B9151117E73201A0BF198C6E0E904C	07F220FF97C0C384E0298432C6E094DC
SRR14550825	2021-05-15 12:05:54	2021-05-15 11:34:00	22638077	6791423100	22638077	300	2095		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550825/SRR14550825	SRX10894309	C24C2_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987212	SAMN19112869	simple	3662	Cucurbita moschata	C24C2_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	F89E2F1966DAB45C7F218C48F374032B	1D2B3811354E39E37A306A882044BB80
SRR14550823	2021-05-15 12:05:54	2021-05-15 11:38:01	23172935	6951880500	23172935	300	2079		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550823/SRR14550823	SRX10894311	C24C3_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987214	SAMN19112871	simple	3662	Cucurbita moschata	C24C3_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	13A3D874B4DA2CF71F09D5033EF198D9	25CF943177BF654B45BCA68C5B0007B1
SRR14550822	2021-05-15 12:05:54	2021-05-15 11:27:48	22937368	6881210400	22937368	300	2097		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550822/SRR14550822	SRX10894312	C24F1_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987215	SAMN19112873	simple	3662	Cucurbita moschata	C24F1_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	47947ADB599FC8A5FD40B6637E22C4BE	107E13CFF4CE333B36665DE067A39F70
SRR14550821	2021-05-15 12:05:54	2021-05-15 11:26:46	22776840	6833052000	22776840	300	2092		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550821/SRR14550821	SRX10894313	C24F2_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987216	SAMN19112875	simple	3662	Cucurbita moschata	C24F2_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	A5BE8692417DC750DC71852B69B9ADE0	1B9E377A42519D33A4647C37E96B3F9C
SRR14550829	2021-05-15 12:05:54	2021-05-15 11:36:21	23002936	6900880800	23002936	300	2099		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14550829/SRR14550829	SRX10894305	C24F3_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP319871	PRJNA729180		729180	SRS8987209	SAMN19112877	simple	3662	Cucurbita moschata	C24F3_1							no					YANGZHOU UNIVERSITY	SRA1232070		public	F8D226860D75FD2D44B427B11E820B6E	4B0C3AF9BAC5D93E2ED66CC6AF62EEFC
SRR7138077	2018-05-09 10:24:15	2018-05-09 10:19:08	30252394	9075718200	30252394	300	3006		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/138/SRR7138077.sralite.1	SRX4058955	N15_Leaf_Mesophyll_Control_R3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP145062	PRJNA464060		464060	SRS3275715	SAMN09090744	simple	3662	Cucurbita moschata	N15_Leaf_Mesophyll_Control_R3							no					HZAU	SRA701203		public	F1572C06AC088F2EB612A205DE3E555B	C3A07E26D2CDB6C78A198979221701C8
SRR7138073	2018-05-09 10:25:22	2018-05-09 10:18:32	30673984	9202195200	30673984	300	3029		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/138/SRR7138073.sralite.1	SRX4058959	N15_Leaf_Mesophyll_NaCl_R1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP145062	PRJNA464060		464060	SRS3275719	SAMN09090748	simple	3662	Cucurbita moschata	N15_Leaf_Mesophyll_NaCl_R1							no					HZAU	SRA701203		public	2BBB8E1DC1C3ADB6E3A5015660F0EC41	EFF1C5BBDA604517B1C689F147654300
