Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR204685	2020-01-07 18:18:56	2020-01-07 18:23:37	48565310	9713062000	48565310	200	6210		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/204/DRR204685/DRR204685.sralite.1	DRX195084	BGISEQ_Indc_57hai_pp_3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119384	SAMD00200262	simple	132261	Cuscuta campestris	SAMD00200262							no					NAIST_BS	DRA009453		public	675D50007536EC7B94AF51F01A2F8DD6	A613824ED5EADA78EF8A4EA82972263C
DRR204683	2020-01-07 18:18:56	2020-01-07 18:23:57	49729902	9945980400	49729902	200	6356		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/DRR000/204/DRR204683/DRR204683.sralite.1	DRX195082	BGISEQ_Indc_57hai_pp_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119384	SAMD00200262	simple	132261	Cuscuta campestris	SAMD00200262							no					NAIST_BS	DRA009453		public	7A3033AE4B5D10A7A66AFD40E615D0E8	76FBDD7D42C6343F1F3ECE54588C7F60
DRR204684	2020-01-07 18:18:56	2020-01-07 18:19:32	48519491	9703898200	48519491	200	6207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/204/DRR204684/DRR204684.sralite.1	DRX195083	BGISEQ_Indc_57hai_pp_2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119384	SAMD00200262	simple	132261	Cuscuta campestris	SAMD00200262							no					NAIST_BS	DRA009453		public	7F4E5531A23B65A374800444608C5743	FD253EA9C978462AA8685A0865AEAD52
DRR204687	2020-01-07 18:18:56	2020-01-07 18:18:56	48980862	9796172400	48980862	200	6218		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/DRR000/204/DRR204687/DRR204687.sralite.1	DRX195086	BGISEQ_Indc_87hai_pm_2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119385	SAMD00200263	simple	132261	Cuscuta campestris	SAMD00200263							no					NAIST_BS	DRA009453		public	D7F3FACA7B15ED265EF9CFE79694717A	BB3814C7F92136C2B1B375925B67E022
DRR204686	2020-01-07 18:18:56	2020-01-07 18:20:09	49084498	9816899600	49084498	200	6197		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/DRR000/204/DRR204686/DRR204686.sralite.1	DRX195085	BGISEQ_Indc_87hai_pm_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119385	SAMD00200263	simple	132261	Cuscuta campestris	SAMD00200263							no					NAIST_BS	DRA009453		public	727856D754C50947A000767F14B7D1DE	D9CD84B90A9AD9F3AE33A9DB1DA4D29F
DRR204688	2020-01-07 18:18:56	2020-01-07 18:23:06	49230223	9846044600	49230223	200	6325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/204/DRR204688/DRR204688.sralite.1	DRX195087	BGISEQ_Indc_87hai_pm_3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119385	SAMD00200263	simple	132261	Cuscuta campestris	SAMD00200263							no					NAIST_BS	DRA009453		public	10B42515178E028150F751DC88031351	6FDF2AF06D00A6FED372474BE7BA3791
DRR204691	2020-01-07 18:18:56	2020-01-07 18:20:52	39856703	7971340600	39856703	200	5057		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/DRR000/204/DRR204691/DRR204691.sralite.1	DRX195090	BGISEQ_Indc_87hai_pp_3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119386	SAMD00200264	simple	132261	Cuscuta campestris	SAMD00200264							no					NAIST_BS	DRA009453		public	CC23686F167A0FB3DB805DB41237049B	958575ACCE175C0A3F27A50F0B58B3A0
DRR204690	2020-01-07 18:18:56	2020-01-07 18:18:19	48684816	9736963200	48684816	200	6178		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/DRR000/204/DRR204690/DRR204690.sralite.1	DRX195089	BGISEQ_Indc_87hai_pp_2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119386	SAMD00200264	simple	132261	Cuscuta campestris	SAMD00200264							no					NAIST_BS	DRA009453		public	B0225EED9BA97A283C12D6C1C493E312	D9A91BEDCA7041A09921ED8BCD0B9674
DRR204689	2020-01-07 18:18:56	2020-01-07 18:17:44	49623711	9924742200	49623711	200	6417		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/DRR000/204/DRR204689/DRR204689.sralite.1	DRX195088	BGISEQ_Indc_87hai_pp_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 4000	DRP005725	PRJDB9165	3	597982	DRS119387	SAMD00200265	simple	132261	Cuscuta campestris	SAMD00200265							no					NAIST_BS	DRA009453		public	B0F27A519CBA696AA67A863DDBB12CB5	752DDD79F907A21F6836A67FA9647ABE
DRR204692	2020-01-07 18:18:56	2020-01-07 18:14:52	34407640	1135452120	0	33	672		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/204/DRR204692.sralite.1	DRX195091	g2xSR_00hai_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	DRP005725	PRJDB9165	3	597982	DRS119388	SAMD00200266	simple	132261	Cuscuta campestris	SAMD00200266							no					NAIST_BS	DRA009453		public	08C09983E20462B8AEC05861C1F81D74	03A286FC0F6DC6FE2C6B3E260168ED9E
