Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2249214	2018-03-23 15:20:06	2018-03-23 15:48:43	0	0	0	0	2148		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249214.sralite.1	ERX2300940	control_24_hpe_1.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091229	SAMEA104473287	simple	8103	Cyclopterus lumpus	SAMEA104473287							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	BB67160B8B28CF4558D0B76F5F415733	C335D337AFF5D92FB0D632D2A8E9ACCD
ERR2249215	2018-03-23 15:20:06	2021-10-17 19:05:41	16696673	4155813283	16696673	248	1970		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249215.sralite.1	ERX2300941	control_24_hpe_2.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091230	SAMEA104473288	simple	8103	Cyclopterus lumpus	SAMEA104473288							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	0212459F52AD5027495F037A4F1023D0	563EFA6EBB08F4402D1A0C074B63488B
ERR2249216	2018-03-23 15:20:06	2021-10-17 19:06:41	18295552	4556855664	18295552	249	2140		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249216.sralite.1	ERX2300942	control_24_hpe_3.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091231	SAMEA104473289	simple	8103	Cyclopterus lumpus	SAMEA104473289							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	0DE7CA1C16600CE7B9CE03C372B87D2F	1242A3CB2B366BF95B40B72E2422F187
ERR2249217	2018-03-23 15:20:06	2021-10-17 19:06:39	16871337	4195871857	16871337	248	2032		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249217.sralite.1	ERX2300943	control_6_hpe_1.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091232	SAMEA104473290	simple	8103	Cyclopterus lumpus	SAMEA104473290							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	A103A47555F5D25E61106BBCC8DAB6FE	11F48F2C1837A1E48466B9E38739CEAD
ERR2249218	2018-03-23 15:20:06	2021-10-17 19:06:11	18319955	4567463888	18319955	249	2114		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249218.sralite.1	ERX2300944	control_6_hpe_2.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091233	SAMEA104473291	simple	8103	Cyclopterus lumpus	SAMEA104473291							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	4291F28E00D52710B6B17525E74D68C6	F22B3685D2C35621C3E4A953CBB167E5
ERR2249219	2018-03-23 15:20:06	2021-10-17 19:07:29	20630834	5144061089	20630834	249	2402		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249219.sralite.1	ERX2300945	control_6_hpe_3.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091234	SAMEA104473292	simple	8103	Cyclopterus lumpus	SAMEA104473292							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	4E405A0FB7022143EA1541779DB07D4F	DABDD52BFBBFDAADAADBEF047396EDE9
ERR2249220	2018-03-23 15:20:06	2021-10-17 19:08:39	15204858	3742989126	15204858	246	1841		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249220.sralite.1	ERX2300946	IPNV treated 24 hours 1. parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091235	SAMEA104473293	simple	8103	Cyclopterus lumpus	SAMEA104473293							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	7BDCE722AC1D69B2E8EEEB4D0A4FCE06	515B8F421D89407FBADD6E5420D2B3A6
ERR2249221	2018-03-23 15:20:06	2021-10-17 19:06:06	18843928	4689889373	18843928	248	2203		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249221.sralite.1	ERX2300947	treated_24_hpe_1.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091236	SAMEA104473294	simple	8103	Cyclopterus lumpus	SAMEA104473294							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	3BC76E828A8825498EC567AFB79F5410	8C4E8B81A5F44E1032CAC4D908E5EE59
ERR2249222	2018-03-23 15:20:06	2021-10-17 19:07:16	17347354	4316778051	17347354	248	2069		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249222.sralite.1	ERX2300948	treated_24_hpe_2.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091237	SAMEA104473295	simple	8103	Cyclopterus lumpus	SAMEA104473295							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	5A5E80C16D305121AE31F53D6F63BC7F	47688F974E5C2F39D39F838FAE4BBA0D
ERR2249223	2018-03-23 15:20:06	2018-03-23 15:56:42	0	0	0	0	1907		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/249/ERR2249223.sralite.1	ERX2300949	treated_24_hpe_3.parallell_p	RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	125	0	ILLUMINA	Illumina HiSeq 2000	ERP106278	PRJEB24451		439413	ERS2091238	SAMEA104473296	simple	8103	Cyclopterus lumpus	SAMEA104473296							no					Gyri Teien Haugland and Anita Rnneseth	ERA1180444		public	0A9569CA9EEC85E5462F7147BFC9EDB2	1F6C8E986980A90E6137072736A5C4E5
