Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12640131	2020-09-15 02:44:34	2020-09-15 02:41:06	24327623	7346942146	24327623	302	2173		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12640131/SRR12640131	SRX9122183	A1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP282381	PRJNA663413		663413	SRS7364687	SAMN16123994	simple	7962	Cyprinus carpio	A.veronii-infected  biological replicate 1					pooled male and female		no					UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA ZHONGSHAN INSTITUTE	SRA1125404		public	3535DE40F8B30D23CB90B8DDAD03B5E7	E6866CC4E74B071171AB0D4135EB2D89
SRR12640130	2020-09-15 02:53:39	2020-09-15 02:51:18	25944690	7835296380	25944690	302	2322		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12640130/SRR12640130	SRX9122184	A2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP282381	PRJNA663413		663413	SRS7364688	SAMN16123995	simple	7962	Cyprinus carpio	A.veronii-infected  biological replicate 2					pooled male and female		no					UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA ZHONGSHAN INSTITUTE	SRA1125404		public	0B6B9764AAAFF1CC24641BB820B2ED88	D9B2AD3FD7EED1A8F45281AEB8464470
SRR12640129	2020-09-15 02:42:44	2020-09-15 02:36:09	26731928	8073042256	26731928	302	2382		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12640129/SRR12640129	SRX9122185	A3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP282381	PRJNA663413		663413	SRS7364689	SAMN16123996	simple	7962	Cyprinus carpio	A.veronii-infected  biological replicate 3					pooled male and female		no					UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA ZHONGSHAN INSTITUTE	SRA1125404		public	7CADBD79FB2C522218275D23C00D6E01	0D06CC6B1427C2B9F831D8BA3932813B
SRR12450005	2020-08-13 15:30:51	2020-08-13 15:06:11	43254706	6488205900	0	150	3929		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12450005/SRR12450005	SRX8944466	CG-14-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP277414	PRJNA656923		656923	SRS7200040	SAMN15808706	simple	7962	Cyprinus carpio	CG-14-1					not determined		no					TIANJIN AGRICULTURAL UNIVERSITY	SRA1112626		public	6DE798DCD0057CB33BE0CAC6AEA4169D	D6D44C2DB8592624DB440019FC57567D
SRR12450004	2020-08-13 15:30:51	2020-08-13 14:54:36	43370598	6505589700	0	150	3983		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12450004/SRR12450004	SRX8944467	CG-14-2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP277414	PRJNA656923		656923	SRS7200041	SAMN15808707	simple	7962	Cyprinus carpio	CG-14-2					not determined		no					TIANJIN AGRICULTURAL UNIVERSITY	SRA1112626		public	F111E642BA6F42AEF79A3E6B29FA02F0	B78D33D3A86050413C4203E84AF5A725
SRR12450003	2020-08-13 15:30:51	2020-08-13 14:50:10	42200874	6330131100	0	150	3832		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12450003/SRR12450003	SRX8944468	CG-14-3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP277414	PRJNA656923		656923	SRS7200042	SAMN15808708	simple	7962	Cyprinus carpio	CG-14-3					not determined		no					TIANJIN AGRICULTURAL UNIVERSITY	SRA1112626		public	5332C55B87E788DA15C26AFCEFED2227	A7B4C6A21484D2D36CE464B09E9CF846
SRR12450008	2020-08-13 15:30:51	2020-08-13 14:58:26	43798472	6569770800	0	150	3991		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12450008/SRR12450008	SRX8944463	FFNC+FMT-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP277414	PRJNA656923		656923	SRS7200037	SAMN15808712	simple	7962	Cyprinus carpio	FFNC+FMT-1					not determined		no					TIANJIN AGRICULTURAL UNIVERSITY	SRA1112626		public	ACAEBE41468A9A11DAFD6BFD7CF3DFBB	67AE9C13BCC02795D999A8524018F213
SRR12450007	2020-08-13 15:30:51	2020-08-13 14:52:07	42421196	6363179400	0	150	3868		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12450007/SRR12450007	SRX8944464	FFNC+FMT-2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP277414	PRJNA656923		656923	SRS7200038	SAMN15808713	simple	7962	Cyprinus carpio	FFNC+FMT-2					not determined		no					TIANJIN AGRICULTURAL UNIVERSITY	SRA1112626		public	339433418B14177C2ADD38BCD664AB49	9F75384808AA3B32DE0A95185A22542E
SRR12450006	2020-08-13 15:30:51	2020-08-13 14:58:40	43214880	6482232000	0	150	3974		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12450006/SRR12450006	SRX8944465	FFNC+FMT-3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP277414	PRJNA656923		656923	SRS7200039	SAMN15808714	simple	7962	Cyprinus carpio	FFNC+FMT-3					not determined		no					TIANJIN AGRICULTURAL UNIVERSITY	SRA1112626		public	724F6F0C7E707DEBC2890740EA5F8B72	635F721BCD49F117DC41A43E37401F56
SRR12450002	2020-08-13 15:30:51	2020-08-13 14:58:19	45053340	6758001000	0	150	4117		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12450002/SRR12450002	SRX8944469	FFNC+PBS-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP277414	PRJNA656923		656923	SRS7200043	SAMN15808709	simple	7962	Cyprinus carpio	FFNC+PBS-1					not determined		no					TIANJIN AGRICULTURAL UNIVERSITY	SRA1112626		public	0FB11C973E0477C36FDE2619BFC0FEF9	7800435B9357B3E984E6E3D9A73E7BAD
