Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7223499	2018-07-02 00:03:43	2018-05-27 08:25:09	27687082	8306124600	27687082	300	3418		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223499.sralite.1	SRX4130034	DcDtLeaf01	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344398	SAMN09269388	simple	906689	Dendrobium catenatum	DcDtLeaf01					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	C7266E1DB0EAE4AA233B7F3279D166CF	64FB343825215BE1604B92BDD8AD573D
SRR7223498	2018-07-02 00:03:43	2018-05-27 08:28:44	28557941	8567382300	28557941	300	3492		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223498.sralite.1	SRX4130035	DcDtLeaf02	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344399	SAMN09269389	simple	906689	Dendrobium catenatum	DcDtLeaf02					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	7E42E72E51B32966B48AEFDC79A17711	B263335D8A212DE938D27F06698F6DD9
SRR7223501	2018-07-02 00:03:43	2018-05-27 08:32:17	30842795	9252838500	30842795	300	3807		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223501.sralite.1	SRX4130032	DcDtLeaf03	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344396	SAMN09269390	simple	906689	Dendrobium catenatum	DcDtLeaf03					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	807CC5E54C8320DB5932081BB8C19F82	CAFC6BD69C885B380CD2F6A3CFEB7D06
SRR7223500	2018-07-02 00:03:43	2018-05-27 08:25:16	26349125	7904737500	26349125	300	3341		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223500.sralite.1	SRX4130033	DcDtLeaf04	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344397	SAMN09269391	simple	906689	Dendrobium catenatum	DcDtLeaf04					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	F687318C0970C0ADB953247FE0458BEC	6E990790E4669F59FAFB21509A4D8309
SRR7223503	2018-07-02 00:03:43	2018-05-27 08:26:01	25375946	7612783800	25375946	300	3108		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223503.sralite.1	SRX4130030	DcDtLeaf05	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344394	SAMN09269392	simple	906689	Dendrobium catenatum	DcDtLeaf05					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	F044FF62ED8DD0F598D64E5DB20B4DBE	0044405FF92B76B6C2B19D2894ABBDAA
SRR7223502	2018-07-02 00:03:43	2018-05-27 08:24:47	25057308	7517192400	25057308	300	3068		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223502.sralite.1	SRX4130031	DcDtLeaf06	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344395	SAMN09269393	simple	906689	Dendrobium catenatum	DcDtLeaf06					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	6BB59EF5F48A63783EA8BBD941ECDD7F	7EC66A92519E47EAF3EC1C3AA43260BF
SRR7223504	2018-07-02 00:03:43	2018-05-27 08:26:32	26796838	8039051400	26796838	300	3204		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223504.sralite.1	SRX4130029	DcDtLeaf08	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344393	SAMN09269395	simple	906689	Dendrobium catenatum	DcDtLeaf08					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	9F355228D87B1EB1859C396FAD189A5C	454D4E255F4FC9837C4B9B8C936F6C7D
SRR7223493	2018-07-02 00:03:43	2018-05-27 08:25:34	23197845	6959353500	23197845	300	2611		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223493.sralite.1	SRX4130040	DcDtLeaf11	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344404	SAMN09269398	simple	906689	Dendrobium catenatum	DcDtLeaf11					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	AE632809C0A46BEF9792AD783E3D54E9	B251D0617F1DCC69D5C1850157A46C8C
SRR7223492	2018-07-02 00:03:43	2018-05-27 08:22:56	23053920	6916176000	23053920	300	2758		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223492.sralite.1	SRX4130041	DcDtLeaf12	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344405	SAMN09269399	simple	906689	Dendrobium catenatum	DcDtLeaf12					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	6EB3654DBCBD7EA2109DB1BF9E5E2EF1	2C241DC3209A181841E9C4D9130AAEAB
SRR7223491	2018-07-02 00:03:43	2018-05-27 08:25:14	27470745	8241223500	27470745	300	3309		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/223/SRR7223491.sralite.1	SRX4130042	DcDtLeaf13	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP132541	PRJNA432825		432825	SRS3344406	SAMN09269400	simple	906689	Dendrobium catenatum	DcDtLeaf13					hermaphrodite		no					CHINESE ACADEMY OF FORESTRY, BEIJING, CHINA	SRA711719		public	7606C78D86AB7C5F96184733FD9652D1	A1B51C7A3C94EABA851762FEC71C323E
