Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6830978	2018-03-13 22:33:12	2018-03-13 22:15:18	93851828	18770365600	93851828	200	12483		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/830/SRR6830978.sralite.1	SRX3787060	dend_ppHead	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP135495	PRJNA437510		437510	SRS3039869	SAMN08706805	simple	77166	Dendroctonus ponderosae	Dend_ponderosae_pp					pooled male and female		no					AMERICAN MUSEUM OF NATURAL HISTORY	SRA666295		public	6B36AC71024031969FAC64731C3891C6	75B87B29EACB4ACCFDB8B9A324EDACD7
SRR6279155	2017-11-17 00:00:15	2017-11-17 11:40:05	14221496	2683612300	14221496	188	1723		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/279/SRR6279155.sralite.1	SRX3381443	Female_1_ovary	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124743	PRJNA306777		306777	SRS2676995	SAMN07839746	simple	77166	Dendroctonus ponderosae	Female_1_ovary					female		no					UNIVERSITY OF MONTANA	SRA629759		public	B0E99A77ED407CB3CDFD378B07AF7E1B	9938692E5E38B0C8443BDB1B7FBA41F4
SRR6279156	2017-11-17 00:00:15	2017-11-17 11:42:03	15589962	2940072878	15589962	188	1883		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/279/SRR6279156.sralite.1	SRX3381442	Female_3_ovary	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124743	PRJNA306777		306777	SRS2676993	SAMN07839747	simple	77166	Dendroctonus ponderosae	Female_3_ovary					female		no					UNIVERSITY OF MONTANA	SRA629759		public	92DAD33A0516BC1E5E3DB5852C83D219	FED83624D5F275EE2DACA58930C41E8A
SRR6279153	2017-11-17 00:00:15	2017-11-17 11:38:05	8872305	1672541402	8872305	188	1071		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/279/SRR6279153.sralite.1	SRX3381445	Female_4_ovary	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124743	PRJNA306777		306777	SRS2676996	SAMN07839748	simple	77166	Dendroctonus ponderosae	Female_4_ovary					female		no					UNIVERSITY OF MONTANA	SRA629759		public	28937CE5B87872E22E19DA5D6A36CCA3	537C1C6D2AC60B3B5B1BA2D2A2AD0E13
SRR6279154	2017-11-17 00:00:15	2017-11-17 11:40:56	16090551	3034855634	16090551	188	1941		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/279/SRR6279154.sralite.1	SRX3381444	Female_5_ovary	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124743	PRJNA306777		306777	SRS2676994	SAMN07839749	simple	77166	Dendroctonus ponderosae	Female_5_ovary					female		no					UNIVERSITY OF MONTANA	SRA629759		public	3034A24635E2EF212E53A1CC2003C83D	92C650E0AA72F13AB6BB35745BE8E5E7
SRR6279159	2017-11-17 00:00:15	2017-11-17 12:00:50	60999876	11501377850	60999876	188	7342		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/279/SRR6279159.sralite.1	SRX3381439	Female_heads_pooled_rep_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124743	PRJNA306777		306777	SRS2676990	SAMN07839742	simple	77166	Dendroctonus ponderosae	Female_heads_pooled_rep_1					female		no					UNIVERSITY OF MONTANA	SRA629759		public	8776DE7E91BF5B3228CCBB3E21C931CF	9EA9F8B4BED390F76DADBB4EBC84FE0E
SRR6279160	2017-11-17 00:00:15	2017-11-17 12:01:12	52240472	9854332682	52240472	188	6313		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/279/SRR6279160.sralite.1	SRX3381438	Female_heads_pooled_rep_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124743	PRJNA306777		306777	SRS2676988	SAMN07839743	simple	77166	Dendroctonus ponderosae	Female_heads_pooled_rep_2					female		no					UNIVERSITY OF MONTANA	SRA629759		public	4E6530B44856EAC6BACB8F5451188DDD	ADF89BED710473CBAF9C657D89AF219D
SRR6279157	2017-11-17 00:00:15	2017-11-17 12:05:49	68191224	12860698162	68191224	188	8221		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/279/SRR6279157.sralite.1	SRX3381441	Female_ovaries_pooled	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124743	PRJNA306777		306777	SRS2676992	SAMN07839744	simple	77166	Dendroctonus ponderosae	Female_ovaries_pooled					female		no					UNIVERSITY OF MONTANA	SRA629759		public	8F50D895ECCE6D412B9C31FC3E622A01	F7942746A147EFCDC17FE6D3661D472F
SRR3323584	2017-04-03 11:39:08	2016-04-01 23:00:55	32869809	4937999675	32869809	150	2280		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/323/SRR3323584.sralite.1	SRX1675474	MFF1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP072778	PRJNA317010		317010	SRS1372210	SAMN04595104	simple	77166	Dendroctonus ponderosae	MFF1					female		no					UNIVERSITY OF NEVADA RENO	SRA403371		public	CA71A5030FD6C6DE202BEEE1C084135A	12CC882699A679FE4626FD3F7690597B
SRR3340435	2017-04-04 09:45:05	2016-04-06 05:39:05	33904830	5094826730	33904830	150	2425		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/340/SRR3340435.sralite.1	SRX1683565	MFF2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP072778	PRJNA317010		317010	SRS1378903	SAMN04595105	simple	77166	Dendroctonus ponderosae	MFF2					female		no					UNIVERSITY OF NEVADA RENO	SRA405221		public	2B2D01CF3F77A613A741D458B399B28D	84D1F51A959A1109D512BA49B13203D7
