Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9594996	2019-06-25 15:12:11	2019-06-25 14:54:16	38954	120689779	0	3098	40	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9594/SRR9594996/SRR9594996.lite.1	SRX6360706	rDerCor1_Brain	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel	SRP184741	PRJNA516733	NA	516733	SRS5023039	SAMN11890670	simple	27794	Dermochelys coriacea	rDerCor1_Brain	NA	NA	NA	NA	missing	NA	no	NA	NA	NA	NA	G10K	SRA913345	NA	public	5E217D4CF101F315E030375D57CAF666	4503D0A78E29A47C94232CEC4BE6FCF0
SRR9594995	2019-06-25 15:11:12	2019-06-25 14:53:34	46477	101531723	0	2184	29	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9594/SRR9594995/SRR9594995.lite.1	SRX6360707	rDerCor1_Lung	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel	SRP184741	PRJNA516733	NA	516733	SRS5023040	SAMN11890671	simple	27794	Dermochelys coriacea	rDerCor1_Lung	NA	NA	NA	NA	missing	NA	no	NA	NA	NA	NA	G10K	SRA913345	NA	public	0790C47EF3B29874BC3D98A552BCFEA9	E588AC3FD0A7BB49D7626779561189E9
SRR9594994	2019-06-25 15:12:11	2019-06-25 14:54:23	59393	201093689	0	3385	65	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9594/SRR9594994/SRR9594994.lite.1	SRX6360708	rDerCor1_Ovary	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel	SRP184741	PRJNA516733	NA	516733	SRS5023041	SAMN11890672	simple	27794	Dermochelys coriacea	rDerCor1_Ovary	NA	NA	NA	NA	missing	NA	no	NA	NA	NA	NA	G10K	SRA913345	NA	public	542C311AB320D23E38300B33A5DF314C	B94A4D4B6EFD642F2D9E405A25C7AAFE
SRR12284233	2020-07-22 10:46:03	2020-07-22 10:39:46	24273793	7330685486	24273793	302	3163	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12284233/SRR12284233	SRX8787564	rDerCor_1B	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP184741	PRJNA516733	NA	516733	SRS7056147	SAMN15596781	simple	27794	Dermochelys coriacea	rDerCor_1B	NA	NA	NA	NA	Unknown	NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS, AMHERTS	SRA1102206	NA	public	7DFF2179901027549F167D148D2E1BC9	FF4AE8DEE3B931AE8734D03491A0E62C
SRR12284232	2020-07-22 10:46:03	2020-07-22 10:41:27	27306500	8246563000	27306500	302	3339	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12284232/SRR12284232	SRX8787565	rDerCor_1L	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP184741	PRJNA516733	NA	516733	SRS7056148	SAMN15596782	simple	27794	Dermochelys coriacea	rDerCor_1L	NA	NA	NA	NA	Unknown	NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS, AMHERTS	SRA1102206	NA	public	53402E4D278BA2E806203F817003E0E6	A866B5260E365E5D3219E00AE09A2269
SRR12284231	2020-07-22 10:46:03	2020-07-22 10:41:42	28239635	8528369770	28239635	302	3428	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12284231/SRR12284231	SRX8787566	rDerCor_2O	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP184741	PRJNA516733	NA	516733	SRS7056149	SAMN15596783	simple	27794	Dermochelys coriacea	rDerCor_2O	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS, AMHERTS	SRA1102206	NA	public	8C02ED871FFDC6B9E1121C897CB72D04	25D4228D1BB6F920D04FE3114A4DDE6C
SRR12540964	2020-10-30 00:40:12	2020-08-28 14:19:32	31504885	9451465500	31504885	300	3349	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540964/SRR12540964	SRX9030640	Sample05	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP279226	PRJNA660024	NA	660024	SRS7281921	SAMN15932986	simple	27794	Dermochelys coriacea	Sample05_dc_2012	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS, AMHERST	SRA1118503	NA	public	2EB1C02926D3FEFBE9E1BCB04689A7D9	81ABD2016FC9395818AC909FDE83B90A
SRR12540959	2020-10-30 00:40:12	2020-08-28 14:20:54	27814976	8344492800	27814976	300	2929	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540959/SRR12540959	SRX9030645	Sample06	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP279226	PRJNA660024	NA	660024	SRS7281926	SAMN15932987	simple	27794	Dermochelys coriacea	Sample06_dc_2013	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS, AMHERST	SRA1118503	NA	public	FDA1BE6663067930BD4B372C44D2701B	D9DD9158EFFB2A761322790881299577
SRR12540958	2020-10-30 00:40:12	2020-08-28 14:31:46	37847072	11354121600	37847072	300	4039	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540958/SRR12540958	SRX9030646	Sample07	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP279226	PRJNA660024	NA	660024	SRS7281927	SAMN15932988	simple	27794	Dermochelys coriacea	Sample07_dc_2016	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS, AMHERST	SRA1118503	NA	public	4B227B16A26BF0B4D605309855842859	43A5D4684251B28C2B903606189C5C31
SRR12540957	2020-10-30 00:40:12	2020-08-28 14:22:03	36549138	10964741400	36549138	300	3897	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540957/SRR12540957	SRX9030647	Sample08	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP279226	PRJNA660024	NA	660024	SRS7281928	SAMN15932989	simple	27794	Dermochelys coriacea	Sample08_dc_2013	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS, AMHERST	SRA1118503	NA	public	50BCF2655D844B2734977EF998A54967	55CA1326B1D232E7D9998261B5BC057B
