Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR17879951	2022-02-04 06:16:13	2022-02-04 00:04:16	107808344	32342503200	107808344	300	12699	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17879/SRR17879951/SRR17879951.lite.1	SRX14039271	Adult_Bacteriome_CLas	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP106572	PRJNA385527	NA	385527	SRS11874323	SAMN22082298	simple	121845	Diaphorina citri	ACP Adult Bacteriome CLas	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	BOYCE THOMPSON INSTITUTE	SRA1366784	NA	public	7F07004E066BEECEFFFE4C65013E4D1E	EA586B8C8D704420AE0102DD7636EAC1
SRR17879952	2022-02-04 06:16:13	2022-02-04 00:06:16	113332801	33999840300	113332801	300	13321	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17879/SRR17879952/SRR17879952.lite.1	SRX14039270	Adult_Bacteriome_Healthy	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP106572	PRJNA385527	NA	385527	SRS11874322	SAMN22082297	simple	121845	Diaphorina citri	ACP Adult Bacteriome Healthy	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	BOYCE THOMPSON INSTITUTE	SRA1366784	NA	public	98D9159BF16E3FDEDFF07E830D194346	370A74D562C91A4B33BCF288DDC7C084
SRR17879953	2022-02-04 06:16:13	2022-02-03 23:57:26	95319356	28595806800	95319356	300	11186	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17879/SRR17879953/SRR17879953.lite.1	SRX14039269	Adult_Heads _CLas	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP106572	PRJNA385527	NA	385527	SRS11874321	SAMN22082296	simple	121845	Diaphorina citri	ACP Adult Heads  CLas	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	BOYCE THOMPSON INSTITUTE	SRA1366784	NA	public	73C8AAE97BDAE9B3001DB0F22B716094	D96177AB4411717245FCC11C57F8C1C1
SRR17879954	2022-02-04 06:16:13	2022-02-03 23:59:09	91803610	27541083000	91803610	300	10851	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17879/SRR17879954/SRR17879954.lite.1	SRX14039268	Adult_Heads_Healthy	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP106572	PRJNA385527	NA	385527	SRS11874320	SAMN22082295	simple	121845	Diaphorina citri	ACP Adult Heads Healthy	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	BOYCE THOMPSON INSTITUTE	SRA1366784	NA	public	CF26AAD3973C778D7288196A9B1200A6	C5834FD157612E925D2C1B69887EFE4A
SRR17879955	2022-02-04 06:16:13	2022-02-04 01:32:24	200002830	60400854660	200002830	302	28296	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17879/SRR17879955/SRR17879955.lite.1	SRX14039267	Adult_Salivary_Glands CLas	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP106572	PRJNA385527	NA	385527	SRS11874319	SAMN22082294	simple	121845	Diaphorina citri	ACP Salivary Glands CLas	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	BOYCE THOMPSON INSTITUTE	SRA1366784	NA	public	1C4CB711037F50BD59746C31F676EB2A	7699E2769A9F678E56F3702EF658D8F6
SRR17879956	2022-02-04 06:16:13	2022-02-04 00:12:37	159897576	48289067952	159897576	302	22722	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17879/SRR17879956/SRR17879956.lite.1	SRX14039266	Adult_Salivary_Glands_Healthy	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP106572	PRJNA385527	NA	385527	SRS11874318	SAMN22082293	simple	121845	Diaphorina citri	ACP Salivary Glands Healthy	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA	NA	BOYCE THOMPSON INSTITUTE	SRA1366784	NA	public	3204B191C17F271758E750F8C6F57797	BC4956556CBB95F6B016B66FB7C48B97
SRR20083769	2022-08-28 21:45:22	2022-07-12 06:40:45	43325758	6498863700	0	150	4446	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR020/20083/SRR20083769/SRR20083769.lite.1	SRX16121473	MB1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP385994	PRJNA857870	NA	857870	SRS10709123	SAMN22555600	simple	121845	Diaphorina citri	ACP WGS	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GANNAN NORMAL UNIVERSITY	SRA1453199	NA	public	87AB2B6377D18EDE20678AE1873E6E1D	8AD1D671E1BB40B2B9FF628454008FFD
SRR20083770	2022-08-28 21:45:22	2022-07-12 06:46:44	43151146	6472671900	0	150	4368	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR020/20083/SRR20083770/SRR20083770.lite.1	SRX16121472	MA3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP385994	PRJNA857870	NA	857870	SRS10709123	SAMN22555600	simple	121845	Diaphorina citri	ACP WGS	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GANNAN NORMAL UNIVERSITY	SRA1453199	NA	public	B5062C730EE614A88C948234C0A95BC2	8A4332DF8B9D8E7BA0E38CBE42D983C0
SRR20083771	2022-08-28 21:45:22	2022-07-12 06:52:00	42889642	6433446300	0	150	4377	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR020/20083/SRR20083771/SRR20083771.lite.1	SRX16121471	MA2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP385994	PRJNA857870	NA	857870	SRS10709123	SAMN22555600	simple	121845	Diaphorina citri	ACP WGS	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GANNAN NORMAL UNIVERSITY	SRA1453199	NA	public	FE2AAC63437591178F279B61372300E6	E702FA6195FA03AB8388CBB9C47ABA4C
SRR20083772	2022-08-28 21:45:22	2022-07-12 06:45:38	43030558	6454583700	0	150	4364	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20083/SRR20083772/SRR20083772.lite.1	SRX16121470	MA1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP385994	PRJNA857870	NA	857870	SRS10709123	SAMN22555600	simple	121845	Diaphorina citri	ACP WGS	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GANNAN NORMAL UNIVERSITY	SRA1453199	NA	public	A81084BC69136AE3FD2B09B15CB867F8	0C12992FEDF70E6C6119B4E12B58BF66
