Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR402049	2012-05-20 00:00:00	2012-08-11 17:22:23	13101575	1991439400	13101575	152	1289	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/402/SRR402049/SRR402049.sralite.1	SRX116813	D.albomicans whole male	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina Genome Analyzer II	SRP010449	PRJNA81745	NA	81745	SRS290003	SAMN00777292	simple	7291	Drosophila albomicans	D. albomicans male	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, BERKELEY	SRA049492	NA	public	8A5E3BB1DABCCFD079A51B2F74A480C4	B1124B266B397143A376C046B7E6979A
SRR402050	2012-05-20 00:00:00	2012-08-11 17:22:34	13363709	2031283768	13363709	152	1314	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/402/SRR402050/SRR402050.sralite.1	SRX116814	D.albomicans whole female	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina Genome Analyzer II	SRP010449	PRJNA81745	NA	81745	SRS290006	SAMN00777295	simple	7291	Drosophila albomicans	D. albomicans female	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, BERKELEY	SRA049492	NA	public	1158E81AAE0B96054A95425082187D68	16A30BBE00C20FB29873E9758D28FF92
SRR4416169	2016-11-15 13:29:01	2016-10-11 18:33:35	13095258	2357146440	13095258	180	1558	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416169/SRR4416169.sralite.1	SRX2239157	alb_f_larva	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738878	SAMN05897917	simple	7291	Drosophila albomicans	alb_f_larva	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	43E3C15744AB28FF9C7A40EC6A62A5E1	1380EBDF13FF48C2D4DAE265F3C23095
SRR4416172	2016-11-15 13:29:01	2016-10-11 18:31:11	13402501	2412450180	13402501	180	1572	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416172/SRR4416172.sralite.1	SRX2239160	alb_m_testis	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738879	SAMN05897920	simple	7291	Drosophila albomicans	alb_m_testis	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	EACD0AD03CF2D03CA4E2A7FAACA0A669	67D08659E311133AB17F7EF029D7DA2B
SRR4416171	2016-11-15 13:29:01	2016-10-11 18:36:09	11846060	2369212000	11846060	200	1806	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416171.sralite.1	SRX2239159	alb_m_head	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738880	SAMN05897919	simple	7291	Drosophila albomicans	alb_m_head	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	BC7A9345E82EA1C87C0BCDF554DE68EA	38B8969C4C1CA62CA24E547CAD7F7EAE
SRR4416170	2016-11-15 13:29:01	2016-10-11 18:30:59	12821214	2307818520	12821214	180	1526	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416170/SRR4416170.sralite.1	SRX2239158	alb_m_carcass	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738881	SAMN05897918	simple	7291	Drosophila albomicans	alb_m_carcass	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	CBB9950AF3373A5B6FE9759C758AA875	B54877316315E9DC7AB3BC046003BF19
SRR4416173	2016-11-15 13:29:01	2016-10-11 18:31:08	12069355	2413871000	12069355	200	1851	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416173/SRR4416173.sralite.1	SRX2239161	alb_m_acc	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738882	SAMN05897921	simple	7291	Drosophila albomicans	alb_m_acc	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	252779CC5B28456CEEC06A8DA35D967D	3C2AE2C41C8992BAAB7CAABF4D410649
SRR4416174	2016-11-15 13:29:01	2016-10-11 18:31:05	13148671	2366760780	13148671	180	1586	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/416/SRR4416174/SRR4416174.sralite.1	SRX2239162	alb_m_larva	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738883	SAMN05897922	simple	7291	Drosophila albomicans	alb_m_larva	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	FE028E709E8EB26D6BA4B54372D83B5B	6AC6B868AEE352B538D967A1547EFF48
SRR4416189	2016-11-15 13:29:01	2016-10-11 18:34:25	13255739	2386033020	13255739	180	1674	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416189.sralite.1	SRX2239177	alb_f_carcass	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738898	SAMN05897913	simple	7291	Drosophila albomicans	alb_f_carcass	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	BCBC4B102089BBD21824669106C9316F	E4D931E7C3ED447FF8A84921765F505F
SRR4416190	2016-11-15 13:29:01	2016-10-11 18:35:03	11756011	2351202200	11756011	200	1801	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/416/SRR4416190.sralite.1	SRX2239178	alb_f_head	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP091398	PRJNA347569	NA	347569	SRS1738899	SAMN05897914	simple	7291	Drosophila albomicans	alb_f_head	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UC BERKELEY	SRA483620	NA	public	86B963D9319FE83EC89E7B1C42CA84ED	80BD6A6E81E91C8A13F89856A9F58FC9
