Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2509638	2016-09-02 00:00:00	2015-09-24 09:32:20	62333630	6358030260	62333630	102	4327	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/509/SRR2509638/SRR2509638.sralite.1	SRX1277353		RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	SRP063981	PRJNA296552	NA	296552	SRS1082207	SAMN04100273	simple	7263	Drosophila arizonae	D. arizonae	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITE LYON 1	SRA300003	NA	public	7B6C2198C0F0DC44832E93C60F74990B	E350C2D2E403760E21F433FA3ACCDA0E
SRR2510800	2016-09-02 00:00:00	2015-09-24 12:32:29	57167570	5831092140	57167570	102	3995	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/510/SRR2510800/SRR2510800.sralite.1	SRX1277353		RNA-Seq	DNase	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	SRP063981	PRJNA296552	NA	296552	SRS1082207	SAMN04100273	simple	7263	Drosophila arizonae	D. arizonae	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITE LYON 1	SRA300003	NA	public	634D351329FAC2A88E950E997E2521FD	D51CB689148CE1A372AFA67E2C77CD43
SRR5852074	2017-07-24 11:29:05	2017-07-20 07:17:01	4000000	808000000	4000000	202	462	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852074.sralite.1	SRX3021599		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370979	SAMN07372040	simple	7263	Drosophila arizonae	GSM2711727	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	0742FAE4577B976E5F713BC0D346F3EB	03227B24A349A79BEF0C38E81E0C866F
SRR5852075	2017-07-24 11:29:05	2017-07-20 07:16:27	4000000	808000000	4000000	202	460	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852075.sralite.1	SRX3021599		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370979	SAMN07372040	simple	7263	Drosophila arizonae	GSM2711727	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	DB012373DCC2C2E6277DF9720C1E27E2	E064B6B9BA0903BE94B4A127EB6898EB
SRR5852077	2017-07-24 11:29:05	2017-07-20 07:16:32	4000000	808000000	4000000	202	460	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852077.sralite.1	SRX3021599		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370979	SAMN07372040	simple	7263	Drosophila arizonae	GSM2711727	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	EF4E30E5E9CC76C8C62A8F38274A8779	13EE5B6451E69BEAC0A0F69369D06831
SRR5852079	2017-07-24 11:29:05	2017-07-20 07:16:23	4000000	808000000	4000000	202	455	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852079.sralite.1	SRX3021599		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370979	SAMN07372040	simple	7263	Drosophila arizonae	GSM2711727	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	3BA063BDF98B479CF9C0A2788DD20C16	955115E463541CAF2B80BA06244C2AC6
SRR5852080	2017-07-24 11:29:05	2017-07-20 07:15:44	1643204	331927208	1643204	202	187	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852080.sralite.1	SRX3021599		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370979	SAMN07372040	simple	7263	Drosophila arizonae	GSM2711727	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	3408CC974F2A9CBAE2728C1793299777	D0B35DB5216DC719AE1824068DE23689
SRR5852081	2017-07-24 11:29:05	2017-07-20 07:16:27	4000000	808000000	4000000	202	463	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852081.sralite.1	SRX3021600		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370975	SAMN07372039	simple	7263	Drosophila arizonae	GSM2711728	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	52B76BC1CD64E19AE9D332B93323227B	FA4D8E5BF10F795E962E9399FD7A70BA
SRR5852082	2017-07-24 11:29:05	2017-07-20 07:16:25	4000000	808000000	4000000	202	458	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852082.sralite.1	SRX3021600		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370975	SAMN07372039	simple	7263	Drosophila arizonae	GSM2711728	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	0E1B210755BC1E22A400F179134F3325	633B7EF5B35AE8BB9C12498F658ACE15
SRR5852083	2017-07-24 11:29:05	2017-07-20 07:18:22	4000000	808000000	4000000	202	462	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/852/SRR5852083.sralite.1	SRX3021600		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113155	PRJNA395148	2	395148	SRS2370975	SAMN07372039	simple	7263	Drosophila arizonae	GSM2711728	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA589424	NA	public	9B261EBEA52123C1644CBF3F28ED47CA	5719C0B78E6CF29CD3F2A87127A897DE
