Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR129463	2019-08-10 14:38:07	2019-08-10 14:24:45	25425534	2542553400	0	100	1422	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/129/DRR129463/DRR129463.sralite.1	DRX122201	Whole larval bodies of Drosophila erecta on the M diet (Platform: N), replicate 1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP005352	PRJDB4481	NA	559705	DRS105236	SAMD00117451	simple	7220	Drosophila erecta	SAMD00117451	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	6F9DB34F3EDF36260AA9484103D6123D	ABC4068B79F6B4E5E9845FA0C0C005B3
DRR129464	2019-08-10 14:38:07	2019-08-10 14:20:52	28001781	2800178100	0	100	1563	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/129/DRR129464.sralite.1	DRX122202	Whole larval bodies of Drosophila erecta on the P diet (Platform: N), replicate 1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP005352	PRJDB4481	NA	559705	DRS105237	SAMD00117452	simple	7220	Drosophila erecta	SAMD00117452	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	23A826237587DC942FD6A042E4770E28	20397A699F52095FC920EB4086C27A41
DRR129465	2019-08-10 14:38:07	2019-08-10 14:17:06	18667292	1866729200	0	100	1042	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/129/DRR129465.sralite.1	DRX122203	Whole larval bodies of Drosophila erecta on the M diet (Platform: N), replicate 2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP005352	PRJDB4481	NA	559705	DRS105238	SAMD00117453	simple	7220	Drosophila erecta	SAMD00117453	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	167FAB5BC5CA0C0F1A0F3F90AAC6B7CC	ED6BE015DFD72504C25339B168C64B5C
DRR129466	2019-08-10 14:38:07	2019-08-10 14:18:35	35472181	3547218100	0	100	1974	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/129/DRR129466.sralite.1	DRX122204	Whole larval bodies of Drosophila erecta on the P diet (Platform: N), replicate 2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP005352	PRJDB4481	NA	559705	DRS105239	SAMD00117454	simple	7220	Drosophila erecta	SAMD00117454	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	0713BFE37EFCBFE3F7EDFD04026B74EB	20E7B6B76CF66F1490F15E4A978118A8
DRR129467	2019-08-10 14:38:07	2019-08-10 14:21:13	30877896	3087789600	0	100	1672	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/129/DRR129467.sralite.1	DRX122205	Whole larval bodies of Drosophila erecta on the M diet (Platform: N), replicate 3	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP005352	PRJDB4481	NA	559705	DRS105240	SAMD00117455	simple	7220	Drosophila erecta	SAMD00117455	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	D27A295BD9C44A2562C3BDECA4298020	11AD99E80349138385262F4BBDC1CD9F
DRR129468	2019-08-10 14:38:07	2019-08-10 14:25:14	29905397	2990539700	0	100	1615	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/129/DRR129468.sralite.1	DRX122206	Whole larval bodies of Drosophila erecta on the P diet (Platform: N), replicate 3	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP005352	PRJDB4481	NA	559705	DRS105241	SAMD00117456	simple	7220	Drosophila erecta	SAMD00117456	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	DB8F7CA1A80B32F671C88784CB64C2DA	03777C1A6105C7F07F4718334BB2EC04
SRR1205793	2014-07-24 09:16:07	2014-03-26 13:33:01	45871470	1651372920	0	36	1010	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/205/SRR1205793/SRR1205793.sralite.1	SRX501658		RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP040593	PRJNA242736	2	242736	SRS582715	SAMN02708807	simple	7220	Drosophila erecta	GSM1357621	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA149323	NA	public	21732015D82BC996597AF1E64F66C18F	AF365A939E8AA34BC45E3AEDB4DBB73A
SRR1617567	2015-11-02 10:19:14	2014-10-21 13:41:08	27550790	1405090290	0	51	940	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/617/SRR1617567/SRR1617567.sralite.1	SRX737152		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP049103	PRJNA264407	2	264407	SRS725050	SAMN03121868	simple	7220	Drosophila erecta	GSM1528804	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA192814	NA	public	0EC0DFE11B3666F64EC0F657FBA70409	AB01A2D270745F6690E005E42F2FB191
SRR4003928	2016-12-02 02:20:45	2016-08-05 11:31:55	12518495	1201775520	12518495	96	848	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/003/SRR4003928/SRR4003928.sralite.1	SRX2004075		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP080993	PRJNA337934	2	337934	SRS1603639	SAMN05513879	simple	7220	Drosophila erecta	GSM2262748	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA448566	NA	public	E03148C8166E56DDFD2761AD2C0E19A2	E0AC300686D4D5CCD86D088A65CA7825
SRR4003929	2016-12-02 02:20:45	2016-08-05 11:32:56	13205536	1267731456	13205536	96	891	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/003/SRR4003929/SRR4003929.sralite.1	SRX2004076		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP080993	PRJNA337934	2	337934	SRS1603649	SAMN05513878	simple	7220	Drosophila erecta	GSM2262749	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA448566	NA	public	05D28DDA3B8367C10536824D6C30EB10	54A8D66D1DAD729C3AB977F2A2978487
