Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7247736	2018-06-04 09:06:26	2018-06-01 11:35:44	18441019	1401517444	0	76	891		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7247736/SRR7247736	SRX4152562		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073087	PRJNA317989	3	317989	SRS3366137	SAMN09292211	simple	7222	Drosophila grimshawi	GSM3171121							no					GEO	SRA408973		public	40B1ACB6888CD8F377C766CDA81D9D91	5FA995956B589297F6B6F5E493D9B7E6
SRR7247754	2018-06-04 09:06:26	2018-06-01 11:35:30	19632867	1492097892	0	76	945		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/247/SRR7247754.sralite.1	SRX4152580		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073087	PRJNA317989	3	317989	SRS3366155	SAMN09292172	simple	7222	Drosophila grimshawi	GSM3171139							no					GEO	SRA408973		public	C20348AA3EEA49937ADB4DA55D7400AE	5DAC71EFF2FC40DCACD45CEAFC1D2E14
SRR7247758	2018-06-04 09:06:26	2018-06-01 11:35:06	15995781	1215679356	0	76	760		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7247758/SRR7247758	SRX4152584		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073087	PRJNA317989	3	317989	SRS3366158	SAMN09292165	simple	7222	Drosophila grimshawi	GSM3171143							no					GEO	SRA408973		public	0DB6C47EB371E7FDE0A030C3B9AC303D	E4CFF6CEC8DF6CB6B757AF0AD96C92A7
SRR7247764	2018-06-04 09:06:26	2018-06-01 11:34:21	15022945	1141743820	0	76	723		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/247/SRR7247764.sralite.1	SRX4152590		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073087	PRJNA317989	3	317989	SRS3366166	SAMN09292133	simple	7222	Drosophila grimshawi	GSM3171149							no					GEO	SRA408973		public	F0D6E63F29F2ED3A48271B8B8298F9E4	EA7115B9068A567DFE7F51854E78B40D
SRR6840922	2018-06-13 11:00:45	2018-06-05 14:04:59	88660	123074147	0	1388	37	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/6840/SRR6840922/SRR6840922.lite.1	SRX3796788	DgriG1_f_wb_rep1	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP135764	PRJNA438465		438465	SRS3048904	SAMN08716977	simple	7222	Drosophila grimshawi	DgriG1_f_wb_rep1					female		no					NIH	SRA666764		public	C347452970CF7FD750E27C276DC093CB	B957C16C5B047F9003EFF5AE8B7442D8
SRR6840921	2018-06-13 11:00:42	2018-06-05 14:04:20	82049	124609960	0	1518	37	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/6840/SRR6840921/SRR6840921.lite.1	SRX3796789	DgriG1_f_wb_rep2	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP135764	PRJNA438465		438465	SRS3048908	SAMN08716978	simple	7222	Drosophila grimshawi	DgriG1_f_wb_rep2					female		no					NIH	SRA666764		public	87426887D67DAE7C201BDC5B44F9BD1C	5CDE534C9125457CD8E4C432E84DF3E7
SRR6840924	2018-06-13 11:00:48	2018-06-05 14:04:12	55644	86401062	0	1552	36	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/6840/SRR6840924/SRR6840924.lite.1	SRX3796786	DgriG1_m_wb_rep1	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP135764	PRJNA438465		438465	SRS3048903	SAMN08716979	simple	7222	Drosophila grimshawi	DgriG1_m_wb_rep1					male		no					NIH	SRA666764		public	742A48DFAF459F6EA15D791A1C7C0F15	821C38CEE8B2967FBF654D8381D7EE58
SRR6840923	2018-06-13 11:00:52	2018-06-05 14:04:15	56263	91987819	0	1634	36	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/6840/SRR6840923/SRR6840923.lite.1	SRX3796787	DgriG1_m_wb_rep2	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	PacBio RS II	SRP135764	PRJNA438465		438465	SRS3048902	SAMN08716980	simple	7222	Drosophila grimshawi	DgriG1_m_wb_rep2					male		no					NIH	SRA666764		public	7EBFE3C43712974C64FEC49845B91C31	83E42825A27D62219FA2B46CE17D184C
SRR3355188	2016-06-01 15:59:04	2016-04-11 10:57:00	9165109	696548284	0	76	435		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/355/SRR3355188.sralite.1	SRX1689159		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073087	PRJNA317989	3	317989	SRS1383754	SAMN04632229	simple	7222	Drosophila grimshawi	GSM2113124							no					GEO	SRA408973		public	5E73A713CD887C2184A6FC8521D04B4D	79FAA116F5B796161A6F89C858B7BA52
SRR3355189	2016-06-01 15:59:04	2016-04-11 10:56:14	4934247	375002772	0	76	235		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/355/SRR3355189.sralite.1	SRX1689160		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP073087	PRJNA317989	3	317989	SRS1383753	SAMN04632227	simple	7222	Drosophila grimshawi	GSM2113125							no					GEO	SRA408973		public	7EB103DACD811440CFE32B4E9B83AE71	0189D240CA6CA5E387B68E89D3D1D090
