Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2037048	2018-07-07 08:43:55	2018-07-17 03:24:06	19289409	2931990168	19289409	152	1898	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7048/ERR2037048.sralite.1	ERX2096105	318Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	166	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	6D092C737907843D106B0B26FDC12276	F997C4D6B13C3B92CCF4E77742559476
ERR2037049	2018-07-07 08:43:55	2018-07-17 03:26:26	17849740	2713160480	17849740	152	1787	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7049/ERR2037049.sralite.1	ERX2096106	322Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	167	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	C0CA688771770208F36D759E356CF925	307A19B6FF6302B07B6453FE663AC0E4
ERR2037050	2018-07-07 08:43:55	2018-07-17 03:27:28	12044972	1830835744	12044972	152	1149	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7050/ERR2037050.sralite.1	ERX2096107	323Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	172	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	B39BD2E429F6F4BE2543EB73EF7E8463	4512A1B84C3B3605B59A19018739ABD8
ERR2037051	2018-07-07 08:43:55	2018-07-17 03:29:58	16682893	2535799736	16682893	152	1653	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7051/ERR2037051.sralite.1	ERX2096108	319Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	158	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	B7703CCD0F4175477069E02AA11EDAFE	D4D068475B6032BD5F5B9288292BDC1F
ERR2037052	2018-07-07 08:43:55	2018-07-17 03:31:04	10346035	1572597320	10346035	152	975	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7052/ERR2037052.sralite.1	ERX2096109	324Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	165	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	D0E81EBF31E34D448BAF1D7D046A23A9	C2FB4FB9A3FEC30111BE15888628DB65
ERR2037053	2018-07-07 08:43:55	2018-07-17 03:31:52	10435896	1586256192	10435896	152	1009	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7053/ERR2037053.sralite.1	ERX2096110	326Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	159	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	28F949D09847A3FD3043F7F8D9A64F2C	5F365543113669A5746757FFB3A724C5
ERR2037054	2018-07-07 08:43:55	2018-07-17 03:33:35	25296668	3845093536	25296668	152	2288	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7054/ERR2037054.sralite.1	ERX2096111	321Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	165	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	6845960AACB93768BFDD6EE78DF974C5	8B8345AE5ABB6951F4A2524B5C88EFC8
ERR2037055	2018-07-07 08:43:55	2018-07-17 03:35:07	13488813	2050299576	13488813	152	1282	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7055/ERR2037055.sralite.1	ERX2096112	521Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	159	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	A485FB4DD339C9045A5156FEB2177532	9E9DCC889D44C29BEF05AD4B32D7810F
ERR2037056	2018-07-07 08:43:55	2018-07-17 03:35:55	11306020	1718515040	11306020	152	1083	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7056/ERR2037056.sralite.1	ERX2096113	522Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	166	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	5616500C8D1224C33E291509E059A765	1BDB9252E1E877BB2D0CA5AFAA754881
ERR2037057	2018-07-07 08:43:55	2018-07-17 03:37:36	23299014	3541450128	23299014	152	2088	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7057/ERR2037057.sralite.1	ERX2096114	320Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	166	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	570C5E4F3100896645E950525D8DD343	CA20ED138A3AD1D1B8457D74EA287BCF
ERR2037058	2018-07-07 08:43:55	2018-07-17 03:38:13	11646598	1770282896	11646598	152	1100	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7058/ERR2037058.sralite.1	ERX2096115	325Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	165	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	C8322E56CF02AD8C3D88E905C4AA8BD4	3C7D188DB4F757F5CFAE96659D39BCE0
ERR2037059	2018-07-07 08:43:55	2018-07-17 03:39:18	14854838	2257935376	14854838	152	1421	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR203/7059/ERR2037059.sralite.1	ERX2096116	327Q	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	163	0	ILLUMINA	Illumina HiSeq 2000	ERP024082	PRJEB21790	NA	480076	ERS1823795	SAMEA104164777	simple	7266	Drosophila guanche	SAMEA104164777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CENTRO NACIONAL DE ANÁLISIS GENÓMICO	ERA978685	NA	public	73DCC1BA7B7F24299383F6514434644F	8E88793791F7D816C311E86B7512984A
