Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6039975	2017-09-14 20:00:10	2017-09-14 19:10:59	85962293	15473212740	85962293	180	10141	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/039/SRR6039975.sralite.1	SRX3188103	D.hydei_male_RNA_seq	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP117684	PRJNA373926	2	373926	SRS2515616	SAMN07646218	simple	7224	Drosophila hydei	D.hydei_RNA_male	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA DAVIS	SRA608504	NA	public	9211964968D9F1B37183422E54253432	5296092664D9FCAF804CF604675B2B4B
SRR6039976	2017-09-14 20:04:11	2017-09-14 19:16:51	86981907	15656743260	86981907	180	10175	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/039/SRR6039976.sralite.1	SRX3188104	D.hydei_female_RNA_seq	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP117684	PRJNA373926	2	373926	SRS2515617	SAMN07646219	simple	7224	Drosophila hydei	D.hydei_RNA_female	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA DAVIS	SRA608505	NA	public	519C3A577C67E9071CAC266AABF95FAB	6B55CE65B16484929817EC8ECA26AE82
SRR6043349	2017-09-15 21:42:11	2017-09-15 21:38:42	26714089	4808536020	26714089	180	3085	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/043/SRR6043349.sralite.1	SRX3190413	Panama_mRNA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP117684	PRJNA373926	2	373926	SRS2517796	SAMN07657175	simple	7224	Drosophila hydei	Panama population D. hydei RNAseq	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA DAVIS	SRA608782	NA	public	DF31EBED2D1A65963DADB5E3DFE049D2	8F7FD6947930453C303C46FA6CCB9BD4
SRR6043350	2017-09-15 21:45:10	2017-09-15 21:40:27	32369246	5826464280	32369246	180	3714	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/043/SRR6043350.sralite.1	SRX3190414	Maine_mRNA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP117684	PRJNA373926	2	373926	SRS2517797	SAMN07657176	simple	7224	Drosophila hydei	Maine population D. hydei RNAseq	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA DAVIS	SRA608783	NA	public	A26B6D1A8041B45576B777C8D522B744	7075D73E5CED4115BC810881E17F7C38
SRR7362823	2018-09-30 00:05:27	2020-01-09 11:06:44	16187331	2913719580	16187331	180	1863	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/362/SRR7362823.sralite.1	SRX4235862	Dhyd_heat_transcriptome_4h_Rep3200bp	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150828	PRJNA476692	NA	476692	SRS3433997	SAMN09453167	simple	7224	Drosophila hydei	Dhyd_heat_transcriptome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CSIRO	SRA724486	NA	public	4ECDA87F2115317E015B17576C53D221	EB6190FBC0B11A65A26746F54F4DB630
SRR7362824	2018-09-30 00:05:27	2020-01-09 11:14:41	15868817	2856387060	15868817	180	1820	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/362/SRR7362824.sralite.1	SRX4235861	Dhyd_heat_transcriptome_4h_Rep2200bp	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150828	PRJNA476692	NA	476692	SRS3433997	SAMN09453167	simple	7224	Drosophila hydei	Dhyd_heat_transcriptome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CSIRO	SRA724486	NA	public	D68F2BD31886A945F64EA11D994B48EA	D1AEF0293223D907190BA4A990F01299
SRR7362825	2018-09-30 00:05:27	2020-01-09 11:15:55	17807315	3205316700	17807315	180	2074	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/362/SRR7362825.sralite.1	SRX4235860	Dhyd_heat_transcriptome_4h_Rep1200bp	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150828	PRJNA476692	NA	476692	SRS3433997	SAMN09453167	simple	7224	Drosophila hydei	Dhyd_heat_transcriptome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CSIRO	SRA724486	NA	public	8A0CBDC3A233A04A3102F901B8FE0BC4	82FC28E909226AEF0C39F39AE1B38DE8
SRR7362826	2018-09-30 00:05:27	2020-01-09 11:15:23	14618548	2631338640	14618548	180	1681	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/362/SRR7362826.sralite.1	SRX4235859	Dhyd_heat_transcriptome_3h_Rep3200bp	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150828	PRJNA476692	NA	476692	SRS3433997	SAMN09453167	simple	7224	Drosophila hydei	Dhyd_heat_transcriptome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CSIRO	SRA724486	NA	public	A28CD2EDA37724E6601159EF4B47C913	04296DFC61BBE41B57BB318EB052C6CC
SRR7362827	2018-09-30 00:05:27	2020-01-09 11:05:16	15930380	2867468400	15930380	180	1828	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/362/SRR7362827.sralite.1	SRX4235858	Dhyd_heat_transcriptome_3h_Rep2200bp	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150828	PRJNA476692	NA	476692	SRS3433997	SAMN09453167	simple	7224	Drosophila hydei	Dhyd_heat_transcriptome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CSIRO	SRA724486	NA	public	49AA32C03EC538E365420D1F456A0708	CFFDB8EFE770339BD60F2561C09186CA
SRR7362828	2018-09-30 00:05:27	2020-01-09 11:09:50	15591631	2806493580	15591631	180	1806	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/362/SRR7362828.sralite.1	SRX4235857	Dhyd_heat_transcriptome_3h_Rep1200bp	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150828	PRJNA476692	NA	476692	SRS3433997	SAMN09453167	simple	7224	Drosophila hydei	Dhyd_heat_transcriptome	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CSIRO	SRA724486	NA	public	70CA761391A9CB09A9BE83BE954A4F28	505E1BDB0D8818BBEF6B76C5E4C5DB78
