Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR11513216	2021-06-18 00:27:27	2020-04-10 08:33:29	10151942	1017789188	0	100	270	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513216/SRR11513216.lite.1	SRX8084944	ISR23_S61_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	80E8E1AA34B32DFE16F7B31BC1A92051	2B1DD7A60C62D139CB0197EAD5F1BDB3
SRR11513218	2021-06-18 00:27:27	2020-04-10 08:31:04	11249602	1125334598	0	100	299	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513218/SRR11513218.lite.1	SRX8084943	ISR22_S60_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	9DC379754F53E81C0268F5342FF31D81	021B12D035142EC3BC9F356E9BD2D685
SRR11513219	2021-06-18 00:27:27	2020-04-10 08:44:52	13490216	1351165476	0	100	366	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513219/SRR11513219.lite.1	SRX8084942	ISR21_S59_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	B7530EA6A3587EF0A511C816AF1C2EC2	1ED34B9A7277AEC530E394A573DB1541
SRR11513221	2021-06-18 00:27:27	2020-04-10 08:26:02	10560079	1058157827	0	100	282	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513221/SRR11513221.lite.1	SRX8084940	ISR20_S58_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	6C410FA173D913B099F342D602065BD0	9C41EA31427E0335E53BECDFBDC627C0
SRR11513222	2021-06-18 00:27:27	2020-04-10 08:40:59	11135839	1109031937	0	99	299	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513222/SRR11513222.lite.1	SRX8084939	ISR19_S57_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	2D4C01F630048C77213026C8C5C627A3	17A83FDD819527489D43A9C7254F136D
SRR11513223	2021-06-18 00:27:27	2020-04-10 08:33:08	11325453	1131175791	0	99	302	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513223/SRR11513223.lite.1	SRX8084938	ISR18_S56_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	D6E17045B79BABE3AA8F5BBA9119DC80	ED0630CA07490B7D6D0449342442D64C
SRR11513224	2021-06-18 00:27:27	2020-04-10 08:46:50	9507295	951688269	0	100	263	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513224/SRR11513224.lite.1	SRX8084937	ISR17_S55_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	01A3B55B982CC7BA6B3E715042461DE1	8E973A1BA3FF5FFA32CD8BC3490CB600
SRR11513225	2021-06-18 00:27:27	2020-04-10 08:26:02	9984114	999186883	0	100	271	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513225/SRR11513225.lite.1	SRX8084936	ISR16_S54_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	F0FFDBC68039AECE99C5BE8822543DCF	7EAB3643752A14E9E21E42E59D5BB74A
SRR11513226	2021-06-18 00:27:27	2020-04-10 08:41:36	9427923	945975310	0	100	250	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513226/SRR11513226.lite.1	SRX8084935	ISR15_S53_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	31380F7D6CF6CCA9B2838915C9B01048	F8BF2B3D674363176EA309C6C658E9A7
SRR11513227	2021-06-18 00:27:27	2020-04-10 08:39:34	12442123	1245371057	0	100	330	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11513/SRR11513227/SRR11513227.lite.1	SRX8084934	ISR14_S52_RNA	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187240	PRJNA524688	3	524688	SRS4426068	SAMN11037163	simple	198719	Drosophila innubila	Drosophila innubila minion data	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF KANSAS	SRA1063987	NA	public	5B1763172C96E35A98FC773E986494E6	9A90E200FB93437E3DB4EFA014201DCB
