Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR128266	2019-08-17 17:44:17	2019-08-17 17:30:27	24585641	4966299482	24585641	202	1973	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/128/DRR128266/DRR128266.sralite.1	DRX121009		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	305	0	ILLUMINA	Illumina HiSeq 4000	DRP005372	PRJDB6922	NA	560684	DRS106115	SAMD00115788	simple	7226	Drosophila mauritiana	SAMD00115788	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	TOKYO_METRO	DRA006755	NA	public	32F80C6B24CE86CE09F6B8D68733E761	AEA647E3BF9131A876DB47A0D27C6BD5
DRR128267	2019-08-17 17:44:22	2019-08-17 17:30:41	29266819	5911897438	29266819	202	2372	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/128/DRR128267.sralite.1	DRX121010		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	304	0	ILLUMINA	Illumina HiSeq 4000	DRP005372	PRJDB6922	NA	560684	DRS106116	SAMD00115789	simple	7226	Drosophila mauritiana	SAMD00115789	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	TOKYO_METRO	DRA006755	NA	public	CCF95D989AD67BEAE4437537FF75D2DE	426648E4CDE20C12B371A8DCE4A2F6E6
DRR128268	2019-08-17 17:44:23	2019-08-17 17:30:39	30221624	6104768048	30221624	202	2417	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/128/DRR128268.sralite.1	DRX121011		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	294	0	ILLUMINA	Illumina HiSeq 4000	DRP005372	PRJDB6922	NA	560684	DRS106117	SAMD00115790	simple	7226	Drosophila mauritiana	SAMD00115790	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	TOKYO_METRO	DRA006755	NA	public	2A9430C465809E60C4448B75A641E67D	0D28E8A3D31F2108E3168B41C63FE43B
DRR128269	2019-08-17 17:44:23	2019-08-17 17:31:42	27713547	5598136494	27713547	202	2222	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/128/DRR128269.sralite.1	DRX121012		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	298	0	ILLUMINA	Illumina HiSeq 4000	DRP005372	PRJDB6922	NA	560684	DRS106118	SAMD00115791	simple	7226	Drosophila mauritiana	SAMD00115791	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	TOKYO_METRO	DRA006755	NA	public	9B9581AAF9516446EA0F7DADF37BD473	DF996D6AE3279C4B9B666BA8ABCE9722
DRR128270	2019-08-17 17:44:23	2019-08-17 17:31:14	18042472	3644579344	18042472	202	1476	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/128/DRR128270.sralite.1	DRX121013		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	293	0	ILLUMINA	Illumina HiSeq 4000	DRP005372	PRJDB6922	NA	560684	DRS106119	SAMD00115792	simple	7226	Drosophila mauritiana	SAMD00115792	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	TOKYO_METRO	DRA006755	NA	public	1137E1A2804A324BB8D7E7012CC84842	286ADF474FECB2A95430B5BD9300A5E5
DRR128271	2019-08-17 17:44:23	2019-08-17 17:31:16	17335398	3501750396	17335398	202	1389	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/128/DRR128271.sralite.1	DRX121014		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	304	0	ILLUMINA	Illumina HiSeq 4000	DRP005372	PRJDB6922	NA	560684	DRS106120	SAMD00115793	simple	7226	Drosophila mauritiana	SAMD00115793	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	TOKYO_METRO	DRA006755	NA	public	0F44726ADFBB216075B088435E772688	8EA9254F41F67EB1C0106C66B6E320C5
ERR4471017	2020-08-30 08:35:33	2022-07-13 15:28:05	21945982	6400576708	21945982	291	2487	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR004/4471/ERR4471017/ERR4471017.lite.1	ERX4409413	DmauD1_replicate1_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	10	ILLUMINA	Illumina HiSeq 4000	ERP123526	PRJEB39952	NA	660239	ERS4957843	SAMEA7197620	simple	7226	Drosophila mauritiana	SAMEA7197620	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	J F D HAGEN	ERA2818807	NA	public	289847C27F8252BE0E77BBD6ACDE4E20	3AC7F5261CD34ACA38E84505C511F46F
ERR4471018	2020-08-30 08:35:33	2022-07-25 11:02:03	26592002	7769804082	26592002	292	2993	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR004/4471/ERR4471018/ERR4471018.lite.1	ERX4409414	DmauD1_replicate2_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	10	ILLUMINA	Illumina HiSeq 4000	ERP123526	PRJEB39952	NA	660239	ERS4957844	SAMEA7197621	simple	7226	Drosophila mauritiana	SAMEA7197621	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	J F D HAGEN	ERA2818807	NA	public	531892A08EFAE26D91C73E2006B4965D	88E057CBD8C505C9D1439D07CD67BE5A
ERR4471019	2020-08-30 08:35:33	2022-07-13 15:31:18	30050119	8795427487	30050119	292	3429	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR004/4471/ERR4471019/ERR4471019.lite.1	ERX4409415	DmauD1_replicate3_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	10	ILLUMINA	Illumina HiSeq 4000	ERP123526	PRJEB39952	NA	660239	ERS4957845	SAMEA7197622	simple	7226	Drosophila mauritiana	SAMEA7197622	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	J F D HAGEN	ERA2818807	NA	public	C8989A297E770EB10F7D775F8EADDDC2	3CD26F7B6A08B35545EA4B449729AF68
SRR191371	2011-07-28 09:12:01	2014-05-30 12:40:04	1607735	244375720	1607735	152	114	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/191/SRR191371/SRR191371.sralite.1	SRX059377	GSM710168: Maur_RNASeq	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP006565	PRJNA138869	2	138869	SRS190442	SAMN00262254	simple	7226	Drosophila mauritiana	GSM710168	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GEO	SRA035990	NA	public	6A8E91E9CEE916BA70105AC9F45CCAA3	9569BB071DE5DAEF97137790EDE026F1
