Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5278995	2017-02-23 00:00:30	2017-02-22 17:04:53	32925441	2865845871	0	87	1207	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/278/SRR5278995.sralite.1	SRX2582822	nov_TS_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996819	SAMN06379673	simple	47314	Drosophila novamexicana	nov_testes	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	7534A2EE45DA2F03962F869EAB1A203E	7B379EA495D363A6CA58122DF6458379
SRR5278996	2017-02-23 00:00:30	2017-02-22 17:02:48	31556027	2758922765	0	87	1179	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/278/SRR5278996.sralite.1	SRX2582823	nov_TS_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996819	SAMN06379673	simple	47314	Drosophila novamexicana	nov_testes	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	5E9E40BEF4771BED07F572E61F7229BB	8D66723825E0D53AAE75EE637E1044EE
SRR5278997	2017-02-23 00:00:31	2017-02-22 17:12:47	26854579	4798256218	26854579	178	3380	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/278/SRR5278997.sralite.1	SRX2582824	nov_TS_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996819	SAMN06379673	simple	47314	Drosophila novamexicana	nov_testes	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	E016AF7932F8D074C08ED6449B40A9EB	87779ADA60D5F8743AD60D61340F08C3
SRR5278998	2017-02-23 00:00:31	2017-02-22 17:00:32	24988526	2082057504	0	83	900	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/278/SRR5278998.sralite.1	SRX2582825	nov_EB_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996820	SAMN06379681	simple	47314	Drosophila novamexicana	nov_EB	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	60E995CCD2ED52A5DCBC29C3C96E5AC6	7099D1DBD2E6D8214D4817436B995F47
SRR5278999	2017-02-23 00:00:31	2017-02-22 17:17:45	53484728	4749144869	0	88	1954	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/278/SRR5278999.sralite.1	SRX2582826	nov_EB_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996820	SAMN06379681	simple	47314	Drosophila novamexicana	nov_EB	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	26A2BF63D4EB428BABA1AD9A6B36B30D	9D3B21E860ED5FC9613E2720549CC438
SRR5279000	2017-02-23 00:00:31	2017-02-22 17:10:57	20651676	1701954330	0	82	744	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/279/SRR5279000.sralite.1	SRX2582827	nov_CR_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996821	SAMN06379685	simple	47314	Drosophila novamexicana	nov_carcass	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	32656B0E8A6E6D1D3E32D4C78AACE03E	1843AADBFA5E4A1CCA79ADC0E05BD1A8
SRR5279001	2017-02-23 00:00:31	2017-02-22 16:59:38	21180074	1808387626	0	85	759	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/279/SRR5279001.sralite.1	SRX2582828	nov_CR_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996821	SAMN06379685	simple	47314	Drosophila novamexicana	nov_carcass	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	BD2C9711B8EEC4BDE4DF7FDC28DF6649	442BD04C32D2164C214C3CFBEC114E52
SRR5279002	2017-02-23 00:00:31	2017-02-22 17:05:01	15133571	2715543860	15133571	179	1828	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/279/SRR5279002.sralite.1	SRX2582829	nov_CR_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996821	SAMN06379685	simple	47314	Drosophila novamexicana	nov_carcass	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	6CF4F06605E6CCBEDD53F4A069E30E28	18F971FF47AB98808EE47DFC00006C4E
SRR5279003	2017-02-23 00:00:31	2017-02-22 17:08:54	37498435	3273672062	0	87	1385	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/279/SRR5279003.sralite.1	SRX2582830	nov_AG_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996822	SAMN06379677	simple	47314	Drosophila novamexicana	nov_AG	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	C71AF606704FD1BC50A4C004E4AF4254	403C4827CA3FBBE3B8431EE46DE4953F
SRR5279004	2017-02-23 00:00:31	2017-02-22 17:06:17	47155350	4130122184	0	87	1707	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/279/SRR5279004.sralite.1	SRX2582831	nov_AG_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP100565	PRJNA376405	NA	376405	SRS1996822	SAMN06379677	simple	47314	Drosophila novamexicana	nov_AG	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA539781	NA	public	A827824541CFBAF38A814800D457FEA7	BBF1C73060FA793CA19729F117E030EC
