Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR1276824	2017-03-03 14:53:21	2017-03-04 06:23:37	0	0	0	0	6427		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6824/ERR1276824.sralite.1	ERX1348411	Sample 9	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063919	SAMEA3876785	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134681							no					Paris	ERA565262		public	99C46C3F98BA7FD621A8E31151E545B5	116382C80C23438445863926EA5C9D6D
ERR1276810	2017-03-03 14:53:21	2017-03-04 16:26:46	0	0	0	0	10739		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6810/ERR1276810.sralite.1	ERX1348397	Sample 77	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063905	SAMEA3876771	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134682							no					Paris	ERA565262		public	55FEBF1179682665127F878A331C7D7C	6E50D2A1B5718ABA0F73B9EFDADFC680
ERR1276827	2017-03-03 14:53:21	2017-03-04 06:27:26	0	0	0	0	5771		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6827/ERR1276827.sralite.1	ERX1348414	Sample 92	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063922	SAMEA3876788	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134684							no					Paris	ERA565262		public	9134C0552EDFA960E9B579B050F4C0F8	3B2FE93C170B1662CB303B5292B15F14
ERR1276814	2017-03-03 14:53:21	2017-03-04 06:14:52	0	0	0	0	5281		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6814/ERR1276814.sralite.1	ERX1348401	Sample 80	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063909	SAMEA3876775	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134689							no					Paris	ERA565262		public	4EB045EC089DA55742BB7D9C077DF5C0	F48EB907D3E30AC8FD0478681423F009
ERR1276819	2017-03-03 14:53:21	2017-03-04 00:47:12	0	0	0	0	5288		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6819/ERR1276819.sralite.1	ERX1348406	Sample 85	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063914	SAMEA3876780	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134692							no					Paris	ERA565262		public	EA7F759ADAF2127919B360E4DFF04F7B	484A4772CBE228EBAFA39323766E3B27
ERR1276811	2017-03-03 14:53:21	2017-03-04 06:08:55	0	0	0	0	5079		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6811/ERR1276811.sralite.1	ERX1348398	Sample 78	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063906	SAMEA3876772	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134700							no					Paris	ERA565262		public	D3F79AA2AEC4206BCEACFFFD7D7D90BF	C44C3BA1ACB219A43D7C29F496491F32
ERR1276828	2017-03-03 14:53:21	2017-03-04 06:30:09	0	0	0	0	9675		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6828/ERR1276828.sralite.1	ERX1348415	Sample 93	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063923	SAMEA3876789	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134702							no					Paris	ERA565262		public	F5C4152A1B497D91E3BFFDB33ABCB1E9	4C99349D72CA2CAF37A2EE6FC43F928B
ERR1276815	2017-03-03 14:53:21	2017-03-04 16:26:46	0	0	0	0	9560		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6815/ERR1276815.sralite.1	ERX1348402	Sample 81	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063910	SAMEA3876776	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134706							no					Paris	ERA565262		public	C1554F13FACB60FD0021909B9BF09432	E9F91CF41F645DA61A1DAC5FA597D142
ERR1276820	2017-03-03 14:53:21	2017-03-04 00:47:15	0	0	0	0	5269		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6820/ERR1276820.sralite.1	ERX1348407	Sample 86	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063915	SAMEA3876781	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134711							no					Paris	ERA565262		public	975BFEACB0CB3DC5B1F2451B8C850CAA	3A64B57B160BA36361D0D15E4B6FC6DC
ERR1276812	2017-03-03 14:53:21	2017-03-04 06:16:33	0	0	0	0	12881		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR127/6812/ERR1276812.sralite.1	ERX1348399	Sample 79	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	450	60	ILLUMINA	Illumina HiSeq 2000	ERP014288	PRJEB12781		341619	ERS1063907	SAMEA3876773	simple	46244	Drosophila pseudoobscura bogotana	SAMEA104134719							no					Paris	ERA565262		public	45D91D0040E4BCC157C96E6E901DD509	56FA60E9271FBD638D98397D7F0FB092
