Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6968140	2019-08-26 10:02:16	2018-04-09 15:10:04	13897118	1389711800	13897118	100	876	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/968/SRR6968140.sralite.1	SRX3909998		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP139084	PRJNA449374	3	449374	SRS3145654	SAMN08899854	simple	129105	Drosophila santomea	GSM3090018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA685233	NA	public	9D148DD0952728B762F0DE4A04EF3571	DC70EACFEEBA55F2E33F8C9C83EAC208
SRR6968142	2019-08-26 10:02:16	2018-04-09 15:11:30	17557310	1755731000	17557310	100	1107	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/968/SRR6968142.sralite.1	SRX3910000		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP139084	PRJNA449374	3	449374	SRS3145657	SAMN08899852	simple	129105	Drosophila santomea	GSM3090020	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA685233	NA	public	D5FDBB01B0922A2EB9041F1ADC2D8171	2E4E2CA033E2F8E976FB2764BA33183B
SRR6968141	2019-08-26 10:02:16	2018-04-09 15:10:46	15107077	1510707700	15107077	100	954	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/968/SRR6968141.sralite.1	SRX3909999		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP139084	PRJNA449374	3	449374	SRS3145658	SAMN08899853	simple	129105	Drosophila santomea	GSM3090019	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA685233	NA	public	B458F7FAB6E91D16CD536D71876A3188	88AF13D8209AB198CC8A809F97F0D056
SRR6968143	2019-08-26 10:02:16	2018-04-09 15:11:12	16392378	1639237800	16392378	100	1034	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/968/SRR6968143.sralite.1	SRX3910001		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP139084	PRJNA449374	3	449374	SRS3145659	SAMN08899851	simple	129105	Drosophila santomea	GSM3090021	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA685233	NA	public	114A32009F0953B2C0E2C8B5DE85F461	DB0F1B8E80BEC92054F9499A116831DD
SRR6968144	2019-08-26 10:02:16	2018-04-09 15:10:56	15792241	1579224100	15792241	100	991	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/968/SRR6968144.sralite.1	SRX3910002		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP139084	PRJNA449374	3	449374	SRS3145660	SAMN08899850	simple	129105	Drosophila santomea	GSM3090022	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA685233	NA	public	88C3E5AFC96DD2A9C1DF81102B18CFBE	908FD328A5419E4B6E50297974E78945
SRR6968145	2019-08-26 10:02:16	2018-04-09 15:11:51	17110212	1711021200	17110212	100	1077	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/968/SRR6968145.sralite.1	SRX3910003		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP139084	PRJNA449374	3	449374	SRS3145662	SAMN08899849	simple	129105	Drosophila santomea	GSM3090023	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA685233	NA	public	B2977CABE618694253AEBD0E9361299E	50425BC9CBBEF00233A07DF49860F878
SRR7284684	2019-06-10 01:15:32	2018-06-11 11:37:03	23682613	2404309634	0	101	1512	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/284/SRR7284684.sralite.1	SRX4188215	Sto4_crm_f_rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150106	PRJNA470895	NA	470895	SRS3399583	SAMN09112789	simple	129105	Drosophila santomea	Sto4_crm_f	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF IOWA	SRA717012	NA	public	858E19A6981102C21611CC6078F89FD5	870E48BD9FED95FBA2B123AE68549E0B
SRR7284685	2019-06-10 01:15:32	2018-06-08 21:33:34	68747587	6531020765	0	95	4077	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/284/SRR7284685.sralite.1	SRX4188214	Sto4_crm_f_rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150106	PRJNA470895	NA	470895	SRS3399583	SAMN09112789	simple	129105	Drosophila santomea	Sto4_crm_f	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF IOWA	SRA717012	NA	public	F32EF030CE1EBE6D3758C592A2AC7BAE	172A4F867D9AFB0D5D2B27F037B7C724
SRR7284670	2019-06-10 01:15:33	2018-06-11 12:23:49	36344385	3817112680	0	105	2252	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/284/SRR7284670.sralite.1	SRX4188229	Sto4_f_rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150106	PRJNA470895	NA	470895	SRS3399590	SAMN09112787	simple	129105	Drosophila santomea	Sto4_f	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF IOWA	SRA717012	NA	public	8939833BAA9994C80A5F370C24F8C069	0D10415D925C22985863761356F653D7
SRR7284671	2019-06-10 01:15:33	2018-06-11 18:24:32	128750842	12092587824	0	93	8283	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/284/SRR7284671.sralite.1	SRX4188228	Sto4_f_rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP150106	PRJNA470895	NA	470895	SRS3399590	SAMN09112787	simple	129105	Drosophila santomea	Sto4_f	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF IOWA	SRA717012	NA	public	86B2BB0E17A1862CD0F03441EB72FC90	FB89FAF4EE8713CA7C7DCB75337E7FF7
