Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR129536	2019-08-10 14:38:08	2019-08-10 14:26:51	23125665	1747045578	0	75	619	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/129/DRR129536.sralite.1	DRX122274	Larval muscles of Drosophila sechellia on the P diet, replicate 1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105309	SAMD00117524	simple	7238	Drosophila sechellia	SAMD00117524	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	0E298BFF562AB9D90B5814843469227E	FDE16C854487357D0CE01FFAEE71066B
DRR129537	2019-08-10 14:38:08	2019-08-10 14:21:08	27146921	2052102082	0	75	727	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/129/DRR129537/DRR129537.sralite.1	DRX122275	Larval muscles of Drosophila sechellia on the M diet, replicate 2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105310	SAMD00117525	simple	7238	Drosophila sechellia	SAMD00117525	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	E99AAC45D39E48C12B89A44E0AEAE03D	D7249EA8E13136B236469CCA6A27A809
DRR129538	2019-08-10 14:38:08	2019-08-10 14:23:36	27620259	2087604492	0	75	740	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/129/DRR129538.sralite.1	DRX122276	Larval muscles of Drosophila sechellia on the P diet, replicate 2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105311	SAMD00117526	simple	7238	Drosophila sechellia	SAMD00117526	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	C870FBFE484FFC8CBC08E5642D3AD11F	8A31E1684E450761972E108E279E5C28
DRR129539	2019-08-10 14:38:08	2019-08-10 14:26:31	25748144	1946220716	0	75	694	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/129/DRR129539.sralite.1	DRX122277	Larval muscles of Drosophila sechellia on the M diet, replicate 3	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105312	SAMD00117527	simple	7238	Drosophila sechellia	SAMD00117527	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	F166C57518BC5D478238CB236B4474CE	5C5E7C090E658AEB28A693E856D681E1
DRR129540	2019-08-10 14:38:08	2019-08-10 14:21:53	25602703	1934842618	0	75	691	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/129/DRR129540.sralite.1	DRX122278	Larval muscles of Drosophila sechellia on the P diet, replicate 3	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105313	SAMD00117528	simple	7238	Drosophila sechellia	SAMD00117528	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	565A83AD0F1EC47B204477897FE7A936	FEBC9CE95F067C8DDE5B57A2A49B8928
DRR129541	2019-08-10 14:38:08	2019-08-10 14:27:21	26099517	1972702779	0	75	710	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/129/DRR129541/DRR129541.sralite.1	DRX122279	Larval muscles of Drosophila sechellia on the M diet, replicate 4	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105314	SAMD00117529	simple	7238	Drosophila sechellia	SAMD00117529	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	A14C57033185010591C461E250AE7E6C	881919746DBCBEB8A442F0B304B9E24C
DRR129542	2019-08-10 14:38:08	2019-08-10 14:23:53	24892822	1881209317	0	75	686	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/129/DRR129542.sralite.1	DRX122280	Larval muscles of Drosophila sechellia on the P diet, replicate 4	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105315	SAMD00117530	simple	7238	Drosophila sechellia	SAMD00117530	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	KYOTO-GB	DRA006831	NA	public	C8E14889C488EB4D3052B8A79578CAD1	F0B29DE7C6DDBE886953C048D776BE40
DRR164928	2019-08-10 14:38:09	2019-08-10 14:27:56	23413274	1770211014	0	75	664	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/164/DRR164928/DRR164928.sralite.1	DRX155547	Whole larval bodies of Drosophila sechellia at the first-instar stage on the C diet, replicate 1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105224	SAMD00156522	simple	7238	Drosophila sechellia	SAMD00156522	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	KYOTO-GB	DRA007810	NA	public	40A58DADC9655D7FB553658E2D318D23	A3A4921AD13CAF06669E3BD7F45759B1
DRR164929	2019-08-10 14:38:09	2019-08-10 14:27:59	25390648	1919636968	0	75	719	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/164/DRR164929.sralite.1	DRX155548	Whole larval bodies of Drosophila sechellia at the first-instar stage on the P diet, replicate 1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105225	SAMD00156523	simple	7238	Drosophila sechellia	SAMD00156523	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	KYOTO-GB	DRA007810	NA	public	096922242AC544140B7D7C960324865F	F03523E7E336E96112F7A5BAB275C6FA
DRR164930	2019-08-10 14:38:09	2019-08-10 14:28:53	23658024	1788710027	0	75	665	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/164/DRR164930.sralite.1	DRX155549	Whole larval bodies of Drosophila sechellia at the first-instar stage on the C diet, replicate 2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP005352	PRJDB4481	NA	559705	DRS105226	SAMD00156524	simple	7238	Drosophila sechellia	SAMD00156524	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	KYOTO-GB	DRA007810	NA	public	8E2610FD0311E5BE873EC06CF8D4FF0B	6230B8A8C324ABE0C38B1B0BCCD4CA11
