Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR796577	2013-03-26 00:00:00	2013-03-25 00:29:23	14681083	528518988	0	36	444	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/796/SRR796577/SRR796577.sralite.1	SRX254876	Cooktown_42_RNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP019965	PRJNA193659	2	193659	SRS403950	SAMN01986127	simple	7274	Drosophila serrata	Dserrata_CTN42_RNASeq1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERISTY OF QUEENSLAND	SRA070539	NA	public	F0ED1ED6B3A621DB098CAF6D8E9677C5	E38355A8048CA90DA8487CA6FD88F38B
SRR796578	2013-03-26 00:00:00	2013-03-25 01:17:16	3957238	142460568	0	36	130	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/796/SRR796578/SRR796578.sralite.1	SRX254877	Forster_4_RNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP019965	PRJNA193659	2	193659	SRS403951	SAMN01986129	simple	7274	Drosophila serrata	Dserrata_FORS4_RNASeq	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERISTY OF QUEENSLAND	SRA070539	NA	public	B043258C9B50EF0EB58EAFC179FBD178	9F2BF768DD1C4507D62850A97147D7F9
SRR5481716	2017-04-25 23:45:11	2017-04-25 22:06:24	20506678	3092364821	20506678	150	1514	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481716.sralite.1	SRX2765142	F1_S2_L004	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149361	SAMN06832508	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_female	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	CD8A19E0A86C048070E13DC5DF4C2D43	66D104C90F9A417DD7FE3BA392C15D3F
SRR5481717	2017-04-25 23:46:11	2017-04-25 22:06:03	20790731	3135130373	20790731	150	1528	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481717.sralite.1	SRX2765143	F1_S2_L003	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149361	SAMN06832508	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_female	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	2A6C4644451B8C8BA96C7F1E6008A0A5	8BF7E901A1E64AE29456F8D75E1CCFA8
SRR5481718	2017-04-25 23:39:10	2017-04-25 22:05:39	18929173	2854227573	18929173	150	1421	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481718.sralite.1	SRX2765144	F1_S2_L002	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149361	SAMN06832508	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_female	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	020A82FAC86F6F5529D1A7ACE7A68FBE	2957A16378EC03A1879C5A8F7E8891FE
SRR5481719	2017-04-25 23:49:10	2017-04-25 22:07:17	19510478	2942195259	19510478	150	1469	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481719.sralite.1	SRX2765145	F1_S2_L001	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149361	SAMN06832508	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_female	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	6023E4A09BE3101AE45F97BF4D933B28	44F24D96396DEBAB15A6D8000282C4F6
SRR5481720	2017-04-25 23:50:10	2017-04-25 22:07:03	22575934	3403620020	22575934	150	1672	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481720.sralite.1	SRX2765146	M1_S1_L004	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149362	SAMN06832507	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_male	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	1971CD24165265797451AC6018A89941	AEAC9014DE53991118E85980BC9734D3
SRR5481721	2017-04-26 00:01:38	2017-04-25 22:07:24	22969082	3462762431	22969082	150	1694	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481721.sralite.1	SRX2765147	M1_S1_L003	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149362	SAMN06832507	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_male	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	B0EE2D5BA8D19562C684EFBD208C3ED9	69A6C594084D5C61B9ADE12E7A4EE8FB
SRR5481722	2017-04-25 23:51:11	2017-04-25 22:06:28	21065504	3175665560	21065504	150	1586	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481722.sralite.1	SRX2765148	M1_S1_L002	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149362	SAMN06832507	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_male	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	63DE9C9550C9A719A8DB8EF21F42AB18	E87C65D9EAED7F5E25C9CFEDD6F9AB5D
SRR5481723	2017-04-25 23:52:11	2017-04-25 22:09:06	21744079	3278335476	21744079	150	1642	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/481/SRR5481723.sralite.1	SRX2765149	M1_S1_L001	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP096263	PRJNA355616	2	355616	SRS2149362	SAMN06832507	simple	7274	Drosophila serrata	Dser_PacBio_PBDagCon_MHAP_sensitive_1.0_RNAseq_male	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA557091	NA	public	6B2443C0A45B4596616F605D5C15A7C5	6FAE83B0E0BC8DF0C272770863687362
