Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12576672	2020-09-03 10:23:48	2020-09-02 21:03:40	16812919	5043875700	16812919	300	1915	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576672/SRR12576672	SRX9063539	A16-MB-sub-male_rep1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312741	SAMN15970972	simple	1486046	Drosophila subpulchrella	A16-MB-sub-male_1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	60AFF2F846E7E12937F80E01F365F7BA	40952D537CC88241F03AFE45DB4D1B5E
SRR12576671	2020-09-03 10:23:48	2020-09-02 21:11:42	21140872	6342261600	21140872	300	2404	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576671/SRR12576671	SRX9063540	A17-MB-sub-male_rep2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312742	SAMN15970973	simple	1486046	Drosophila subpulchrella	A17-MB-sub-male_1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	16F6FCCD83FEC9ACA439AC07D0C95035	30EB3BC48D5E5D938D0A998BABA4E72A
SRR12576670	2020-09-03 10:23:48	2020-09-02 21:08:17	20879572	6263871600	20879572	300	2369	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576670/SRR12576670	SRX9063541	A18-MB-sub-male_rep3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312743	SAMN15970974	simple	1486046	Drosophila subpulchrella	A18-MB-sub-male_1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	9B8EA822DCAF279A3D4E17AAD42C381C	48FEEB0E12E64F84D039B99D2257BE68
SRR12576669	2020-09-03 10:23:48	2020-09-02 21:05:16	19210056	5763016800	19210056	300	2249	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576669/SRR12576669	SRX9063542	A19-FB-sub-female_rep1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312744	SAMN15970975	simple	1486046	Drosophila subpulchrella	A19-FB-sub-female_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	8E3CC73E081FCD1828915C07AEAC6DEE	345AA4EEB5243B5A89212ADDA701E580
SRR12576668	2020-09-03 10:23:48	2020-09-02 21:04:28	17813725	5344117500	17813725	300	2028	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576668/SRR12576668	SRX9063543	A20-FB-sub-female_rep2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312745	SAMN15970976	simple	1486046	Drosophila subpulchrella	A20-FB-sub-female_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	827AA03A74D92067998E8AD240D134F2	4556C2A5CD0C68FA0CF346E4D6EF2C21
SRR12576667	2020-09-03 10:23:48	2020-09-02 21:02:38	16612950	4983885000	16612950	300	1884	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576667/SRR12576667	SRX9063544	A21-FB-sub-female_rep3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312746	SAMN15970977	simple	1486046	Drosophila subpulchrella	A21-FB-sub-female_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	AAFDB8D070F7F74318D284EE9DDD30F2	C59D0275ACE375100A9D76A45DB21830
SRR12576666	2020-09-03 10:23:48	2020-09-02 21:08:46	21004590	6301377000	21004590	300	2371	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576666/SRR12576666	SRX9063545	A22-FH-sub-head_rep1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312747	SAMN15970978	simple	1486046	Drosophila subpulchrella	A22-FH-sub-head_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	3CDE3D56CF5323AA80C52A77F131B201	7C7D444EFF50F936D50E7EDB93C1537E
SRR12576665	2020-09-03 10:23:48	2020-09-02 21:07:17	19683147	5904944100	19683147	300	2221	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576665/SRR12576665	SRX9063546	A23-FH-sub-head_rep2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312748	SAMN15970979	simple	1486046	Drosophila subpulchrella	A23-FH-sub-head_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	E2220FD6DA555748B7A0F1E25FBC2D24	460FD29ABF53D3F8EBB3B5F03FCE6031
SRR12576664	2020-09-03 10:23:48	2020-09-02 21:12:31	25120268	7536080400	25120268	300	2906	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12576664/SRR12576664	SRX9063547	A24-FH-sub-head_rep3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP278081	PRJNA557422	3	557422	SRS7312749	SAMN15970980	simple	1486046	Drosophila subpulchrella	A24-FH-sub-head_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE ROCKEFELLER UNIVERSITY	SRA1120695	NA	public	15DA662EDC580F08196F91395569BC3E	FB5798B8CB3FFF1D9D599B4DFB214847
SRR8705027	2020-03-02 08:40:22	2019-03-10 03:15:08	58076113	11615222600	58076113	200	6882	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/705/SRR8705027.sralite.1	SRX5500540	Dsbp	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188017	PRJNA526247	3	526247	SRS4469636	SAMN11091670	simple	1486046	Drosophila subpulchrella	Drosophila subpulchrella abdominal tip	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FONDAZIONE EDMUND MACH	SRA858147	NA	public	6BCFA55AA92CF8062D1B141F7615AEEE	B5D720D90B4C356321C714611D36313E
