Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2537266	2016-09-23 16:49:07	2015-09-29 19:28:27	39021588	5874106927	39021588	150	2662		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537266.sralite.1	SRX1295824		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094878	SAMN04123147	simple	28584	Drosophila suzukii	GSM1898724							no					GEO	SRA302075		public	BB2D2397C36063A7A386B710689926EA	2A2D9D05DF626A423969CCC125D04380
SRR2537267	2016-09-23 16:49:07	2015-09-29 19:29:21	37607035	5658071553	37607035	150	2559		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537267.sralite.1	SRX1295825		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094877	SAMN04123148	simple	28584	Drosophila suzukii	GSM1898725							no					GEO	SRA302075		public	12F5E8ACDD6868E6E068C75AC14D0BDB	39BC55DF82452DA6314603EF9359EF09
SRR2537268	2016-09-23 16:49:07	2015-09-29 19:28:11	37970042	5718773685	37970042	150	2590		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR253/7268/SRR2537268.sralite.1	SRX1295826		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094875	SAMN04123149	simple	28584	Drosophila suzukii	GSM1898726							no					GEO	SRA302075		public	B17E6267918B6BDEA1E2064644FF0F05	5593E9B1E0D49F47528C86313242D327
SRR2537269	2016-09-23 16:49:07	2015-09-29 19:25:01	29882403	4498319560	29882403	150	2042		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537269.sralite.1	SRX1295827		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094876	SAMN04123150	simple	28584	Drosophila suzukii	GSM1898727							no					GEO	SRA302075		public	C4074769B9D5D825360C2A00889D28A2	138FCB3298D737850651084911078181
SRR2537270	2016-09-23 16:49:07	2015-09-29 19:24:30	28973158	4365560819	28973158	150	1978		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537270.sralite.1	SRX1295828		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094873	SAMN04123151	simple	28584	Drosophila suzukii	GSM1898728							no					GEO	SRA302075		public	90C9F32AF27C094F3CCAE8141C5304C6	36783C1F87C1DC35FAA81CB8A9B7610C
SRR2537271	2016-09-23 16:49:07	2015-09-29 19:27:10	35456359	5342010211	35456359	150	2415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537271.sralite.1	SRX1295829		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094874	SAMN04123152	simple	28584	Drosophila suzukii	GSM1898729							no					GEO	SRA302075		public	BC0ABB6EB6C5A74483A43577A83FE4F1	11B65C92DA7D03300A379D67E8AE2FB2
SRR2537272	2016-09-23 16:49:07	2015-09-29 19:33:17	42088876	6331140153	42088876	150	3088		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537272.sralite.1	SRX1295830		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094867	SAMN04123130	simple	28584	Drosophila suzukii	GSM1898730							no					GEO	SRA302075		public	8C3497D61F933CFA898C38C1052DC76F	E2D0F553B63AB0CB6FA5B18F5E77CD07
SRR2537273	2016-09-23 16:49:07	2015-09-29 19:30:31	35279085	5310055000	35279085	150	2616		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537273.sralite.1	SRX1295831		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094866	SAMN04123133	simple	28584	Drosophila suzukii	GSM1898731							no					GEO	SRA302075		public	2DB416D652F74C5238571C03E23B8295	036F930AB3829B8A92EF9BE134D394E9
SRR2537274	2016-09-23 16:49:07	2015-09-29 19:34:14	35160360	5295426012	35160360	150	2569		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR253/7274/SRR2537274.sralite.1	SRX1295832		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094865	SAMN04123136	simple	28584	Drosophila suzukii	GSM1898732							no					GEO	SRA302075		public	801232E1D3B51F27D4EDD0B071A22351	44C46DA5ADD5B424FF64FE0DA00073B1
SRR2537275	2016-09-23 16:49:07	2015-09-29 19:33:23	34806179	5243266855	34806179	150	2554		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537275.sralite.1	SRX1295833		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094864	SAMN04123138	simple	28584	Drosophila suzukii	GSM1898733							no					GEO	SRA302075		public	8F7C2B4C70153E8C7EAA4CB67352F664	0003F73FAF01C415BE04A958DB33D191
SRR2537276	2016-09-23 16:49:07	2015-09-29 19:30:29	36896819	5559692556	36896819	150	2690		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537276.sralite.1	SRX1295834		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094863	SAMN04123140	simple	28584	Drosophila suzukii	GSM1898734							no					GEO	SRA302075		public	B72D3B766139545F2357FCB4ED5A00C3	30CF09C4C3B9F2E9715F26AEBF7485C4
SRR2537277	2016-09-23 16:49:07	2015-09-29 19:28:34	29214865	4402113783	29214865	150	2182		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537277.sralite.1	SRX1295835		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094798	SAMN04123129	simple	28584	Drosophila suzukii	GSM1898735							no					GEO	SRA302075		public	7D4A5B0E1A74C5E88E57B6DCD2C15D71	860F0ADBFFCA2C846CC63741D34B5C1B
SRR2537278	2016-09-23 16:49:07	2015-09-29 19:31:50	37967937	5717021476	37967937	150	2783		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537278.sralite.1	SRX1295836		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094862	SAMN04123134	simple	28584	Drosophila suzukii	GSM1898736							no					GEO	SRA302075		public	12041D6132717A1A48C6725D1444E3D2	2DF029B42A5B451635C979745CF487D9
SRR2537279	2016-09-23 16:49:07	2015-09-29 19:32:25	36194057	5444606465	36194057	150	2658		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537279.sralite.1	SRX1295837		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094861	SAMN04123135	simple	28584	Drosophila suzukii	GSM1898737							no					GEO	SRA302075		public	12A7265E3854DAD64EB29E8F810D9BBE	8FFF940D8C436705B8135849E4677328
SRR2537280	2016-09-23 16:49:07	2015-09-29 19:31:02	36874465	5548093826	36874465	150	2708		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/537/SRR2537280.sralite.1	SRX1295838		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP064328	PRJNA297377	2	297377	SRS1094860	SAMN04123131	simple	28584	Drosophila suzukii	GSM1898738							no					GEO	SRA302075		public	4FF6B0EE72DF9CF86FBC5E7F42995DAC	6DB791C82E8686F44C65C42062E7757D
