Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5639438	2017-06-05 16:04:11	2017-06-01 14:47:57	5401780	410535280	0	76	263	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/639/SRR5639438.sralite.1	SRX2877838		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249612	SAMN07188555	simple	7244	Drosophila virilis	GSM2647129	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	8963F0C601F848250D83A18C403C9936	15AB502215B5B6E0CFC4A11FC2C1DC31
SRR7243359	2018-05-31 14:14:24	2018-05-31 14:08:47	5324858	404689208	0	76	259	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/243/SRR7243359.sralite.1	SRX2877838		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249612	SAMN07188555	simple	7244	Drosophila virilis	GSM2647129	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	1F914CDF58F331CFAB0C357EC668183E	1069F8898C6AE05A71C0ECF05A97154A
SRR5639441	2017-06-05 16:04:11	2017-06-01 14:47:38	3163468	240423568	0	76	155	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/639/SRR5639441.sralite.1	SRX2877841		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249614	SAMN07188552	simple	7244	Drosophila virilis	GSM2647132	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	F5FDD032514A72125C2ABFC08C4494D4	B6E7AD90BBC60206021D99F39F784BF6
SRR7243362	2018-05-31 14:10:13	2018-05-31 14:06:59	4740646	360289096	0	76	244	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/243/SRR7243362.sralite.1	SRX2877841		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249614	SAMN07188552	simple	7244	Drosophila virilis	GSM2647132	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	3C3BAA5BEC49BE5394533895F5473212	7BC885989A840BBF3044E6B3F5624052
SRR5639443	2017-06-05 16:04:11	2017-06-01 14:48:06	7932728	602887328	0	76	392	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/639/SRR5639443.sralite.1	SRX2877843		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249615	SAMN07188550	simple	7244	Drosophila virilis	GSM2647134	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	C796363DA53B405E70F764890AD0E9FC	A9E8197FE250E6B453165ADFC06AE6A5
SRR7243364	2018-05-31 14:17:48	2018-05-31 14:08:45	13696446	1040929896	0	76	700	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/243/SRR7243364.sralite.1	SRX2877843		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249615	SAMN07188550	simple	7244	Drosophila virilis	GSM2647134	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	95A38E92A5E274980B7777653A93A100	078A5C69FDA0019BCA8DB9F036402CA0
SRR5639439	2017-06-05 16:04:11	2017-06-01 14:48:06	7777363	591079588	0	76	380	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/639/SRR5639439.sralite.1	SRX2877839		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249616	SAMN07188554	simple	7244	Drosophila virilis	GSM2647130	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	4D1301CFE2D83727117BE148B020B3DA	D98EEAEA48C43DFA3AE56C1BAFECAFF2
SRR7243360	2018-05-31 14:17:48	2018-05-31 14:08:47	7680721	583734796	0	76	375	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/243/SRR7243360.sralite.1	SRX2877839		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249616	SAMN07188554	simple	7244	Drosophila virilis	GSM2647130	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	6AD3483239DED642EEC4652AC753A0DD	FFECA4363EDE59ED0DC12683CC752555
SRR5639440	2017-06-05 16:04:11	2017-06-01 14:47:45	5561268	422656368	0	76	271	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/639/SRR5639440.sralite.1	SRX2877840		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249617	SAMN07188553	simple	7244	Drosophila virilis	GSM2647131	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	4A892403F84E79B32C732D31D7D07425	6DCBC6328B7E7CDA74D08E34427E2DB7
SRR7243361	2018-05-31 14:12:13	2018-05-31 14:08:51	5466108	415424208	0	76	266	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/243/SRR7243361.sralite.1	SRX2877840		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP108530	PRJNA388952	3	388952	SRS2249617	SAMN07188553	simple	7244	Drosophila virilis	GSM2647131	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA569348	NA	public	1DDCB879B704DE28713EC3CB9C290535	49DDE172845F41F37773E7CF926A3A6B
