Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6040094	2017-09-14 23:36:10	2017-09-14 23:11:45	60573457	12235838314	60573457	202	7740	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/040/SRR6040094.sralite.1	SRX3188224	WTS_D1_MSK_ARIL2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2515723	SAMN07652559	simple	66656	Durio zibethinus	D1_MSK_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA608522	NA	public	FD0FE8A471E411FF7D934C49DB403B04	32EFCB036C3BB1ADCEDA7F62800CE7A3
SRR6040095	2017-09-14 23:09:11	2017-09-14 22:53:01	60158528	12152022656	60158528	202	7686	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/040/SRR6040095.sralite.1	SRX3188223	WTS_D1_MSK_ARIL1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2515723	SAMN07652559	simple	66656	Durio zibethinus	D1_MSK_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA608522	NA	public	3AE1AA5BD9ECF3BBDEC5CDEC97E3ECFE	E792E7F9AD9311FE7BBC1950C456BCAA
SRR6040097	2017-09-14 23:12:11	2017-09-14 23:02:48	45211234	9132669268	45211234	202	4690	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/040/SRR6040097.sralite.1	SRX3188221	WTS_D1_MSK_ARIL3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2515723	SAMN07652559	simple	66656	Durio zibethinus	D1_MSK_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA608522	NA	public	6C92B7A6273617013F141F2576C566B0	03D1C4336C9BECA9212B85AF740A64A7
SRR6040092	2017-09-14 23:12:11	2017-09-14 22:53:44	61234651	12369399502	61234651	202	7640	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/040/SRR6040092.sralite.1	SRX3188226	WTS_D1_MSK_LEAF	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2515726	SAMN07652562	simple	66656	Durio zibethinus	D1_MSK_LEAF	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA608522	NA	public	BFF8D1CC831E72272F1CC5C3EF507E58	A2803BCD412EF531FC8DF586608F4CC6
SRR6040093	2017-09-14 23:35:55	2017-09-14 23:02:09	59330627	11984786654	59330627	202	7565	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/040/SRR6040093.sralite.1	SRX3188225	WTS_D1_MSK_ROOT	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2515725	SAMN07652561	simple	66656	Durio zibethinus	D1_MSK_ROOT	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA608522	NA	public	72CD10431A8BACD2464B9D7C015849F2	D32EC522867000B28777BFAACD8AC70A
SRR6040096	2017-09-14 23:16:11	2017-09-14 22:59:37	60733095	12268085190	60733095	202	7684	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/040/SRR6040096.sralite.1	SRX3188222	WTS_D1_MSK_STEM	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2515724	SAMN07652560	simple	66656	Durio zibethinus	D1_MSK_STEM	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA608522	NA	public	C7CA91469AC38AF44BC3FE331434503F	3C979318EF2E312CB6C52B9E218EF80C
SRR6156069	2017-10-11 00:56:11	2017-10-11 00:49:09	48508379	12224111508	48508379	252	5836	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/156/SRR6156069.sralite.1	SRX3267902	WTS_MT_ARIL1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2580069	SAMN07768278	simple	66656	Durio zibethinus	MT_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA618430	NA	public	6E0AF521C2B69E6CF628F9DF898A02F2	1DBCBD81C0026052D4495916AD065F4F
SRR6156066	2017-10-10 23:54:12	2017-10-10 23:44:33	46333806	11676119112	46333806	252	4714	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/156/SRR6156066.sralite.1	SRX3267905	WTS_MT_ARIL2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2580069	SAMN07768278	simple	66656	Durio zibethinus	MT_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA618430	NA	public	D21B699A8317B4D5833B2516DF434B48	760CE1227BA30B7B77C3A2E9F3BDB3BD
SRR6156067	2017-10-10 23:33:11	2017-10-10 23:27:34	34675799	7004511398	34675799	202	3367	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/156/SRR6156067.sralite.1	SRX3267904	WTS_MT_ARIL3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2580069	SAMN07768278	simple	66656	Durio zibethinus	MT_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA618430	NA	public	4152CE642FFDF271AC7E389F64DC0C0E	4C80A4F3AB2960AA158CC873C6A2992C
SRR6156068	2017-10-10 23:33:11	2017-10-10 23:29:48	31755656	6414642512	31755656	202	3205	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/156/SRR6156068.sralite.1	SRX3267903	WTS_PM_ARIL3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2580068	SAMN07768277	simple	66656	Durio zibethinus	PM_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA618430	NA	public	92037F53CEBAA98378A68BF22E4D4756	7CF116C53A06282FE5256147A87294F1
SRR6156070	2017-10-10 23:33:11	2017-10-10 23:28:24	28951995	5848302990	28951995	202	2889	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/156/SRR6156070.sralite.1	SRX3267901	WTS_PM_ARIL1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2580068	SAMN07768277	simple	66656	Durio zibethinus	PM_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA618430	NA	public	86B689557BAE7632C90B9F4652248EBA	F910BFDF358CEB6F67B934549A252FE1
SRR6156071	2017-10-11 00:23:12	2017-10-10 23:55:36	49266831	9951899862	49266831	202	6700	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/156/SRR6156071.sralite.1	SRX3267900	WTS_PM_ARIL2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP117650	PRJNA400310	2	400310	SRS2580068	SAMN07768277	simple	66656	Durio zibethinus	PM_ARIL	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	THORN BIOSYSTEMS	SRA618430	NA	public	C440F47E100F395AC11BFC43C79F415F	C02F6A3B1D909173D52DF8345FE3B79A
