Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR11318469	2021-04-01 00:07:12	2020-03-17 12:25:59	27921812	6718663600	27921812	240	4266		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11318/SRR11318469/SRR11318469.lite.1	SRX7922812	Neg_14d_mRNA	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP253031	PRJNA610943	NA	610943	SRS6328263	SAMN14329445	simple	6210	Echinococcus granulosus	PSC_culture	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI SKIN DISEASE HOSPITAL	SRA1055736	NA	public	B19605E4EE21C47BA40C348251EAF994	7102B202F259A17DB8EC9AC3BE8BF770
SRR11318470	2021-04-01 00:07:12	2020-03-17 14:51:21	30142693	6028538600	30142693	200	4310		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/318/SRR11318470/SRR11318470.lite.1	SRX7922811	Neg_7d_mRNA	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP253031	PRJNA610943	NA	610943	SRS6328263	SAMN14329445	simple	6210	Echinococcus granulosus	PSC_culture	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI SKIN DISEASE HOSPITAL	SRA1055736	NA	public	9C31AFB58B67C2E9031C13A5717F213C	6207FE0B3862C8AF1530404A88ACCD0D
SRR11318471	2021-04-01 00:07:12	2020-03-24 18:00:25	31888702	6377740300	31888701	199	4648		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11318/SRR11318471/SRR11318471.lite.1	SRX7922810	Neg_24h_mRNA	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP253031	PRJNA610943	NA	610943	SRS6328263	SAMN14329445	simple	6210	Echinococcus granulosus	PSC_culture	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI SKIN DISEASE HOSPITAL	SRA1055736	NA	public	1CFF5DE81339CA950850F518093DCFEB	392DAC21DA16FA17C8114F101CD5C3CC
SRR11318472	2021-04-01 00:07:12	2020-03-24 23:27:15	21535525	4285569475	21535525	199	2867		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11318/SRR11318472/SRR11318472.lite.1	SRX7922809	Plus_14d_mRNA	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP253031	PRJNA610943	NA	610943	SRS6328263	SAMN14329445	simple	6210	Echinococcus granulosus	PSC_culture	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI SKIN DISEASE HOSPITAL	SRA1055736	NA	public	4E9010E39FC3C53F81CAF74FF9A1477D	D0C58575416DDD43F72DD369532C55D5
SRR11318473	2021-04-01 00:07:12	2020-03-17 17:21:48	24499878	5876733909	24499878	239	3950		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/318/SRR11318473/SRR11318473.lite.1	SRX7922808	Plus_7d_mRNA	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP253031	PRJNA610943	NA	610943	SRS6328263	SAMN14329445	simple	6210	Echinococcus granulosus	PSC_culture	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI SKIN DISEASE HOSPITAL	SRA1055736	NA	public	D2159A06C74D884F7BA73BB643CC6E24	B1CA204C043BD0FEB2C560861876CE35
SRR11318478	2021-04-01 00:07:12	2020-03-17 20:19:28	27926022	6912580176	27926022	247	4308		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/318/SRR11318478/SRR11318478.lite.1	SRX7922803	Plus_24h_mRNA	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP253031	PRJNA610943	NA	610943	SRS6328263	SAMN14329445	simple	6210	Echinococcus granulosus	PSC_culture	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI SKIN DISEASE HOSPITAL	SRA1055736	NA	public	2107F994E3AF38CEAABF057FAA135751	DCD3EBA18DB6278C135643183FFDC0FC
SRR11318479	2021-04-01 00:07:12	2020-03-24 17:33:32	28528362	5705672300	28528361	199	4325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/318/SRR11318479/SRR11318479.lite.1	SRX7922802	Plus_0h_mRNA	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP253031	PRJNA610943	NA	610943	SRS6328263	SAMN14329445	simple	6210	Echinococcus granulosus	PSC_culture	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI SKIN DISEASE HOSPITAL	SRA1055736	NA	public	8C8E0F4183F235DD59F8F043581BE8C4	D27981E67A4194710603E6B17DC7B450
SRR14783930	2021-06-11 01:48:20	2021-06-11 01:23:42	35386739	7148121278	35386739	202	2663		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14783/SRR14783930/SRR14783930.lite.1	SRX11117222	H1_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP323668	PRJNA736768	NA	736768	SRS9181069	SAMN19663862	simple	6210	Echinococcus granulosus	Li01	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSIDAD ANDRES BELLO	SRA1243573	NA	public	888F70C07E7EB1F3D4AB2D881FDDD8EA	BADC19C75358EEDE929A0A851D0C612E
SRR14783929	2021-06-11 01:48:20	2021-06-11 01:22:24	28792587	5816102574	28792587	202	2180		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14783/SRR14783929/SRR14783929.lite.1	SRX11117223	H1_2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP323668	PRJNA736768	NA	736768	SRS9181070	SAMN19663863	simple	6210	Echinococcus granulosus	Li02	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSIDAD ANDRES BELLO	SRA1243573	NA	public	0C66BBCF62F8664A97728801E8B7677A	ADD017353AF34A251622B4A5E0F0A35B
SRR14783926	2021-06-11 01:48:20	2021-06-11 01:17:01	31868522	6437441444	31868522	202	2444		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14783/SRR14783926/SRR14783926.lite.1	SRX11117226	H1_4	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP323668	PRJNA736768	NA	736768	SRS9181073	SAMN19663864	simple	6210	Echinococcus granulosus	Li03	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSIDAD ANDRES BELLO	SRA1243573	NA	public	AD5BA6170CAA950B9D22A035F69E6093	FC4EACE96BE1F464F1B23E78CCC4D2EF
