Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1299085	2014-06-27 12:38:09	2014-05-27 10:41:33	110142469	11124389369	0	101	7468	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/299/SRR1299085.sralite.1	SRX553120		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620427	SAMN02799588	simple	8005	Electrophorus electricus	Eelectricus_RNA_HuntersEO	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	66ED9DB4DA8B46B054807FCB17EBFB3B	B49E303D518C65B414D38BE07CE602FC
SRR1299084	2014-06-27 12:38:09	2014-05-27 10:44:52	116426272	11759053472	0	101	8196	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR129/9084/SRR1299084.sralite.1	SRX553119		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620426	SAMN02799587	simple	8005	Electrophorus electricus	Eelectricus_RNA_SachsEO	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	D098C7D924EFA1F963409BF737BD5D5A	C8760A8C6C8B82F39AA14D1037831D6C
SRR1299078	2014-06-27 12:38:09	2014-05-27 10:39:37	108433089	10951741989	0	101	7354	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/299/SRR1299078.sralite.1	SRX553093		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620410	SAMN02799582	simple	8005	Electrophorus electricus	Eelectricus_RNA_brain	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	C514EF896C99ECD41C5BE2EB5DC1C6F4	86A171A66C0D55B62542D1B6BEE4CA73
SRR1299081	2014-06-27 12:38:09	2014-05-27 10:38:14	116081594	11724240994	0	101	8199	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/299/SRR1299081.sralite.1	SRX553116		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620423	SAMN02799584	simple	8005	Electrophorus electricus	Eelectricus_RNA_heart	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	7C107CB3486D476003B40F7BB1CAD82E	F8940C4A2A049368B400520A9FB22CD8
SRR1299086	2014-06-27 12:38:09	2014-05-27 14:21:08	154133686	31135004572	154133686	202	19905	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/299/SRR1299086.sralite.1	SRX553122		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620428	SAMN02799589	simple	8005	Electrophorus electricus	Eelectricus_RNA_kidney	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	37F5559DF8D81F46A41F862A6E70A8FF	63795A2CACD50DDD7D98978BF5569FC8
SRR1299083	2014-06-27 12:38:09	2014-05-27 11:03:29	118795559	11998351459	0	101	8271	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR129/9083/SRR1299083.sralite.1	SRX553118		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620425	SAMN02799586	simple	8005	Electrophorus electricus	Eelectricus_RNA_mainEO	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	661D5D9CC1A24F24833A9015B27C1269	97B873C4538612F93CF07DE115667046
SRR1299082	2014-06-27 12:38:09	2014-05-27 10:45:33	113766333	11490399633	0	101	7822	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/299/SRR1299082.sralite.1	SRX553117		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620424	SAMN02799585	simple	8005	Electrophorus electricus	Eelectricus_RNA_skeletalmuscle	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	A6DBF0CFA4F06756DE7723F7BE89A3B0	1E0C1E61E61FF0B32EC63104CD295C54
SRR1299080	2014-06-27 12:38:09	2014-05-27 10:42:59	114932446	11608177046	0	101	7898	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR129/9080/SRR1299080.sralite.1	SRX553115		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP042260	PRJNA248545	NA	248545	SRS620422	SAMN02799583	simple	8005	Electrophorus electricus	Eelectricus_RNA_spinalcord	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA166953	NA	public	794C00DE461D39DBB8DBDF771CAC873D	C139F417192254CD6CC5155D7020B3D9
SRR1342390	2015-07-22 17:11:46	2015-11-29 16:14:54	7636814	1130248472	7636814	148	629	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/342/SRR1342390.sralite.1	SRX573188		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP042260	PRJNA248545	NA	248545	SRS628145	SAMN02839580	simple	8005	Electrophorus electricus	Eelectricus_main_GAIIX	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA167226	NA	public	A1EB1598FB20717636CF6AA707A0525C	5CD7F6848A7B050AF271810A9BF07079
SRR1342359	2015-07-22 17:11:49	2015-11-29 10:52:28	7765852	1149346096	7765852	148	656	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/342/SRR1342359.sralite.1	SRX573148		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP042260	PRJNA248545	NA	248545	SRS628105	SAMN02839579	simple	8005	Electrophorus electricus	Eelectricus_muscle_GAIIX	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA167226	NA	public	BC8DCC3A2BAFBC0F2F7A5DAE633624FD	151A8D2BA9C8A3EB8093C9C5911D88CE
SRR1342453	2015-07-22 17:11:49	2015-11-29 16:16:56	7476730	1106556040	7476730	148	635	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/342/SRR1342453.sralite.1	SRX573189		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP042260	PRJNA248545	NA	248545	SRS628146	SAMN02839581	simple	8005	Electrophorus electricus	Eelectricus_weak_GAIIX	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	UNIVERSITY OF WISCONSIN MADISON	SRA167226	NA	public	0B750DE1D0AFD06E2FF006534D95CDF5	D5FA234372A0A51327CB2DF416914646
