Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6391804	2018-11-19 16:49:13	2017-12-19 19:33:38	21597876	6205889917	21597876	287	2740		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391804.sralite.1	SRX3485239		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770963	SAMN08204718	simple	9796	Equus caballus	GSM2894523							no					GEO	SRA640338		public	9056EDCD3806C6175E65A0364BE58FC8	E10A1AC09176A4B6FAA55523B0FC2E30
SRR6391805	2018-11-19 16:49:13	2017-12-19 19:33:59	22495790	6470755699	22495790	287	2869		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391805.sralite.1	SRX3485240		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770964	SAMN08204717	simple	9796	Equus caballus	GSM2894524							no					GEO	SRA640338		public	319AD83CBB4A7A165640A01EEE525CAF	CF202D3A185087BDD237BF4E8A04579F
SRR6391806	2018-11-19 16:49:13	2017-12-19 19:46:20	22726025	6552224011	22726025	288	2906		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391806.sralite.1	SRX3485241		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770965	SAMN08204716	simple	9796	Equus caballus	GSM2894525							no					GEO	SRA640338		public	DC5F7B84C498C691BCEE428C6B667384	B2F8E4FD41BC063F3F79C60443FD6502
SRR6391807	2018-11-19 16:49:13	2017-12-19 19:41:31	22213496	6416370631	22213496	288	2852		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391807.sralite.1	SRX3485242		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770966	SAMN08204715	simple	9796	Equus caballus	GSM2894526							no					GEO	SRA640338		public	1ACD90CE6476EA229A92CF481C0BD4AA	13DEF52C99FD3EF62B334BB6BB295EF7
SRR6391808	2018-11-19 16:49:13	2017-12-19 19:45:32	19618771	5640791559	19618771	287	2500		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391808.sralite.1	SRX3485243		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770967	SAMN08204714	simple	9796	Equus caballus	GSM2894527							no					GEO	SRA640338		public	FABD001B9498B4785A3421E67A10734F	7063A8794FB4D0D5D5698E19F9A0E672
SRR6391809	2018-11-19 16:49:13	2017-12-19 19:35:38	22354215	6369880352	22354215	284	2831		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391809.sralite.1	SRX3485244		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770968	SAMN08204713	simple	9796	Equus caballus	GSM2894528							no					GEO	SRA640338		public	0DDAEE2DEF36CC37764F8E759E55795A	02EF1B7FAC54B691C86FD527CEE6C0B6
SRR6391810	2018-11-19 16:49:13	2017-12-19 19:44:44	21199711	6098649208	21199711	287	2692		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391810.sralite.1	SRX3485245		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770969	SAMN08204712	simple	9796	Equus caballus	GSM2894529							no					GEO	SRA640338		public	155B8A57C841830D6C26B136481A7CC4	8AC9515AB65A76BC77A1CAE1D769620A
SRR6391811	2018-11-19 16:49:14	2017-12-19 19:50:23	21224751	6157395319	21224751	290	2723		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391811.sralite.1	SRX3485246		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770970	SAMN08204711	simple	9796	Equus caballus	GSM2894530							no					GEO	SRA640338		public	C8484C7263A98F2D54E67E6CED9613B2	57FD33EFA1F0955F6B058039071603A0
SRR6391812	2018-11-19 16:49:14	2017-12-19 19:47:08	23409771	6782185985	23409771	289	2821		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391812.sralite.1	SRX3485247		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770972	SAMN08204710	simple	9796	Equus caballus	GSM2894531							no					GEO	SRA640338		public	CC035B0D9B307DD9E478D80855809B72	7BD51F811C60350378B5B283F1B88E6E
SRR6391813	2018-11-19 16:49:14	2017-12-19 20:00:13	24415271	6958472794	24415271	285	2875		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391813.sralite.1	SRX3485248		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770971	SAMN08204709	simple	9796	Equus caballus	GSM2894532							no					GEO	SRA640338		public	031CCE17917976AFF523BC3D17D60338	0B186FE2334CA65F0B345365F824C3C5
SRR6391814	2018-11-19 16:49:14	2017-12-19 19:43:11	24363456	6941268175	24363456	284	2873		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391814.sralite.1	SRX3485249		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770973	SAMN08204708	simple	9796	Equus caballus	GSM2894533							no					GEO	SRA640338		public	F4387179D05C533360240DA11940F634	4188447589DC688DD5770EF188820213
SRR6391815	2018-11-19 16:49:14	2017-12-19 19:52:31	23941395	6869878662	23941395	286	2834		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391815.sralite.1	SRX3485250		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770974	SAMN08204707	simple	9796	Equus caballus	GSM2894534							no					GEO	SRA640338		public	0391A51F80A1D3532EFFA0AD819EEF38	08FB23947A8E03CF0E6813448692F1ED
SRR6391816	2018-11-19 16:49:14	2017-12-19 19:37:09	23137067	6640281489	23137067	286	2744		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391816.sralite.1	SRX3485251		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770976	SAMN08204706	simple	9796	Equus caballus	GSM2894535							no					GEO	SRA640338		public	D05E0E689DE9BE242B2E8C2248D54507	5F6F6A58C73C280BBA8533115BF25290
SRR6391817	2018-11-19 16:49:14	2017-12-19 19:37:42	23843271	6866727018	23843271	287	2855		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391817.sralite.1	SRX3485252		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770975	SAMN08204705	simple	9796	Equus caballus	GSM2894536							no					GEO	SRA640338		public	FAF8E4E1BEE969932E79B881EE44B6A5	10278A90DBC7C1D3F932C554416F0C79
SRR6391818	2018-11-19 16:49:14	2017-12-19 19:49:21	23107443	6683830784	23107443	289	2755		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/391/SRR6391818.sralite.1	SRX3485253		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP127170	PRJNA423054	3	423054	SRS2770977	SAMN08204704	simple	9796	Equus caballus	GSM2894537							no					GEO	SRA640338		public	F40AC39A4FC077F16E80FCDBD29C80D9	2082E0F6C7CD6273E18E7619F354744D
