Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12696061	2021-01-01 04:15:44	2020-09-23 06:22:07	24346001	4798656493	24346001	197	1633		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696061/SRR12696061	SRX9175767	aipt47	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413154	SAMN16242758	simple	2652724	Exaiptasia diaphana	T-3h-2							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	C8AE47ACD2D58E955C350441C66B3876	C522F1F514C459BDA43873627EC95696
SRR12696060	2021-01-01 04:15:44	2020-09-23 06:18:34	14481906	2856969444	14481906	197	965		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696060/SRR12696060	SRX9175768	aipt48	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413155	SAMN16242759	simple	2652724	Exaiptasia diaphana	T-3h-3							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	3B64104C9A7A0570FC23462D11E785BA	56D97281BD08EC7BFE1770FE88FB4DA7
SRR12696059	2021-01-01 04:15:44	2020-09-23 06:21:52	19445945	3847788261	19445945	197	1257		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696059/SRR12696059	SRX9175769	aipt50	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413156	SAMN16242760	simple	2652724	Exaiptasia diaphana	Vp-3h-1							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	6004D2BA02144405F46F3126B7971CA0	5E6CFE45F8340FE2BF942399611F2964
SRR12696068	2021-01-01 04:15:44	2020-09-23 06:17:05	11043149	2184394262	11043149	197	712		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696068/SRR12696068	SRX9175760	aipt91	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413147	SAMN16242781	simple	2652724	Exaiptasia diaphana	LPS-12h-1							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	511F3E1F4F52E5755A21BD1AA90F8CBB	A1A198036F59A73E3F87CAF119F322A5
SRR12696066	2021-01-01 04:15:44	2020-09-23 06:17:50	15677255	3095296756	15677255	197	1023		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696066/SRR12696066	SRX9175762	aipt92	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413149	SAMN16242782	simple	2652724	Exaiptasia diaphana	LPS-12h-2							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	469342E3C8E52C1D70986558B2EED6E1	A36B479BBB7E970A4823826902EE8ADA
SRR12696065	2021-01-01 04:15:44	2020-09-23 06:20:19	15757957	3115670302	15757957	197	1026		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696065/SRR12696065	SRX9175763	aipt93	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413150	SAMN16242783	simple	2652724	Exaiptasia diaphana	LPS-12h-3							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	06D9AB70BA43ED67927A871E91A92140	0619E4262B3E9EB5A4CF28C973895159
SRR12696074	2021-01-01 04:15:43	2020-09-23 06:17:51	9747610	1929456366	9747610	197	636		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696074/SRR12696074	SRX9175754	aipt73	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413142	SAMN16242763	simple	2652724	Exaiptasia diaphana	LPS-3h-1							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	DA61EE3C1319F3F4C5197C3E0EB65039	779005019E32F964AD51FF18F0DA7FCB
SRR12696073	2021-01-01 04:15:43	2020-09-23 06:20:11	14218981	2810650965	14218981	197	937		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696073/SRR12696073	SRX9175755	aipt74	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413141	SAMN16242764	simple	2652724	Exaiptasia diaphana	LPS-3h-2							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	EED1691203CE2D43EB6738A4F8F1C242	7A6FA5996FBB69A89408E00C16BEBE9F
SRR12696072	2021-01-01 04:15:43	2020-09-23 06:19:14	11956754	2367033637	11956754	197	783		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696072/SRR12696072	SRX9175756	aipt75	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413144	SAMN16242765	simple	2652724	Exaiptasia diaphana	LPS-3h-3							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	6F1CFE2D63DA1A36101C2E9CD0080C1C	BA616E8B4FBFE888421AF3D60A323A34
SRR12696071	2021-01-01 04:15:43	2020-09-23 06:19:28	13475425	2666167322	13475425	197	870		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12696071/SRR12696071	SRX9175757	aipt82	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP285061	PRJNA665134		665134	SRS7413143	SAMN16242772	simple	2652724	Exaiptasia diaphana	LPS-6h-1							no					CENTRE SCIENTIFIQUE DE MONACO	SRA1130455		public	D4CE25AAF624C3EFC51A05D364CB9CC4	327B8E2F86F3496509ABAE67D0FA1007
