Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13794583	2021-03-26 20:24:18	2021-02-26 15:02:25	55092074	8263811100	0	150	2862		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794583/SRR13794583	SRX10179598	1008_F	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327206	SAMN18073243	simple	57918	Fragaria vesca	1008_Flower							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	E4D5374326F1B1DC400176C774812A79	3CBC62BE8DAF96078B9AA8961F8AB17D
SRR13794582	2021-03-26 20:24:18	2021-02-26 14:52:28	44176819	6626522850	0	150	2301		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794582/SRR13794582	SRX10179599	1008_FA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327207	SAMN18073244	simple	57918	Fragaria vesca	1008_FlowerBud							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	53002019F61E17D6E19E311939665CF1	DBA4287895DFE01210627E5ADB0221ED
SRR13794580	2021-03-26 20:24:18	2021-02-26 14:51:31	39078003	5861700450	0	150	2059		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794580/SRR13794580	SRX10179601	1008_ML	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327209	SAMN18073245	simple	57918	Fragaria vesca	1008_MeJaLeaf							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	B6EF27F4CB022C455B13494075E5E45B	8356AD7DFD2280F211741E631FB53686
SRR13794578	2021-03-26 20:24:18	2021-02-26 15:01:43	48460210	7269031500	0	150	2583		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794578/SRR13794578	SRX10179603	1008_OL	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327211	SAMN18073247	simple	57918	Fragaria vesca	1008_OldLeaf							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	6430521AE31DD8D15C9DA47137C89155	57293A7E100681E1543282A8C3CA92B6
SRR13794577	2021-03-26 20:24:18	2021-02-26 14:49:55	38841855	5826278250	0	150	2059		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794577/SRR13794577	SRX10179604	1008_ONL	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327212	SAMN18073248	simple	57918	Fragaria vesca	1008_OldNightLeaf							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	5C2D256466F452DB0305D812B351FB48	2678006B698E6B00244DBF72D5664DEF
SRR13794579	2021-03-26 20:24:18	2021-02-26 14:51:55	34784419	5217662850	0	150	1837		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794579/SRR13794579	SRX10179602	1008_Roots	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327210	SAMN18073246	simple	57918	Fragaria vesca	1008_Roots							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	D05466BE380C0B11F9232E2874120100	46FCB6FD888D72EDBB8DCDDECA7D737A
SRR13794576	2021-03-26 20:24:19	2021-02-26 15:12:01	68156570	10223485500	0	150	3667		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794576/SRR13794576	SRX10179605	1008_S	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327213	SAMN18073249	simple	57918	Fragaria vesca	1008_Shoots							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	440D40A6CC5B26CE2015E8A8BB836F65	C111DDF7A55EC6EC31588CC242448007
SRR13794575	2021-03-26 20:24:19	2021-02-26 14:52:59	40602157	6090323550	0	150	2143		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794575/SRR13794575	SRX10179606	1008_YL1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327214	SAMN18073250	simple	57918	Fragaria vesca	1008_YoungLeaf_1							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	DA83A150D7DD1BDD65BDA72059CCEC66	C19B8192F2B69C0DD2F64A8A7A634309
SRR13794574	2021-03-26 20:24:19	2021-02-26 14:56:11	37690837	5653625550	0	150	2010		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794574/SRR13794574	SRX10179607	1008_YL2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327215	SAMN18073251	simple	57918	Fragaria vesca	1008_YoungLeaf_2							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	7EEE114362425CDBF77EDCAFB1ECD8F4	97A75DF8A6B46E5E650B3D5FE28BF898
SRR13794573	2021-03-26 20:24:19	2021-02-26 15:04:11	64626926	9694038900	0	150	3424		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13794573/SRR13794573	SRX10179608	1008_YL3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP308375	PRJNA695578		695578	SRS8327216	SAMN18073252	simple	57918	Fragaria vesca	1008_YoungLeaf_3							no					MICHIGAN STATE UNIVERSITY	SRA1200601		public	1EC1D43A72BB26122427E4149432E0B6	35064AC501CB60172F6CBBF0ABD579EF
