Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13131407	2020-12-15 21:06:09	2020-11-25 00:17:04	68113112	20433933600	68113112	300	6650	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131407/SRR13131407	SRX9572032	Ga01_OsG	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	F6FEAB44BB3F7537941BE671B4B34727	44DB905D51A63045598D54DE2EC58478
SRR13131408	2020-12-15 21:06:09	2020-11-24 23:49:09	19065921	5719776300	19065921	300	2138	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131408/SRR13131408	SRX9572031	Ga01_ME	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	EBFAD537AE4C69B8437800D21E801FF6	2E3B4EDACA04CF0F37ABCCC794F87A69
SRR13131409	2020-12-15 21:06:09	2020-11-24 23:51:01	20496329	6148898700	20496329	300	2297	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131409/SRR13131409	SRX9572030	Ga01_MI	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	6FE73AB15E297E9A3E13C29696067ADE	20ACF7ACD7E62EC4650F986D21978470
SRR13131410	2020-12-15 21:06:09	2020-11-24 23:48:15	21489803	6446940900	21489803	300	2386	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131410/SRR13131410	SRX9572029	Ga01_Go	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	130D479D0CCC0DFCCCD4E0036BE47950	E3E7DC4E284B868DDB77C8F9AAAE7F3C
SRR13131411	2020-12-15 21:06:09	2020-11-24 23:49:41	19023788	5707136400	19023788	300	2124	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131411/SRR13131411	SRX9572028	Ga01_F	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	8AA56FE081937A066F1E8F2F91526C33	24DC64E897D8B5837A300AC240F70F57
SRR13131412	2020-12-15 21:06:09	2020-11-24 23:47:44	19964047	5989214100	19964047	300	2228	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131412/SRR13131412	SRX9572027	Ga01_DiG	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	609DD15B83FE8D303AA2F73B782CC4DA	57135DB202AD34CF2D42FD798C6DEA27
SRR13131413	2020-12-15 21:06:09	2020-11-24 23:50:50	20377936	6113380800	20377936	300	2299	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131413/SRR13131413	SRX9572026	Ga01_Gi	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	C1B19CF45DE14094E1EE1EE6F08C56D8	123D137A657B80A18CAC4FBB1C4A62C0
SRR13131414	2020-12-15 21:06:09	2020-11-24 23:47:19	19644605	5893381500	19644605	300	2200	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131414/SRR13131414	SRX9572025	Ga01_CT	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7766654	SAMN16909871	simple	1735272	Gigantopelta aegis	Ga01_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163495	NA	public	C1CEA58169DD9869DB81EA1F37435490	46CAEDB8CB2F2A554C9CAFDC4B630932
SRR13131264	2020-12-15 21:06:09	2020-11-24 22:10:52	22402273	6720681900	22402273	300	2063	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131264/SRR13131264	SRX9571892	Ga02_Te	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7763327	SAMN16905113	simple	1735272	Gigantopelta aegis	Ga02_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163485	NA	public	DE60C888550018CEAD2D958BAB36FE53	EED4A4AF7E07E59104B9C633EAD2275E
SRR13131265	2020-12-15 21:06:09	2020-11-24 22:14:30	23462036	7038610800	23462036	300	2156	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13131265/SRR13131265	SRX9571891	Ga02_ET	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP293858	PRJNA612619	NA	612619	SRS7763327	SAMN16905113	simple	1735272	Gigantopelta aegis	Ga02_host	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1163485	NA	public	C2D22ABAA2A5206690534564B3BC042A	3B45C496C4C95747C465FCCF586D45C7
