Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5804494	2018-06-05 15:57:20	2017-07-05 10:06:52	21646252	4372542904	21646252	202	2913		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804494.sralite.1	SRX2983706		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336542	SAMN07315692	simple	9593	Gorilla gorilla	GSM2693496							no					GEO	SRA583812		public	29650C144771CCCC1A296EB346209BD5	DB6E5F244D715770D6F2BDFC4DA17821
SRR5804495	2018-06-05 15:57:20	2017-07-05 10:22:05	32088300	6481836600	32088300	202	4357		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804495.sralite.1	SRX2983707		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336543	SAMN07315691	simple	9593	Gorilla gorilla	GSM2693497							no					GEO	SRA583812		public	9108D3606754AA188DA6DDC9ACA9AAE1	70D2860CF6728911B795FD4D8A3AC9E3
SRR5804496	2018-06-05 15:57:20	2017-07-05 10:14:00	41361439	8355010678	41361439	202	5507		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804496.sralite.1	SRX2983708		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336544	SAMN07315690	simple	9593	Gorilla gorilla	GSM2693498							no					GEO	SRA583812		public	FEA0BD337CC410A291E011BB6B81E72B	2AB39D3E2B4FBF9F1E536A2A8DB4DC2A
SRR5804497	2018-06-05 15:57:20	2017-07-05 10:09:46	28376264	5732005328	28376264	202	3841		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804497.sralite.1	SRX2983709		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336545	SAMN07315689	simple	9593	Gorilla gorilla	GSM2693499							no					GEO	SRA583812		public	486CD68089153B98E847DE2F2A63B204	25335EBF598292AAB6E58CD7C834CA5C
SRR5804498	2018-06-05 15:57:20	2017-07-05 10:09:12	26348091	5322314382	26348091	202	3542		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804498.sralite.1	SRX2983710		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336546	SAMN07315688	simple	9593	Gorilla gorilla	GSM2693500							no					GEO	SRA583812		public	8F0600EF5CE5CC9F278AC81FCB841903	FB4174A5262183A36295F3293FAE61B9
SRR5804499	2018-06-05 15:57:20	2017-07-05 10:13:30	36504201	7373848602	36504201	202	4953		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804499.sralite.1	SRX2983711		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336547	SAMN07315687	simple	9593	Gorilla gorilla	GSM2693501							no					GEO	SRA583812		public	E79D69A9CCECBCFCBACBBC5D48EB237F	FE81DB0ACF7646F5C824DF353ABE757F
SRR5804500	2018-06-05 15:57:20	2017-07-05 10:11:15	32239517	6512382434	32239517	202	4195		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804500.sralite.1	SRX2983712		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336548	SAMN07315686	simple	9593	Gorilla gorilla	GSM2693502							no					GEO	SRA583812		public	852FF1807D1651F8E0D94940544A2CC5	5FF8CE16054CE75589FF6328EDD80DE4
SRR5804501	2018-06-05 15:57:20	2017-07-05 10:13:48	36345878	7341867356	36345878	202	4750		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804501.sralite.1	SRX2983713		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP111096	PRJNA393104	2	393104	SRS2336549	SAMN07315685	simple	9593	Gorilla gorilla	GSM2693503							no					GEO	SRA583812		public	D2EFA3DA7B5108E85789178021337A32	47ACAC8CB2D42B65DC1E6DB3527E7656
SRR5804502	2018-06-05 15:57:20	2017-07-05 10:12:27	12171096	2458561392	12171096	202	1023		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804502.sralite.1	SRX2983714		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP111096	PRJNA393104	2	393104	SRS2336550	SAMN07315581	simple	9593	Gorilla gorilla	GSM2693504							no					GEO	SRA583812		public	2F8C5DD7096818050AE92DEF1F35E0C7	75D7AE58629BD183BC73DCE08D39BB13
SRR5804503	2018-06-05 15:57:20	2017-07-05 10:05:32	12323028	2489251656	12323028	202	1036		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804503.sralite.1	SRX2983715		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP111096	PRJNA393104	2	393104	SRS2336551	SAMN07315633	simple	9593	Gorilla gorilla	GSM2693505							no					GEO	SRA583812		public	37DB924D4939C1E581380966A3A0F01C	4430E8967F7D3E39FDD33A3B5E0B4198
SRR5804504	2018-06-05 15:57:20	2017-07-05 10:06:11	11964653	2416859906	11964653	202	1003		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804504.sralite.1	SRX2983716		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP111096	PRJNA393104	2	393104	SRS2336552	SAMN07315632	simple	9593	Gorilla gorilla	GSM2693506							no					GEO	SRA583812		public	239F6441D5B6D4B4272E155750DCB496	076ABC405B689DCE56061FFFC6944A61
SRR5804505	2018-06-05 15:57:20	2017-07-05 10:01:59	5067504	1023635808	5067504	202	422		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/804/SRR5804505.sralite.1	SRX2983717		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP111096	PRJNA393104	2	393104	SRS2336553	SAMN07315631	simple	9593	Gorilla gorilla	GSM2693507							no					GEO	SRA583812		public	EB6FEB801D8A0CEAAEA2906E4C3FA1F2	74FEF0A1BC05ED35C87237A9789A246D
