Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9680543	2020-08-01 00:13:19	2019-07-15 06:40:03	20041819	5050538388	20041819	252	2076	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9680/SRR9680543/SRR9680543.lite.1	SRX6440784	GD8C0R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094769	SAMN12273598	simple	34281	Gossypium trilobum	GD8_0h_R1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	5CE63684D2D3BB5353DFD9AF12487686	337293E9751CE5D9EB25DA6315A469CE
SRR9680542	2020-08-01 00:13:19	2019-07-15 06:46:40	30825570	9147200104	30825570	296	3057	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9680542/SRR9680542	SRX6440785	GD8C0R2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094770	SAMN12273599	simple	34281	Gossypium trilobum	GD8_0h_R2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	7B683278EBC7050D3FA070E1B27E0700	95395F2BF89D314E811D681A54B6BA00
SRR9680545	2020-08-01 00:13:19	2019-07-15 06:38:21	20819825	5246595900	20819825	252	2148	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9680/SRR9680545/SRR9680545.lite.1	SRX6440782	GD8C12R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094767	SAMN12273602	simple	34281	Gossypium trilobum	GD8_12h_R1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	31522C2F56B65122F7F37E3392CFD418	CC8DCBFBE6724D57817E7FFDD26C6EAE
SRR9680544	2020-08-01 00:13:19	2019-07-15 06:44:53	31401626	9282844682	31401626	295	3064	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9680544/SRR9680544	SRX6440783	GD8C12R2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094768	SAMN12273603	simple	34281	Gossypium trilobum	GD8_12h_R2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	DB1070732DE876B1AF8D7AEFA292CC11	757FD3C4011E98BA3484DD0F203D88B3
SRR9680547	2020-08-01 00:13:19	2019-07-15 06:35:53	16385837	4129230924	16385837	252	1672	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9680/SRR9680547/SRR9680547.lite.1	SRX6440780	GD8C6R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094765	SAMN12273600	simple	34281	Gossypium trilobum	GD8_6h_R1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	1863FCB5614791F9D74445C1EBC5C071	41213C327448BBE66AB3FBE9723CA0A7
SRR9680546	2020-08-01 00:13:19	2019-07-15 06:44:32	27615220	8185788690	27615220	296	2693	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9680546/SRR9680546	SRX6440781	GD8C6R2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094766	SAMN12273601	simple	34281	Gossypium trilobum	GD8_6h_R2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	0A228F3C63B0452381A2D9A6471CD671	FAD86C2F9C3E51B2FAD44D6CBCD244CA
SRR9680541	2020-08-01 00:13:20	2019-07-15 06:37:17	19260171	4853563092	19260171	252	1963	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9680/SRR9680541/SRR9680541.lite.1	SRX6440786	GD8T12R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094771	SAMN12273606	simple	34281	Gossypium trilobum	GD8_Cold12h_R1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	550E346D4A610F306369F7F3D1108C33	47018BF6E7648B21913BDECD7EFB4B66
SRR9680540	2020-08-01 00:13:20	2019-07-15 06:40:30	21211675	5345342100	21211675	252	2196	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9680/SRR9680540/SRR9680540.lite.1	SRX6440787	GD8T12R2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094772	SAMN12273607	simple	34281	Gossypium trilobum	GD8_Cold12h_R2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	24CC82422A1B69B11B049BAAAFEC6B0F	4AD0CF19043BB1C427E7A1CBE875C005
SRR9680549	2020-08-01 00:13:19	2019-07-15 06:44:44	31112553	9230914314	31112553	296	3052	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9680549/SRR9680549	SRX6440778	GD8S12R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094763	SAMN12273604	simple	34281	Gossypium trilobum	GD8_Salt12h_R1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	4694521B659280734E84E35EB5F710C8	DB331211D37624005A0237A2BBE92A5C
SRR9680548	2020-08-01 00:13:19	2019-07-15 06:40:09	23684494	7038583736	23684494	297	2628	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9680/SRR9680548/SRR9680548.lite.1	SRX6440779	GD8S12R2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP214568	PRJNA554555	NA	554555	SRS5094764	SAMN12273605	simple	34281	Gossypium trilobum	GD8_Salt12h_R2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF COTTON RESEARCH, CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA920890	NA	public	654445BDFF37FA7377661EEBBBEB02E1	3B70A6F8845380B895BF7474DB4121BF
